antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,contains_RUL_target
"frozenset({'steel_weight_theoretical, tonn_fca_bin_High'})","frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_High'})",0.267,0.2428,0.2428,0.9093632958801497,3.745318352059925,1.0,0.17797239999999998,8.354231404958671,1.0,0.9093632958801497,0.8803001794508053,0.9546816479400748,"steel_weight_theoretical, tonn_fca_bin_High","RUL_class_Healthy, steel_weight, tonn_fca_bin_High",True
"frozenset({'steel_weight, tonn_fca_bin_High'})","frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High'})",0.267,0.2428,0.2428,0.9093632958801497,3.745318352059925,1.0,0.17797239999999998,8.354231404958671,1.0,0.9093632958801497,0.8803001794508053,0.9546816479400748,"steel_weight, tonn_fca_bin_High","RUL_class_Healthy, steel_weight_theoretical, tonn_fca_bin_High",True
"frozenset({'steel_weight, tonn_fca_bin_Medium'})","frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium'})",0.2832,0.2568,0.2568,0.9067796610169491,3.531073446327684,1.0,0.18407423999999997,7.972509090909084,1.0,0.9067796610169488,0.8745689733812554,0.9533898305084745,"steel_weight, tonn_fca_bin_Medium","RUL_class_Healthy, steel_weight_theoretical, tonn_fca_bin_Medium",True
"frozenset({'steel_weight_theoretical, tonn_fca_bin_Medium'})","frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Medium'})",0.2832,0.2568,0.2568,0.9067796610169491,3.531073446327684,1.0,0.18407423999999997,7.972509090909084,1.0,0.9067796610169488,0.8745689733812554,0.9533898305084745,"steel_weight_theoretical, tonn_fca_bin_Medium","RUL_class_Healthy, steel_weight, tonn_fca_bin_Medium",True
"frozenset({'workpiece_weight, tonn_fca_bin_High'})","frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_High'})",0.2644,0.2428,0.2196,0.8305597579425112,3.4207568284287944,1.0,0.15540368,4.46883214285714,0.9620269588980309,0.7635605006954104,0.7762278895173155,0.8675039316895423,"workpiece_weight, tonn_fca_bin_High","RUL_class_Healthy, steel_weight_theoretical, tonn_fca_bin_High",True
"frozenset({'workpiece_weight, tonn_fca_bin_High'})","frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_High'})",0.2644,0.2428,0.2196,0.8305597579425112,3.4207568284287944,1.0,0.15540368,4.46883214285714,0.9620269588980309,0.7635605006954104,0.7762278895173155,0.8675039316895423,"workpiece_weight, tonn_fca_bin_High","RUL_class_Healthy, steel_weight, tonn_fca_bin_High",True
"frozenset({'steel_weight_theoretical, tonn_fca_bin_High'})","frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_High'})",0.267,0.243,0.2196,0.8224719101123594,3.384658066306006,1.0,0.154719,4.26411392405063,0.9611857848947734,0.756198347107438,0.765484689712496,0.8630878069080316,"steel_weight_theoretical, tonn_fca_bin_High","RUL_class_Healthy, workpiece_weight, tonn_fca_bin_High",True
"frozenset({'steel_weight, tonn_fca_bin_High'})","frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_High'})",0.267,0.243,0.2196,0.8224719101123594,3.384658066306006,1.0,0.154719,4.26411392405063,0.9611857848947734,0.756198347107438,0.765484689712496,0.8630878069080316,"steel_weight, tonn_fca_bin_High","RUL_class_Healthy, workpiece_weight, tonn_fca_bin_High",True
"frozenset({'steel_weight_theoretical, tonn_fca_bin_Medium'})","frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Medium'})",0.2832,0.3588,0.2304,0.8135593220338982,2.267445156170285,1.0,0.12878784,3.4391636363636353,0.7798200334821428,0.5597667638483964,0.7092316313691489,0.7278498951306616,"steel_weight_theoretical, tonn_fca_bin_Medium","RUL_class_Healthy, workpiece_weight, tonn_fca_bin_Medium",True
"frozenset({'steel_weight, tonn_fca_bin_Medium'})","frozenset({'RUL_class_Healthy', 'workpiece_weight, tonn_fca_bin_Medium'})",0.2832,0.3588,0.2304,0.8135593220338982,2.267445156170285,1.0,0.12878784,3.4391636363636353,0.7798200334821428,0.5597667638483964,0.7092316313691489,0.7278498951306616,"steel_weight, tonn_fca_bin_Medium","RUL_class_Healthy, workpiece_weight, tonn_fca_bin_Medium",True
"frozenset({'RUL_class_Healthy', 'resistance, tonn_fca_bin_Low'})",frozenset({'RUL_fca_bin_High'}),0.313,0.3294,0.2326,0.7431309904153355,2.2560139356871143,1.0,0.1294978,2.6106691542288556,0.8103934887062394,0.5675939482674475,0.6169564426115948,0.7246316761427012,"RUL_class_Healthy, resistance, tonn_fca_bin_Low",RUL_fca_bin_High,True
frozenset({'RUL_fca_bin_High'}),"frozenset({'RUL_class_Healthy', 'resistance, tonn_fca_bin_Low'})",0.3294,0.313,0.2326,0.7061323618700668,2.2560139356871143,1.0,0.1294978,2.337787190082645,0.8302122379081219,0.5675939482674475,0.5722450682242602,0.7246316761427012,RUL_fca_bin_High,"RUL_class_Healthy, resistance, tonn_fca_bin_Low",True
"frozenset({'workpiece_weight, tonn_fca_bin_Medium'})","frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Medium'})",0.4032,0.2568,0.2304,0.5714285714285714,2.2251891410769917,1.0,0.12685824,1.7341333333333333,0.9225871313672923,0.5363128491620113,0.42334307242811003,0.7343124165554072,"workpiece_weight, tonn_fca_bin_Medium","RUL_class_Healthy, steel_weight_theoretical, tonn_fca_bin_Medium",True
"frozenset({'workpiece_weight, tonn_fca_bin_Medium'})","frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Medium'})",0.4032,0.2568,0.2304,0.5714285714285714,2.2251891410769917,1.0,0.12685824,1.7341333333333333,0.9225871313672923,0.5363128491620113,0.42334307242811003,0.7343124165554072,"workpiece_weight, tonn_fca_bin_Medium","RUL_class_Healthy, steel_weight, tonn_fca_bin_Medium",True
"frozenset({'steel_weight, tonn_fca_bin_Low'})","frozenset({'RUL_class_Healthy', 'steel_weight_theoretical, tonn_fca_bin_Low'})",0.4498,0.3796,0.3796,0.8439306358381503,2.223210315695865,1.0,0.20885592,3.9751555555555567,1.0,0.8439306358381504,0.7484375174696168,0.9219653179190752,"steel_weight, tonn_fca_bin_Low","RUL_class_Healthy, steel_weight_theoretical, tonn_fca_bin_Low",True
"frozenset({'steel_weight_theoretical, tonn_fca_bin_Low'})","frozenset({'RUL_class_Healthy', 'steel_weight, tonn_fca_bin_Low'})",0.4498,0.3796,0.3796,0.8439306358381503,2.223210315695865,1.0,0.20885592,3.9751555555555567,1.0,0.8439306358381504,0.7484375174696168,0.9219653179190752,"steel_weight_theoretical, tonn_fca_bin_Low","RUL_class_Healthy, steel_weight, tonn_fca_bin_Low",True
"frozenset({'steel_weight, tonn_fca_bin_Low'})","frozenset({'steel_weight_theoretical, tonn_fca_bin_Low', 'RUL_fca_bin_Low'})",0.4498,0.1736,0.1736,0.38594931080480216,2.223210315695865,1.0,0.09551472000000001,1.3458172338884868,1.0,0.38594931080480216,0.25695705566892807,0.6929746554024011,"steel_weight, tonn_fca_bin_Low","RUL_fca_bin_Low, steel_weight_theoretical, tonn_fca_bin_Low",True
"frozenset({'steel_weight_theoretical, tonn_fca_bin_Low'})","frozenset({'steel_weight, tonn_fca_bin_Low', 'RUL_fca_bin_Low'})",0.4498,0.1736,0.1736,0.38594931080480216,2.223210315695865,1.0,0.09551472000000001,1.3458172338884868,1.0,0.38594931080480216,0.25695705566892807,0.6929746554024011,"steel_weight_theoretical, tonn_fca_bin_Low","RUL_fca_bin_Low, steel_weight, tonn_fca_bin_Low",True
