kmeans_cluster,dbscan_cluster,RUL,RUL_class
2,-1,384.0,Low
2,0,1037.0,Healthy
2,-1,355.0,Low
2,-1,300.0,Low
2,-1,164.0,Low
2,0,109.0,Critical
2,-1,577.0,Medium
3,-1,491.0,Medium
2,-1,327.0,Low
2,0,136.0,Critical
2,-1,80.0,Critical
2,0,273.0,Low
2,0,246.0,Low
2,0,218.0,Low
2,0,191.0,Low
3,-1,516.0,Medium
1,-1,464.0,Medium
2,-1,435.0,Medium
2,-1,407.0,Medium
2,0,54.0,Critical
2,-1,27.0,Critical
2,-1,0.0,Critical
3,-1,0.0,Critical
2,0,1064.0,Healthy
2,0,1091.0,Healthy
2,-1,898.0,Healthy
2,-1,548.0,Medium
2,0,955.0,Healthy
2,-1,0.0,Critical
2,0,57.0,Critical
1,-1,1282.0,Healthy
2,-1,1255.0,Healthy
2,-1,1228.0,Healthy
2,0,871.0,Healthy
2,-1,841.0,Healthy
2,-1,814.0,Healthy
2,-1,563.0,Medium
2,-1,397.0,Low
2,-1,370.0,Low
2,-1,313.0,Low
2,-1,173.0,Low
2,0,116.0,Critical
2,-1,592.0,Medium
3,-1,506.0,Medium
2,-1,341.0,Low
2,0,143.0,Critical
2,-1,86.0,Critical
2,0,284.0,Low
2,0,257.0,Low
2,0,229.0,Low
2,0,200.0,Low
3,-1,531.0,Medium
1,-1,479.0,Medium
2,-1,450.0,Medium
2,-1,422.0,Medium
2,-1,28.0,Critical
2,-1,1148.0,Healthy
2,0,1009.0,Healthy
2,-1,1335.0,Healthy
2,0,927.0,Healthy
2,-1,982.0,Healthy
2,-1,1118.0,Healthy
3,-1,0.0,Critical
2,-1,1175.0,Healthy
2,-1,1308.0,Healthy
2,-1,1202.0,Healthy
1,-1,7541.0,Healthy
1,-1,7513.0,Healthy
1,-1,9301.0,Healthy
1,-1,9350.0,Healthy
1,1,9377.0,Healthy
1,1,3246.0,Healthy
1,-1,3219.0,Healthy
1,-1,3170.0,Healthy
1,-1,7568.0,Healthy
1,1,85.0,Critical
1,-1,55.0,Critical
1,-1,28.0,Critical
1,-1,0.0,Critical
1,-1,11736.0,Healthy
1,-1,11761.0,Healthy
1,-1,11785.0,Healthy
1,1,11812.0,Healthy
1,-1,3195.0,Healthy
1,1,7598.0,Healthy
1,-1,9326.0,Healthy
1,-1,13623.0,Healthy
1,-1,9798.0,Healthy
1,-1,9823.0,Healthy
1,-1,9847.0,Healthy
1,1,9874.0,Healthy
1,-1,10370.0,Healthy
1,-1,10395.0,Healthy
1,1,10446.0,Healthy
1,1,3458.0,Healthy
1,1,13650.0,Healthy
1,-1,3431.0,Healthy
1,-1,3407.0,Healthy
1,-1,3382.0,Healthy
1,-1,10419.0,Healthy
1,-1,13596.0,Healthy
1,-1,13571.0,Healthy
0,-1,12536.0,Healthy
0,-1,9189.0,Healthy
0,-1,9238.0,Healthy
0,-1,9248.0,Healthy
0,-1,9278.0,Healthy
0,2,9306.0,Healthy
1,-1,8671.0,Healthy
0,-1,12763.0,Healthy
0,-1,9162.0,Healthy
0,2,12739.0,Healthy
0,-1,9337.0,Healthy
0,-1,9367.0,Healthy
0,-1,12705.0,Healthy
0,-1,12680.0,Healthy
0,-1,12791.0,Healthy
0,-1,9137.0,Healthy
0,3,9110.0,Healthy
0,-1,9082.0,Healthy
0,-1,12595.0,Healthy
0,2,12622.0,Healthy
0,-1,12650.0,Healthy
1,4,8723.0,Healthy
1,-1,8751.0,Healthy
1,-1,8781.0,Healthy
1,4,8809.0,Healthy
0,-1,12564.0,Healthy
1,-1,8837.0,Healthy
0,-1,8895.0,Healthy
0,-1,8699.0,Healthy
0,5,8947.0,Healthy
0,-1,8972.0,Healthy
0,-1,8996.0,Healthy
0,5,9024.0,Healthy
0,3,9051.0,Healthy
0,-1,8864.0,Healthy
0,-1,8920.0,Healthy
1,4,12042.0,Healthy
0,-1,12509.0,Healthy
0,-1,15940.0,Healthy
0,3,15913.0,Healthy
0,-1,15885.0,Healthy
0,3,15857.0,Healthy
0,5,15830.0,Healthy
0,-1,15803.0,Healthy
0,-1,15775.0,Healthy
0,5,15747.0,Healthy
0,-1,15720.0,Healthy
0,-1,15692.0,Healthy
0,-1,15968.0,Healthy
0,-1,15665.0,Healthy
1,4,15609.0,Healthy
1,-1,15582.0,Healthy
1,-1,15554.0,Healthy
1,4,15527.0,Healthy
0,-1,15499.0,Healthy
1,-1,15471.0,Healthy
0,-1,12183.0,Healthy
1,-1,12156.0,Healthy
1,4,12125.0,Healthy
1,-1,12097.0,Healthy
1,-1,15637.0,Healthy
1,-1,16337.0,Healthy
0,-1,15995.0,Healthy
0,-1,16054.0,Healthy
0,-1,12481.0,Healthy
0,-1,12453.0,Healthy
0,3,12426.0,Healthy
0,-1,12398.0,Healthy
0,3,12371.0,Healthy
0,5,12346.0,Healthy
0,-1,12318.0,Healthy
0,-1,12291.0,Healthy
0,5,12266.0,Healthy
0,-1,12239.0,Healthy
0,-1,16026.0,Healthy
1,-1,11984.0,Healthy
0,-1,12214.0,Healthy
1,-1,12070.0,Healthy
0,-1,16284.0,Healthy
0,-1,16256.0,Healthy
0,2,16229.0,Healthy
0,-1,16198.0,Healthy
0,-1,16170.0,Healthy
0,-1,16143.0,Healthy
0,2,16112.0,Healthy
0,-1,16081.0,Healthy
0,-1,12012.0,Healthy
0,-1,16361.0,Healthy
0,-1,919.0,Healthy
1,-1,16416.0,Healthy
0,2,9426.0,Healthy
0,-1,9395.0,Healthy
0,-1,17131.0,Healthy
0,-1,17103.0,Healthy
0,2,17076.0,Healthy
0,-1,17048.0,Healthy
0,-1,17023.0,Healthy
0,-1,16996.0,Healthy
0,2,16968.0,Healthy
0,-1,16941.0,Healthy
0,-1,16913.0,Healthy
0,-1,16885.0,Healthy
0,-1,16861.0,Healthy
0,-1,16833.0,Healthy
0,-1,16806.0,Healthy
0,3,16778.0,Healthy
0,-1,16750.0,Healthy
0,3,16723.0,Healthy
0,5,16696.0,Healthy
0,-1,16671.0,Healthy
0,-1,16643.0,Healthy
0,5,16616.0,Healthy
0,-1,16588.0,Healthy
0,-1,16561.0,Healthy
1,4,16389.0,Healthy
0,-1,1084.0,Healthy
0,2,1057.0,Healthy
0,-1,9453.0,Healthy
0,-1,9481.0,Healthy
1,-1,11600.0,Healthy
0,-1,11631.0,Healthy
0,-1,12383.0,Healthy
0,-1,12355.0,Healthy
0,2,12331.0,Healthy
0,-1,12303.0,Healthy
0,-1,12279.0,Healthy
0,-1,12251.0,Healthy
0,2,12226.0,Healthy
0,-1,12199.0,Healthy
0,-1,12171.0,Healthy
0,-1,12147.0,Healthy
0,-1,12119.0,Healthy
0,-1,12091.0,Healthy
0,-1,12067.0,Healthy
0,-1,1029.0,Healthy
0,3,12039.0,Healthy
0,3,11984.0,Healthy
0,5,11959.0,Healthy
0,-1,11932.0,Healthy
0,-1,11904.0,Healthy
0,5,11880.0,Healthy
0,-1,11852.0,Healthy
0,-1,11827.0,Healthy
0,-1,11800.0,Healthy
1,-1,11772.0,Healthy
1,4,11745.0,Healthy
1,-1,11714.0,Healthy
1,-1,11686.0,Healthy
1,4,11659.0,Healthy
0,-1,12012.0,Healthy
0,-1,1002.0,Healthy
0,-1,1112.0,Healthy
0,2,946.0,Healthy
0,-1,974.0,Healthy
1,-1,16447.0,Healthy
1,4,16475.0,Healthy
1,-1,16502.0,Healthy
0,-1,16533.0,Healthy
1,-1,303.0,Low
0,-1,330.0,Low
1,-1,388.0,Low
1,-1,416.0,Medium
1,4,444.0,Medium
1,-1,471.0,Medium
0,-1,502.0,Medium
0,-1,530.0,Medium
0,-1,557.0,Medium
1,4,358.0,Low
0,-1,612.0,Medium
0,5,585.0,Medium
0,-1,888.0,Healthy
0,-1,833.0,Healthy
0,-1,805.0,Healthy
0,-1,778.0,Medium
0,-1,860.0,Healthy
0,-1,722.0,Medium
0,3,695.0,Medium
0,5,668.0,Medium
0,-1,640.0,Medium
0,3,750.0,Medium
0,-1,93.0,Critical
0,6,12767.0,Healthy
0,7,123.0,Critical
0,-1,154.0,Low
0,7,185.0,Low
0,8,215.0,Low
0,8,215.0,Low
0,-1,12739.0,Healthy
0,-1,12795.0,Healthy
0,-1,311.0,Low
0,6,12957.0,Healthy
0,6,12847.0,Healthy
0,-1,246.0,Low
0,7,277.0,Low
0,6,12930.0,Healthy
0,6,12878.0,Healthy
0,-1,12902.0,Healthy
0,-1,62.0,Critical
0,6,12822.0,Healthy
0,-1,31.0,Critical
0,-1,13559.0,Healthy
0,-1,13902.0,Healthy
0,7,0.0,Critical
0,-1,0.0,Critical
0,6,12985.0,Healthy
0,-1,13390.0,Healthy
0,6,13421.0,Healthy
0,-1,13448.0,Healthy
0,6,13476.0,Healthy
0,6,13504.0,Healthy
0,6,13531.0,Healthy
0,-1,0.0,Critical
0,6,13589.0,Healthy
0,6,7889.0,Healthy
0,-1,13672.0,Healthy
0,-1,13703.0,Healthy
0,9,13731.0,Healthy
0,9,13758.0,Healthy
1,-1,13789.0,Healthy
1,-1,13816.0,Healthy
0,-1,13844.0,Healthy
0,-1,13872.0,Healthy
0,6,13617.0,Healthy
0,-1,13013.0,Healthy
0,-1,0.0,Critical
0,9,13065.0,Healthy
1,-1,1370.0,Healthy
1,-1,1395.0,Healthy
0,-1,1422.0,Healthy
0,-1,1450.0,Healthy
0,-1,1477.0,Healthy
0,-1,1474.0,Healthy
0,9,1342.0,Healthy
0,-1,1511.0,Healthy
0,-1,1597.0,Healthy
0,7,1613.0,Healthy
0,-1,1646.0,Healthy
0,7,1677.0,Healthy
0,8,1711.0,Healthy
0,8,1745.0,Healthy
0,-1,1542.0,Healthy
0,-1,1778.0,Healthy
0,9,1315.0,Healthy
0,-1,1260.0,Healthy
0,6,135.0,Critical
0,6,107.0,Critical
0,-1,13037.0,Healthy
0,-1,55.0,Critical
0,-1,993.0,Healthy
0,6,1017.0,Healthy
0,-1,1287.0,Healthy
0,-1,1045.0,Healthy
0,6,1097.0,Healthy
0,6,1125.0,Healthy
0,-1,1152.0,Healthy
0,6,1177.0,Healthy
0,6,1204.0,Healthy
0,6,1232.0,Healthy
0,6,1069.0,Healthy
0,-1,162.0,Low
0,7,1812.0,Healthy
0,6,27.0,Critical
0,-1,4622.0,Healthy
0,-1,4649.0,Healthy
0,-1,4707.0,Healthy
0,-1,4735.0,Healthy
0,-1,4769.0,Healthy
0,-1,4986.0,Healthy
0,-1,4594.0,Healthy
0,7,5020.0,Healthy
0,7,5085.0,Healthy
0,8,5115.0,Healthy
0,8,5146.0,Healthy
0,-1,5180.0,Healthy
0,7,5211.0,Healthy
0,-1,5241.0,Healthy
0,-1,5051.0,Healthy
0,-1,1846.0,Healthy
1,-1,4567.0,Healthy
0,9,4514.0,Healthy
0,-1,0.0,Critical
0,-1,4174.0,Healthy
0,6,4198.0,Healthy
0,-1,4226.0,Healthy
0,6,4250.0,Healthy
0,6,4278.0,Healthy
1,-1,4542.0,Healthy
0,6,4303.0,Healthy
0,6,4358.0,Healthy
0,6,4382.0,Healthy
0,6,4410.0,Healthy
0,-1,4435.0,Healthy
0,-1,4462.0,Healthy
0,9,4487.0,Healthy
0,-1,4330.0,Healthy
0,6,190.0,Low
0,6,82.0,Critical
0,6,5998.0,Healthy
0,-1,0.0,Critical
0,-1,9617.0,Healthy
0,7,9583.0,Healthy
0,-1,9553.0,Healthy
0,8,9519.0,Healthy
0,8,9485.0,Healthy
0,-1,356.0,Low
0,7,9451.0,Healthy
0,7,9387.0,Healthy
0,-1,9353.0,Healthy
0,-1,9319.0,Healthy
0,-1,9288.0,Healthy
0,6,217.0,Low
0,-1,9230.0,Healthy
0,-1,9421.0,Healthy
0,-1,9209.0,Healthy
0,7,326.0,Low
0,8,261.0,Low
0,9,13092.0,Healthy
1,-1,13120.0,Healthy
1,-1,13145.0,Healthy
0,-1,13169.0,Healthy
0,-1,13197.0,Healthy
0,-1,13224.0,Healthy
0,-1,292.0,Low
0,-1,0.0,Critical
0,-1,61.0,Critical
0,-1,95.0,Critical
0,7,129.0,Critical
0,-1,163.0,Low
0,7,194.0,Low
0,8,227.0,Low
0,-1,31.0,Critical
0,-1,9184.0,Healthy
0,-1,9255.0,Healthy
1,-1,9129.0,Healthy
0,7,0.0,Critical
1,-1,9157.0,Healthy
0,-1,0.0,Critical
0,-1,0.0,Critical
0,-1,0.0,Critical
0,-1,484.0,Medium
0,7,0.0,Critical
0,-1,457.0,Medium
1,-1,405.0,Medium
1,-1,377.0,Low
0,9,352.0,Low
0,9,325.0,Low
0,-1,297.0,Low
0,-1,270.0,Low
0,-1,429.0,Medium
0,8,0.0,Critical
0,-1,0.0,Critical
0,-1,8739.0,Healthy
0,9,9101.0,Healthy
0,9,9074.0,Healthy
0,8,0.0,Critical
0,-1,9019.0,Healthy
0,6,8988.0,Healthy
0,6,8960.0,Healthy
0,6,8936.0,Healthy
0,-1,9061.0,Healthy
0,6,8880.0,Healthy
0,6,8850.0,Healthy
0,6,8825.0,Healthy
0,-1,8798.0,Healthy
0,6,8767.0,Healthy
0,-1,8908.0,Healthy
0,-1,4402.0,Healthy
0,-1,6095.0,Healthy
0,-1,4374.0,Healthy
0,-1,4346.0,Healthy
0,-1,6233.0,Healthy
0,-1,6209.0,Healthy
0,-1,6180.0,Healthy
0,-1,6153.0,Healthy
0,-1,6123.0,Healthy
0,-1,6069.0,Healthy
0,-1,12262.0,Healthy
0,10,6016.0,Healthy
0,-1,9521.0,Healthy
0,-1,9545.0,Healthy
0,-1,6058.0,Healthy
0,-1,6083.0,Healthy
0,-1,6108.0,Healthy
0,11,6135.0,Healthy
0,-1,9492.0,Healthy
0,11,6160.0,Healthy
0,-1,6212.0,Healthy
0,-1,6237.0,Healthy
0,11,4426.0,Healthy
0,-1,10756.0,Healthy
0,-1,10787.0,Healthy
0,-1,10814.0,Healthy
0,-1,6187.0,Healthy
0,-1,9463.0,Healthy
0,-1,9432.0,Healthy
0,-1,9408.0,Healthy
0,-1,9003.0,Healthy
0,-1,9030.0,Healthy
0,-1,9058.0,Healthy
0,-1,9083.0,Healthy
0,-1,9110.0,Healthy
0,-1,9135.0,Healthy
0,-1,9162.0,Healthy
0,-1,9190.0,Healthy
0,-1,9218.0,Healthy
0,-1,9245.0,Healthy
0,-1,9273.0,Healthy
0,-1,9300.0,Healthy
0,10,9329.0,Healthy
0,10,9356.0,Healthy
0,-1,9382.0,Healthy
0,-1,10839.0,Healthy
0,10,6043.0,Healthy
0,-1,10867.0,Healthy
0,-1,10922.0,Healthy
0,-1,11503.0,Healthy
0,-1,11531.0,Healthy
0,-1,5690.0,Healthy
0,-1,5717.0,Healthy
0,-1,5742.0,Healthy
0,-1,5770.0,Healthy
0,-1,11473.0,Healthy
0,-1,5797.0,Healthy
0,-1,5849.0,Healthy
0,-1,5877.0,Healthy
0,-1,5905.0,Healthy
0,-1,5932.0,Healthy
0,-1,5960.0,Healthy
0,-1,5987.0,Healthy
0,-1,5825.0,Healthy
0,11,11445.0,Healthy
0,11,11414.0,Healthy
0,-1,11387.0,Healthy
0,-1,10949.0,Healthy
0,-1,11005.0,Healthy
0,-1,11032.0,Healthy
0,-1,11060.0,Healthy
0,10,11086.0,Healthy
0,10,11113.0,Healthy
0,-1,11140.0,Healthy
0,-1,11165.0,Healthy
0,-1,11193.0,Healthy
0,-1,11224.0,Healthy
0,-1,11250.0,Healthy
0,-1,11277.0,Healthy
0,-1,11303.0,Healthy
0,-1,11328.0,Healthy
0,-1,11356.0,Healthy
0,-1,10894.0,Healthy
0,11,4451.0,Healthy
0,-1,10977.0,Healthy
0,-1,4503.0,Healthy
0,10,1994.0,Healthy
0,10,1969.0,Healthy
0,-1,1945.0,Healthy
0,-1,1920.0,Healthy
0,-1,1892.0,Healthy
0,-1,1865.0,Healthy
0,-1,1813.0,Healthy
0,-1,1788.0,Healthy
0,-1,1760.0,Healthy
0,-1,1736.0,Healthy
0,-1,1708.0,Healthy
0,-1,1684.0,Healthy
0,-1,1656.0,Healthy
0,10,6555.0,Healthy
0,10,6529.0,Healthy
0,-1,2020.0,Healthy
0,-1,2046.0,Healthy
0,-1,2071.0,Healthy
0,-1,2101.0,Healthy
0,-1,7273.0,Healthy
0,11,7245.0,Healthy
0,11,7218.0,Healthy
0,-1,7187.0,Healthy
0,-1,7159.0,Healthy
0,-1,7132.0,Healthy
0,-1,6750.0,Healthy
0,-1,6500.0,Healthy
0,-1,6723.0,Healthy
0,-1,6666.0,Healthy
0,-1,6635.0,Healthy
0,-1,6608.0,Healthy
0,-1,6582.0,Healthy
0,-1,2183.0,Healthy
0,-1,2157.0,Healthy
0,-1,2130.0,Healthy
0,-1,6695.0,Healthy
0,-1,6472.0,Healthy
0,-1,6445.0,Healthy
0,-1,6417.0,Healthy
0,-1,11994.0,Healthy
0,-1,11964.0,Healthy
0,-1,11936.0,Healthy
0,-1,11911.0,Healthy
0,10,11884.0,Healthy
0,10,11857.0,Healthy
0,-1,11829.0,Healthy
0,-1,12021.0,Healthy
0,-1,11801.0,Healthy
0,-1,11746.0,Healthy
0,-1,11718.0,Healthy
0,-1,11694.0,Healthy
0,-1,11666.0,Healthy
0,-1,11638.0,Healthy
0,-1,11614.0,Healthy
0,-1,11586.0,Healthy
0,-1,11773.0,Healthy
0,-1,7300.0,Healthy
0,-1,12048.0,Healthy
0,-1,12105.0,Healthy
0,-1,6390.0,Healthy
0,-1,6362.0,Healthy
0,-1,6334.0,Healthy
0,-1,6307.0,Healthy
0,-1,6279.0,Healthy
0,-1,6252.0,Healthy
0,-1,6224.0,Healthy
0,-1,12074.0,Healthy
0,-1,6196.0,Healthy
0,-1,11562.0,Healthy
0,-1,12289.0,Healthy
0,-1,12231.0,Healthy
0,11,12206.0,Healthy
0,11,12182.0,Healthy
0,-1,12157.0,Healthy
0,-1,12129.0,Healthy
0,-1,11534.0,Healthy
0,-1,7328.0,Healthy
0,-1,1840.0,Healthy
0,-1,6746.0,Healthy
0,-1,6771.0,Healthy
0,-1,6801.0,Healthy
0,11,6829.0,Healthy
0,11,6857.0,Healthy
0,-1,6884.0,Healthy
0,-1,6912.0,Healthy
0,-1,6939.0,Healthy
0,-1,4475.0,Healthy
0,-1,4528.0,Healthy
0,-1,31.0,Critical
0,-1,111.0,Critical
0,-1,84.0,Critical
0,-1,59.0,Critical
0,-1,31.0,Critical
0,-1,346.0,Low
0,-1,401.0,Medium
0,-1,374.0,Low
0,-1,142.0,Critical
0,-1,346.0,Low
0,-1,290.0,Low
0,-1,0.0,Critical
0,-1,170.0,Low
0,-1,334.0,Low
0,-1,226.0,Low
0,-1,253.0,Low
0,-1,278.0,Low
0,-1,0.0,Critical
0,-1,24.0,Critical
0,-1,52.0,Critical
0,-1,77.0,Critical
0,-1,105.0,Critical
0,-1,133.0,Critical
0,-1,163.0,Low
0,-1,334.0,Low
0,-1,361.0,Low
0,-1,191.0,Low
0,-1,198.0,Low
0,-1,263.0,Low
0,-1,118.0,Critical
0,-1,204.0,Low
0,-1,442.0,Medium
0,-1,414.0,Medium
0,-1,386.0,Low
0,-1,358.0,Low
0,-1,334.0,Low
0,-1,334.0,Low
0,-1,278.0,Low
0,-1,250.0,Low
0,-1,222.0,Low
0,-1,195.0,Low
0,-1,167.0,Low
0,-1,139.0,Critical
0,-1,111.0,Critical
0,-1,235.0,Low
0,-1,83.0,Critical
0,-1,7874.0,Healthy
0,-1,7843.0,Healthy
0,-1,7815.0,Healthy
0,-1,7787.0,Healthy
0,-1,7757.0,Healthy
0,-1,7726.0,Healthy
0,-1,7698.0,Healthy
0,-1,7670.0,Healthy
0,-1,7639.0,Healthy
0,-1,87.0,Critical
0,-1,219.0,Low
0,-1,148.0,Critical
0,-1,176.0,Low
0,-1,7902.0,Healthy
0,-1,250.0,Low
0,-1,364.0,Low
0,-1,336.0,Low
1,-1,750.0,Medium
1,12,784.0,Medium
1,12,815.0,Healthy
0,-1,429.0,Medium
0,-1,460.0,Medium
0,-1,488.0,Medium
0,-1,516.0,Medium
0,-1,540.0,Medium
0,-1,571.0,Medium
0,-1,466.0,Medium
0,-1,602.0,Medium
0,-1,633.0,Medium
1,-1,667.0,Medium
1,12,719.0,Medium
1,-1,697.0,Medium
1,-1,759.0,Medium
1,12,790.0,Medium
1,12,821.0,Healthy
1,-1,854.0,Healthy
1,13,885.0,Healthy
1,13,919.0,Healthy
0,-1,0.0,Critical
0,-1,31.0,Critical
0,-1,59.0,Critical
1,-1,846.0,Healthy
1,13,879.0,Healthy
1,13,910.0,Healthy
0,-1,59.0,Critical
1,12,728.0,Medium
0,-1,6178.0,Healthy
1,-1,688.0,Medium
0,-1,624.0,Medium
0,-1,336.0,Low
0,-1,0.0,Critical
0,-1,392.0,Low
0,-1,419.0,Medium
0,-1,447.0,Medium
0,-1,478.0,Medium
0,-1,506.0,Medium
0,-1,537.0,Medium
0,-1,571.0,Medium
0,-1,604.0,Medium
0,-1,638.0,Medium
1,-1,672.0,Medium
1,-1,706.0,Medium
1,-1,655.0,Medium
1,12,740.0,Medium
1,12,808.0,Healthy
1,12,839.0,Healthy
1,-1,873.0,Healthy
1,13,903.0,Healthy
1,13,934.0,Healthy
0,-1,389.0,Low
0,-1,417.0,Medium
0,-1,445.0,Medium
0,-1,473.0,Medium
0,-1,500.0,Medium
0,-1,528.0,Medium
0,-1,559.0,Medium
0,-1,593.0,Medium
1,-1,774.0,Medium
0,-1,522.0,Medium
0,-1,494.0,Medium
0,-1,8828.0,Healthy
1,13,907.0,Healthy
1,13,873.0,Healthy
1,-1,842.0,Healthy
1,12,812.0,Healthy
1,12,778.0,Medium
0,-1,0.0,Critical
0,-1,0.0,Critical
1,-1,0.0,Critical
0,-1,8362.0,Healthy
0,-1,8390.0,Healthy
0,-1,8414.0,Healthy
0,-1,8439.0,Healthy
0,-1,8470.0,Healthy
0,-1,8498.0,Healthy
0,-1,8522.0,Healthy
0,-1,8553.0,Healthy
0,-1,8581.0,Healthy
0,-1,8633.0,Healthy
0,-1,8633.0,Healthy
0,-1,8661.0,Healthy
0,-1,8689.0,Healthy
0,-1,8717.0,Healthy
0,-1,8745.0,Healthy
0,-1,8772.0,Healthy
0,-1,8800.0,Healthy
0,-1,8859.0,Healthy
0,-1,8893.0,Healthy
0,-1,8927.0,Healthy
1,-1,8957.0,Healthy
0,-1,0.0,Critical
1,12,9022.0,Healthy
0,-1,0.0,Critical
