support,itemsets
0.3294,frozenset({'RUL_fca_bin_High'})
0.3342,frozenset({'RUL_fca_bin_Low'})
0.3364,frozenset({'RUL_fca_bin_Medium'})
0.8792,frozenset({'RUL_class_Healthy'})
0.2644,"frozenset({'workpiece_weight, tonn_fca_bin_High'})"
0.3324,"frozenset({'workpiece_weight, tonn_fca_bin_Low'})"
0.4032,"frozenset({'workpiece_weight, tonn_fca_bin_Medium'})"
0.3276,frozenset({'cast_in_row_fca_bin_High'})
0.3374,frozenset({'cast_in_row_fca_bin_Low'})
0.335,frozenset({'cast_in_row_fca_bin_Medium'})
0.267,"frozenset({'steel_weight_theoretical, tonn_fca_bin_High'})"
0.4498,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Low'})"
0.2832,"frozenset({'steel_weight_theoretical, tonn_fca_bin_Medium'})"
1.0,"frozenset({'slag_weight_close_grab1, tonn_fca_bin_Constant'})"
1.0,"frozenset({'metal_residue_grab1, tonn_fca_bin_Constant'})"
0.267,"frozenset({'steel_weight, tonn_fca_bin_High'})"
0.4498,"frozenset({'steel_weight, tonn_fca_bin_Low'})"
0.2832,"frozenset({'steel_weight, tonn_fca_bin_Medium'})"
1.0,"frozenset({'residuals_grab2, tonn_fca_bin_Constant'})"
1.0,"frozenset({'technical_trim, tonn_fca_bin_Constant'})"
0.2562,frozenset({'grab1_num_fca_bin_High'})
0.3702,frozenset({'grab1_num_fca_bin_Low'})
0.3736,frozenset({'grab1_num_fca_bin_Medium'})
0.2998,"frozenset({'steel_temperature_grab1, Celsius deg._fca_bin_High'})"
0.3398,"frozenset({'steel_temperature_grab1, Celsius deg._fca_bin_Low'})"
0.3604,"frozenset({'steel_temperature_grab1, Celsius deg._fca_bin_Medium'})"
0.1684,frozenset({'grab2_num_fca_bin_High'})
0.4134,frozenset({'grab2_num_fca_bin_Low'})
0.4182,frozenset({'grab2_num_fca_bin_Medium'})
0.3292,"frozenset({'resistance, tonn_fca_bin_High'})"
0.3318,"frozenset({'resistance, tonn_fca_bin_Low'})"
