PC1,PC2,RUL,RUL_class
-4.081719363514392,1.7027814721793235,384.0,Low
-5.697207014019711,0.3174193134939652,1037.0,Healthy
-5.00657932354684,-0.6608492890995867,355.0,Low
-5.570906671465729,0.26036332318701405,300.0,Low
-6.034544834118022,0.07326333498708944,164.0,Low
-5.999683478757558,0.37929208972830203,109.0,Critical
-4.57692074925649,-0.7339688599071058,577.0,Medium
-2.197613723776803,-11.96060804472653,491.0,Medium
-5.686419466874254,0.13097976286380575,327.0,Low
-6.200955092382815,0.3260049553682432,136.0,Critical
-6.152054735068095,0.33142157932175265,80.0,Critical
-5.954512563717018,0.2518024353454346,273.0,Low
-5.925112494491927,0.4339510299184621,246.0,Low
-5.697182577099416,0.31754754343365016,218.0,Low
-6.078174062188635,0.2844763738146855,191.0,Low
-4.645898468494594,-12.77247343612548,516.0,Medium
-3.3581015641818848,-5.478142716606405,464.0,Medium
-3.726501086594512,-2.5689573619029704,435.0,Medium
-5.030618687975423,-0.5219261188610763,407.0,Medium
-6.127223186484269,0.3907155291079681,54.0,Critical
-6.27727892779835,0.26629978069329235,27.0,Critical
-6.097486787458579,0.29003373306557434,0.0,Critical
-4.645845646258191,-12.772196257491428,0.0,Critical
-5.9251369480021205,0.43382271292518565,1064.0,Healthy
-5.954537017227213,0.2516741183521584,1091.0,Healthy
-6.152079188578289,0.33129326232847645,898.0,Healthy
-4.835820336673414,-0.6062934303529915,548.0,Medium
-6.20097952930311,0.3258767254285582,955.0,Healthy
-6.097483270400125,0.29005218842688685,0.0,Critical
-6.1272196196561195,0.39073424563005404,57.0,Critical
-3.358126017692079,-5.478271033599682,1282.0,Healthy
-3.7265255069249092,-2.5690855047890646,1255.0,Healthy
-5.030643091715922,-0.5220541746935793,1228.0,Healthy
-6.127247656584361,0.3905871250611009,871.0,Healthy
-6.277303447668138,0.2661711154856517,841.0,Healthy
-6.097511307328366,0.2899050678579337,814.0,Healthy
-4.835816570766483,-0.6062736691878127,563.0,Medium
-4.081715630787259,1.7028010592373204,397.0,Low
-5.006575557639911,-0.6608295279344079,370.0,Low
-5.570902938738596,0.2603829102450107,313.0,Low
-6.034541167750484,0.07328257383072186,173.0,Low
-5.9996798455698155,0.3793111544647522,116.0,Critical
-4.576916983349561,-0.7339490987419269,592.0,Medium
-2.1976099578698736,-11.960588283561352,506.0,Medium
-5.686415717557223,0.13099943697539362,341.0,Low
-6.200951459195072,0.3260240201046934,143.0,Critical
-6.152051118470251,0.3314405570046116,86.0,Critical
-5.954508864169682,0.25182184829624926,284.0,Low
-5.925108794944591,0.4339704428692765,257.0,Low
-5.69717887755208,0.3175669563844648,229.0,Low
-6.078170395821096,0.2844956126583177,200.0,Low
-4.645894702587665,-12.772453674960301,531.0,Medium
-3.3580977982749554,-5.4781229554412265,479.0,Medium
-3.7264973206875824,-2.5689376007377915,450.0,Medium
-5.0306149220684935,-0.5219063576958974,422.0,Medium
-6.277275394149998,0.2663183231081961,28.0,Critical
-5.686443870614753,0.13085170703130278,1148.0,Healthy
-6.078198515698829,0.28434805682140907,1009.0,Healthy
-4.576946198160586,-0.7341024001158478,1335.0,Healthy
-5.999707932267753,0.37916377273502583,927.0,Healthy
-6.034569287628217,0.07313501799381324,982.0,Healthy
-5.570931124975923,0.26023500619373785,1118.0,Healthy
-2.197560486792941,-11.960328689752703,0.0,Critical
-5.006603743877238,-0.6609774319856807,1175.0,Healthy
-4.835845752397713,-0.6064267964545513,1308.0,Healthy
-4.081743817024585,1.7026531551860473,1202.0,Healthy
-1.6157100563922429,0.741321998983139,7541.0,Healthy
-2.6542019158470347,0.18351162010258829,7513.0,Healthy
-2.654107784763696,0.1840055621784699,9301.0,Healthy
-1.163590377282548,0.8839710653386088,9350.0,Healthy
-1.344079180150438,0.7821304926978834,9377.0,Healthy
-1.344079180150438,0.7821304926978834,3246.0,Healthy
-1.163590377282548,0.8839710653386088,3219.0,Healthy
-2.654107784763696,0.1840055621784699,3170.0,Healthy
-1.1636844088264964,0.8834776455842738,7568.0,Healthy
-1.3441731619246913,0.7816373341043217,85.0,Critical
-1.1636844088264964,0.8834776455842738,55.0,Critical
-1.6157100563922429,0.741321998983139,28.0,Critical
-2.6542019158470347,0.18351162010258829,0.0,Critical
-2.654122300924768,0.1839293902862604,11736.0,Healthy
-1.615630491239671,0.7417395080060379,11761.0,Healthy
-1.1636048934436198,0.8838948934463994,11785.0,Healthy
-1.3440936963115098,0.7820543208056739,11812.0,Healthy
-1.6156159750785992,0.7418156798982474,3195.0,Healthy
-1.3441731619246913,0.7816373341043217,7598.0,Healthy
-1.6156159750785992,0.7418156798982474,9326.0,Healthy
-1.1636463515996407,0.8836773465222492,13623.0,Healthy
-2.654107784763696,0.1840055621784699,9798.0,Healthy
-1.6156159750785992,0.7418156798982474,9823.0,Healthy
-1.163590377282548,0.8839710653386088,9847.0,Healthy
-1.344079180150438,0.7821304926978834,9874.0,Healthy
-2.6542029610106317,0.1835061357263492,10370.0,Healthy
-1.615711151325535,0.7413162534461267,10395.0,Healthy
-1.3441743563973738,0.7816310662457627,10446.0,Healthy
-1.344079180150438,0.7821304926978834,3458.0,Healthy
-1.3441351544675308,0.7818367738815237,13650.0,Healthy
-1.163590377282548,0.8839710653386088,3431.0,Healthy
-1.6156159750785992,0.7418156798982474,3407.0,Healthy
-2.654107784763696,0.1840055621784699,3382.0,Healthy
-1.1636855535294837,0.8834716388864882,10419.0,Healthy
-1.6156719991653872,0.7415216999211144,13596.0,Healthy
-2.654163808850484,0.18371158220133696,13571.0,Healthy
1.5420587585516317,-0.14160022574799658,12536.0,Healthy
2.3014745462168698,0.03375470839545627,9189.0,Healthy
1.542058957630412,-0.14159918110490344,9238.0,Healthy
1.9416536056628189,0.09148531419519083,9248.0,Healthy
1.754391058705307,0.5887766216009729,9278.0,Healthy
1.7261521648930034,0.38420854563885565,9306.0,Healthy
0.3230213992819579,0.29391093819142566,8671.0,Healthy
2.4013988964768287,0.7823248352364202,12763.0,Healthy
0.7072562609563735,0.6644624268550795,9162.0,Healthy
1.8069770659327464,0.3458597926734767,12739.0,Healthy
2.055209492835746,0.31081641624818784,9337.0,Healthy
2.9890364195782926,0.8316959952541875,9367.0,Healthy
2.7791621658634877,0.9092624095832162,12705.0,Healthy
2.9890364693479876,0.8316962564149607,12680.0,Healthy
1.9033382695951495,0.6162406325797449,12791.0,Healthy
0.7267379616002593,0.6019022102431496,9137.0,Healthy
0.2635076614119076,0.3728747924556702,9110.0,Healthy
0.8143969204561794,0.6941806166441985,9082.0,Healthy
1.7543911748345957,0.5887772309761106,12595.0,Healthy
1.7261522644323937,0.3842090679604022,12622.0,Healthy
2.055209542605441,0.31081667740896113,12650.0,Healthy
-0.17671179151691158,0.25270427560165076,8723.0,Healthy
0.21910711744067765,0.6993615231382695,8751.0,Healthy
0.41813576006119507,0.724238146666925,8781.0,Healthy
-0.3298164367527079,0.3348616463783779,8809.0,Healthy
1.9416537052022091,0.0914858365167374,12564.0,Healthy
-0.007215371105488805,0.5539327419160343,8837.0,Healthy
0.8021683656198125,0.9387024650003976,8895.0,Healthy
2.7323252992388527,-1.0714052375474112,8699.0,Healthy
0.7949009621369074,0.7721989046113819,8947.0,Healthy
0.24020895172724632,0.6240923273210501,8972.0,Healthy
0.8005951406411518,0.5861348508164202,8996.0,Healthy
0.5377756177493115,0.581831491626983,9024.0,Healthy
0.48712595027120503,0.4160165316782662,9051.0,Healthy
0.8430157023230477,0.7640601436523705,8864.0,Healthy
0.8067184527639509,0.8931980487031446,8920.0,Healthy
-0.17671164220782626,0.2527050590839706,12042.0,Healthy
2.3014747121158536,0.03375557893136724,12509.0,Healthy
0.7267379118305641,0.6019019490823764,15940.0,Healthy
0.2635076116422125,0.37287453129489684,15913.0,Healthy
0.8143968706864844,0.6941803554834252,15885.0,Healthy
0.48712595027120503,0.4160165316782662,15857.0,Healthy
0.5377756177493115,0.581831491626983,15830.0,Healthy
0.8005951572310501,0.5861349378700114,15803.0,Healthy
0.2402089019575513,0.6240920661602769,15775.0,Healthy
0.7949008625975172,0.7721983822898353,15747.0,Healthy
0.8067183532245608,0.893197526381598,15720.0,Healthy
0.8021682163107272,0.9387016815180776,15692.0,Healthy
0.7072562609563735,0.6644624268550795,15968.0,Healthy
0.8430156193735557,0.7640597083844151,15665.0,Healthy
-0.32981653629209806,0.3348611240568313,15609.0,Healthy
0.41813567711170335,0.7242377113989695,15582.0,Healthy
0.21910706767098262,0.6993612619774962,15554.0,Healthy
-0.17671182469670838,0.25270410149446854,15527.0,Healthy
2.732325199699462,-1.0714057598689577,15499.0,Healthy
0.3230212997425677,0.2939104158698791,15471.0,Healthy
0.843015851632133,0.7640609271346903,12183.0,Healthy
-0.007215221796403487,0.5539335253983542,12156.0,Healthy
-0.3298163372133177,0.33486216869992447,12125.0,Healthy
0.41813585960058536,0.7242386689884716,12097.0,Healthy
-0.00721547064487898,0.5539322195944877,15637.0,Healthy
0.32302171449002687,0.29391259220965654,16337.0,Healthy
2.3014745462168698,0.03375470839545627,15995.0,Healthy
1.9416536056628189,0.09148531419519083,16054.0,Healthy
0.7072564102654588,0.6644632103373994,12481.0,Healthy
0.7267380611396494,0.6019027325646962,12453.0,Healthy
0.2635077609512978,0.37287531477721675,12426.0,Healthy
0.8143970199955697,0.6941811389657451,12398.0,Healthy
0.4871261161701887,0.4160174022141771,12371.0,Healthy
0.537775816828092,0.5818325362700761,12346.0,Healthy
0.8005953397199321,0.5861358954595134,12318.0,Healthy
0.24020910103633164,0.62409311080337,12291.0,Healthy
0.7949011114459927,0.7721996880937018,12266.0,Healthy
0.8067186020730363,0.8931988321854645,12239.0,Healthy
1.5420586590122414,-0.14160074806954315,16026.0,Healthy
0.32302144905165303,0.293911199352199,11984.0,Healthy
0.8021685149288978,0.9387032484827174,12214.0,Healthy
0.21910726674976297,0.6993623066205893,12070.0,Healthy
1.9033382198254543,0.6162403714189717,16284.0,Healthy
2.4013988467071337,0.7823245740756469,16256.0,Healthy
1.8069769663933564,0.34585927035193015,16229.0,Healthy
2.7791621160937927,0.909262148422443,16198.0,Healthy
2.9890363698085975,0.8316957340934141,16170.0,Healthy
2.055209492835746,0.31081641624818784,16143.0,Healthy
1.7261521648930034,0.38420854563885565,16112.0,Healthy
1.754391008935612,0.5887763604401997,16081.0,Healthy
2.7323253490085477,-1.071404976386638,12012.0,Healthy
2.732325548087328,-1.0714039317435449,16361.0,Healthy
1.7542441385653622,0.5880056749982222,919.0,Healthy
0.2191074160588483,0.6993630901029092,16416.0,Healthy
1.8069770161630514,0.34585953151270343,9426.0,Healthy
2.7791621658634877,0.9092624095832162,9395.0,Healthy
1.9033383193648445,0.6162408937405183,17131.0,Healthy
2.401398946246524,0.7823250963971935,17103.0,Healthy
1.8069770659327464,0.3458597926734767,17076.0,Healthy
2.7791622654028783,0.9092629319047628,17048.0,Healthy
2.9890365688873777,0.8316967787365073,17023.0,Healthy
2.0552096919145266,0.310817460891281,16996.0,Healthy
1.726152413741479,0.3842098514427221,16968.0,Healthy
1.754391324143681,0.5887780144584305,16941.0,Healthy
1.9416539042809895,0.0914868811598306,16913.0,Healthy
1.542058957630412,-0.14159918110490344,16885.0,Healthy
2.3014749609643292,0.03375688473523372,16861.0,Healthy
0.7072566591139343,0.6644645161412659,16833.0,Healthy
0.7267383265780233,0.6019041254221538,16806.0,Healthy
0.2635080097997733,0.3728766205810831,16778.0,Healthy
0.8143972688440451,0.6941824447696114,16750.0,Healthy
0.4871263650186642,0.4160187080180436,16723.0,Healthy
0.5377760324967706,0.5818336679667604,16696.0,Healthy
0.8005956051583061,0.586137288316971,16671.0,Healthy
0.24020934988480724,0.6240944166072365,16643.0,Healthy
0.7949013271146715,0.772200819790386,16616.0,Healthy
0.8067188011518167,0.8931998768285576,16588.0,Healthy
0.8021686808278815,0.9387041190186284,16561.0,Healthy
