feature,importance
"num__resistance, tonn_scaled",0.07324004163729028
num__sleeve,0.05711655198473963
num__num_crystallizer,0.05364446704778427
num__num_stream,0.04017003282160997
"cat__resistance, tonn_fca_bin_High",0.028365236248109216
"cat__resistance, tonn_fca_bin_Low",0.017605138585200932
num__cast_in_row_scaled,0.016773184478140902
"cat__resistance, tonn_fca_bin_Medium",0.014770736095331945
"num__Mn,%_scaled",0.013958975710245135
"num__Cr, %_scaled",0.012258852866712716
"num__V, %_scaled",0.011888859837193667
"num__Si, %_scaled",0.011866470292997876
"num__S, %_scaled",0.011713766433467316
"num__Ni, %_scaled",0.011342753240980618
"num__Cu, %_scaled",0.011077607592849063
num__impurity_index_scaled,0.011028317162073612
"num__Pb, %_scaled",0.010983527045331001
"num__Mo, %_scaled",0.010882342750056576
"num__Ce, %_scaled",0.010881169413047625
"num__C, %_scaled",0.010840615671651488
"num__Al, %_scaled",0.01074127180889247
"num__P, %_scaled",0.010304012644511262
"num__steel_temperature_grab1, Celsius deg._scaled",0.010161137845463976
"num__N, %_scaled",0.00980474736097846
"num__As, %_scaled",0.009336082680677794
"num__Ca, %_scaled",0.009296311766543242
num__grab2_num_scaled,0.009268551726003816
"num__temperature_measurement1, Celsius deg._scaled",0.008680721603702974
"num__temperature_measurement2, Celsius deg._scaled",0.008552545561131185
"num__steel_weight_theoretical, tonn_scaled",0.008120743494534264
"num__Ti, %_scaled",0.008114969780367272
"num__steel_weight, tonn_scaled",0.007893226221376682
num__average_cooling_consumption_scaled,0.007822226452991715
"num__Nb, %_scaled",0.007662188399817434
num__shift_encoded,0.007245336873953042
num__total_cooling_consumption_scaled,0.0072136392044223644
"num__workpiece_weight, tonn_scaled",0.006924802271893501
num__temperature_difference_scaled,0.006795849713631825
"num__Zn, %_scaled",0.006751562231277856
num__grab1_num_scaled,0.006203361303584124
cat__shift_Afternoon,0.006123088392723628
"num__water_consumption_secondary_cooling_zone_num3, liter/minute_scaled",0.006001541408570826
cat__cast_in_row_fca_bin_Medium,0.005906186150210552
"num__quantity, tonn_scaled",0.005877974664054302
cat__cast_in_row_fca_bin_High,0.0058412332704259745
"num__water_consumption_secondary_cooling_zone_num1, liter/minute_scaled",0.005593296564201979
"num__water_consumption_secondary_cooling_zone_num2, liter/minute_scaled",0.0046489712723687925
cat__day_fca_bin_High,0.004617860544788634
cat__month_fca_bin_Medium,0.004596322342758692
"cat__Ce, %_fca_bin_Low",0.004586730652117099
cat__hour_fca_bin_High,0.004463187888994324
