feature,importance
num__sleeve,0.45342045992313235
"num__V, %_scaled",0.18315761004018646
num__num_crystallizer,0.08129257837694623
cat__month_fca_bin_Medium,0.07487312227033474
num__num_stream,0.05267594540935081
"num__N, %_scaled",0.03680279162229821
"num__resistance, tonn_scaled",0.016538184917339847
"num__Nb, %_scaled",0.014577406126677756
"num__Ni, %_scaled",0.010584115449130333
"cat__Ni, %_fca_bin_High",0.008563495713129048
"cat__resistance, tonn_fca_bin_Low",0.005839239695891703
"num__Ce, %_scaled",0.005203798733459305
"num__Mn,%_scaled",0.00343830009889028
cat__timestamp_2020-05-27 01:27:20,0.0028895180329143086
cat__timestamp_2020-05-27 00:46:19,0.002723930481780172
cat__timestamp_2020-05-27 21:35:52,0.0024046454194352473
cat__timestamp_2020-05-27 18:36:58,0.002340817902701032
cat__timestamp_2020-05-29 14:38:17,0.0023343882367993555
cat__timestamp_2020-05-29 15:16:49,0.002322316187960712
cat__timestamp_2020-05-27 20:49:32,0.0023118363566092155
cat__timestamp_2020-05-28 05:00:55,0.002290564373780298
cat__timestamp_2020-05-27 20:04:24,0.0022319091857682335
cat__timestamp_2020-05-30 01:05:55,0.0022275020166447066
cat__timestamp_2020-05-29 18:13:36,0.0022155532734193946
cat__timestamp_2020-05-29 17:33:36,0.0021055713106128905
cat__timestamp_2020-05-27 22:16:59,0.002062297477729766
cat__timestamp_2020-06-07 00:00:06,0.0018418994730916578
"num__Al, %_scaled",0.0016028884513684177
cat__timestamp_2020-05-27 17:48:17,0.001103441324504034
"num__S, %_scaled",0.000902159482909115
num__cast_in_row_scaled,0.0008418326142896547
"num__temperature_measurement1, Celsius deg._scaled",0.0008246263417398318
cat__timestamp_2020-05-30 11:49:04,0.000615789539772403
"cat__N, %_fca_bin_High",0.000614198391306042
cat__timestamp_2020-05-29 14:05:01,0.000594793124023247
cat__timestamp_2020-05-29 20:34:18,0.0005542388766739614
cat__timestamp_2020-05-28 08:53:26,0.0005367074694652634
"num__P, %_scaled",0.0004784291552918318
num__impurity_index_scaled,0.0004309960522875347
cat__day_fca_bin_High,0.00040771682558135087
cat__timestamp_2020-05-28 03:31:37,0.0004051509307452047
"num__Mo, %_scaled",0.00039002128240319935
num__temperature_difference_scaled,0.00037124123908977724
num__grab2_num_scaled,0.0003698364931846061
"num__Si, %_scaled",0.0003242243926142854
"num__C, %_scaled",0.00031905380544062985
"cat__resistance, tonn_fca_bin_High",0.00029370131856155685
num__average_cooling_consumption_scaled,0.0002857268038429351
cat__timestamp_2020-05-27 03:09:17,0.00028550011852203176
cat__timestamp_2020-05-29 13:09:19,0.00023898737353746395
"num__As, %_scaled",0.00022043736769202717
"num__Cu, %_scaled",0.00021810212702310736
"num__steel_temperature_grab1, Celsius deg._scaled",0.0001943617440801984
cat__weekday_fca_bin_High,0.00019043115566447978
cat__timestamp_2020-05-29 22:47:54,0.0001879373722201503
"num__water_consumption_secondary_cooling_zone_num1, liter/minute_scaled",0.0001872816768099937
"num__Cr, %_scaled",0.00018004482687795787
"num__water_consumption_secondary_cooling_zone_num2, liter/minute_scaled",0.00017224346726552077
cat__day_fca_bin_Low,0.00016931694894893178
"num__Ca, %_scaled",0.00016532609164705297
cat__timestamp_2020-05-27 04:02:24,0.00016125811684912256
cat__hour_fca_bin_Low,0.0001548284724938387
"cat__workpiece_weight, tonn_fca_bin_Medium",0.00014994101229166818
"num__Sn, %_scaled",0.00014456355052060198
cat__timestamp_2020-05-23 20:15:42,0.00013230549044728976
cat__day_fca_bin_Medium,0.00013096368231011946
cat__grab2_num_fca_bin_High,0.0001305818552780127
cat__timestamp_2020-05-29 21:16:15,0.00012914684534995243
cat__timestamp_2020-05-27 04:32:48,0.00012695279576117142
cat__shift_Afternoon,0.00012374300251894306
"cat__Mn,%_fca_bin_Medium",0.00011956039568823283
num__total_cooling_consumption_scaled,0.00011156578780665562
cat__timestamp_2020-06-07 14:07:32,0.00011061500369260941
cat__timestamp_2020-06-07 08:03:46,0.00010945115421114949
"num__water_consumption, liter/minute_scaled",0.00010894414377860772
cat__timestamp_2020-05-28 17:24:45,0.00010680012821254168
num__shift_encoded,0.00010671455978072912
"num__swing_frequency, amount/minute_scaled",0.00010661287273792048
"num__alloy_speed, meter/minute_scaled",0.00010350775689067962
"num__crystallizer_movement, mm_scaled",0.00010195183711320948
cat__timestamp_2020-06-09 08:32:48,9.479084771542197e-05
cat__hour_fca_bin_High,8.608582390118066e-05
cat__timestamp_2020-05-28 02:46:17,8.542007053055292e-05
cat__timestamp_2020-05-27 05:17:28,8.483360461175074e-05
"cat__As, %_fca_bin_High",8.454321870395865e-05
cat__average_cooling_consumption_fca_bin_Medium,8.423851250693025e-05
cat__timestamp_2020-05-28 02:04:28,8.320642284186841e-05
cat__grab2_num_fca_bin_Medium,8.087384666937789e-05
"cat__temperature_measurement2, Celsius deg._fca_bin_High",7.8436758212479e-05
num__doc_requirement_encoded,7.675945785002097e-05
"cat__Cr, %_fca_bin_Low",7.355161648468452e-05
cat__total_cooling_consumption_fca_bin_Low,7.096529387065201e-05
cat__total_cooling_consumption_fca_bin_Medium,7.068494906757257e-05
"cat__Al, %_fca_bin_Low",6.993299379656173e-05
cat__timestamp_2020-05-28 04:13:14,6.632159037815719e-05
cat__timestamp_2020-05-28 00:41:52,6.350302618784037e-05
cat__timestamp_2020-05-27 02:20:43,6.314379071560503e-05
cat__cast_in_row_fca_bin_High,6.282572393648642e-05
"num__temperature_measurement2, Celsius deg._scaled",5.9543042022469945e-05
"cat__Si, %_fca_bin_Low",5.9422600819652285e-05
cat__timestamp_2020-06-07 17:00:28,5.60684144709155e-05
cat__timestamp_2020-06-08 17:54:27,5.4329152133504736e-05
"num__Ti, %_scaled",5.3598220413983774e-05
cat__timestamp_2020-06-08 17:16:23,5.3033450103261044e-05
cat__timestamp_2020-06-09 15:48:43,5.297570453595318e-05
"num__steel_weight_theoretical, tonn_scaled",5.24136655932266e-05
cat__timestamp_2020-05-27 23:02:56,5.234748244637067e-05
"cat__Al, %_fca_bin_High",5.195911625507485e-05
"num__Zn, %_scaled",5.122376166770491e-05
"cat__resistance, tonn_fca_bin_Medium",5.105794780876281e-05
"cat__As, %_fca_bin_Medium",5.1017297205750234e-05
"cat__temperature_measurement1, Celsius deg._fca_bin_High",5.054098862685789e-05
"cat__crystallizer_movement, mm_fca_bin_Low",4.987879643417493e-05
"num__water_consumption_secondary_cooling_zone_num3, liter/minute_scaled",4.8516622435414145e-05
cat__timestamp_2020-06-09 02:44:08,4.82495346072558e-05
"cat__Ni, %_fca_bin_Low",4.7909979932156936e-05
cat__timestamp_2020-06-08 06:02:35,4.766613613422897e-05
num__workpiece_slice_geometry_encoded,4.560750518391039e-05
"cat__S, %_fca_bin_High",4.4793506772762205e-05
cat__timestamp_2020-06-07 13:22:20,4.322484267063783e-05
cat__timestamp_2020-05-28 23:14:49,4.284211676759865e-05
cat__timestamp_2020-06-09 03:25:42,4.2836224955893155e-05
"cat__N, %_fca_bin_Low",4.223882000005633e-05
"cat__Ca, %_fca_bin_High",3.708567620413952e-05
cat__timestamp_2020-06-07 16:20:03,3.6591489397268685e-05
cat__timestamp_2020-06-07 22:31:39,3.6553246412595414e-05
cat__timestamp_2020-06-05 19:12:03,3.640299355545774e-05
"cat__crystallizer_movement, mm_fca_bin_Medium",3.436341864334601e-05
cat__timestamp_2020-05-30 10:49:57,3.2192969045196286e-05
cat__timestamp_2020-05-27 06:46:47,3.211754650655258e-05
"cat__temperature_measurement2, Celsius deg._fca_bin_Low",3.155069208862464e-05
cat__shift_Night,3.132325857300983e-05
"num__Pb, %_scaled",3.0435386009815667e-05
"num__steel_weight, tonn_scaled",3.0116282536853804e-05
cat__timestamp_2020-05-25 06:54:53,2.983924808981528e-05
"cat__Nb, %_fca_bin_Low",2.8787300176468623e-05
num__steel_type_encoded,2.867311150753404e-05
num__grab1_num_scaled,2.7460026636962443e-05
cat__impurity_index_fca_bin_Low,2.574346753365919e-05
"cat__Mn,%_fca_bin_Low",2.4429340175266868e-05
cat__timestamp_2020-05-28 08:00:23,2.31997535553642e-05
cat__timestamp_2020-05-29 19:46:03,2.114079456499955e-05
"num__quantity, tonn_scaled",2.0755034175159515e-05
"cat__steel_weight_theoretical, tonn_fca_bin_Low",2.0628594016018682e-05
cat__timestamp_2020-03-08 02:54:23,2.0339141598076146e-05
"cat__Al, %_fca_bin_Medium",2.016534940751805e-05
"cat__V, %_fca_bin_Low",2.0077271702147283e-05
cat__timestamp_2020-05-30 10:34:46,1.9911534894240977e-05
"cat__Cu, %_fca_bin_High",1.9775237814148727e-05
"cat__Ni, %_fca_bin_Medium",1.972948588300702e-05
"cat__steel_weight, tonn_fca_bin_Medium",1.8890197399100623e-05
"cat__C, %_fca_bin_Medium",1.8481936140305318e-05
