antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'High_Resistance_Scaled'}),frozenset({'High_Temp_Scaled'}),0.5000856995943552,0.5060275381363195,0.22756098954464948,0.4550439849194562,0.8992474729643493,1.0,-0.0254961458782611,0.906444645428259,-0.1830868141064336,0.2922873706611874,-0.10321132685111713,0.45237239327264445
frozenset({'High_Temp_Scaled'}),frozenset({'High_Resistance_Scaled'}),0.5060275381363195,0.5000856995943552,0.22756098954464948,0.44970080162583265,0.8992474729643493,1.0,-0.0254961458782611,0.9084409024810823,-0.18488194321657228,0.2922873706611874,-0.10078707075920579,0.45237239327264445
frozenset({'High_Cooling_Scaled'}),frozenset({'High_Temp_Scaled'}),0.8194023881620294,0.5060275381363195,0.3951893961035251,0.482289778273602,0.9530899840942594,1.0,-0.01945077712112747,0.9541485586597852,-0.21416598498821857,0.4248249600786144,-0.048054824297611036,0.6316269936868744
frozenset({'High_Temp_Scaled'}),frozenset({'High_Cooling_Scaled'}),0.5060275381363195,0.8194023881620294,0.3951893961035251,0.7809642091001467,0.9530899840942594,1.0,-0.01945077712112747,0.8245118804375802,-0.09061056540338465,0.4248249600786144,-0.212838800417631,0.6316269936868744
frozenset({'High_Temp_Delta_Scaled'}),frozenset({'High_Temp_Scaled'}),0.9727475289950295,0.5060275381363195,0.481174655773296,0.49465523317279453,0.977526312094775,1.0,-0.01106238155224687,0.9774959478952839,-0.4575849512105243,0.482332054292423,-0.02302214362440178,0.7227707688953054
frozenset({'High_Temp_Scaled'}),frozenset({'High_Temp_Delta_Scaled'}),0.5060275381363195,0.9727475289950295,0.481174655773296,0.9508863046178163,0.9775263120947749,1.0,-0.01106238155224687,0.5548853694046516,-0.044471990966336805,0.482332054292423,-0.8021740257324166,0.7227707688953054
frozenset({'High_Total_Cooling_Scaled'}),frozenset({'High_Temp_Scaled'}),0.5638461977946637,0.5060275381363195,0.2682968633948466,0.47583341777282406,0.9403310727422083,1.0,-0.01702483996271137,0.9423959455118236,-0.12700977859222826,0.3347113328581611,-0.06112510857301189,0.5030177589033478
frozenset({'High_Temp_Scaled'}),frozenset({'High_Total_Cooling_Scaled'}),0.5060275381363195,0.5638461977946637,0.2682968633948466,0.5302021000338715,0.9403310727422083,1.0,-0.01702483996271137,0.9283860192580301,-0.11383580960895942,0.3347113328581611,-0.07713815078689372,0.5030177589033478
frozenset({'High_Temp_Scaled'}),frozenset({'High_Impurity_Index_Scaled'}),0.5060275381363195,0.5005427640975832,0.21984802605267667,0.4344586203003274,0.8679750292337212,1.0,-0.03344039659557191,0.8831488796940915,-0.23543064703508434,0.2794480755265069,-0.13231191590978827,0.43683894375363364
frozenset({'High_Impurity_Index_Scaled'}),frozenset({'High_Temp_Scaled'}),0.5005427640975832,0.5060275381363195,0.21984802605267667,0.4392192672069398,0.867975029233721,1.0,-0.03344039659557191,0.8808656092789955,-0.23344882532979275,0.2794480755265069,-0.13524695420737134,0.43683894375363364
frozenset({'Critical_RUL'}),frozenset({'High_Temp_Scaled'}),0.03850768439696052,0.5060275381363195,0.01999657201622579,0.5192878338278931,1.0262046918245018,1.0,0.000510623281501494,1.0275846891855573,0.02655823705678119,0.03812220890970482,0.02684420026481759,0.27940230011367556
frozenset({'High_Resistance_Scaled'}),frozenset({'High_Cooling_Scaled'}),0.5000856995943552,0.8194023881620294,0.4286122379020739,0.8570775734034046,1.0459788570129542,1.0,0.01884082136878007,1.2636058324682315,0.08793053281029836,0.48111332007952284,0.20861397256557768,0.690078320936816
