support,itemsets
0.5060275381363195,frozenset({'High_Temp_Scaled'})
0.5000856995943552,frozenset({'High_Resistance_Scaled'})
0.8194023881620294,frozenset({'High_Cooling_Scaled'})
0.9727475289950295,frozenset({'High_Temp_Delta_Scaled'})
0.5638461977946637,frozenset({'High_Total_Cooling_Scaled'})
0.5005427640975832,frozenset({'High_Impurity_Index_Scaled'})
0.03850768439696052,frozenset({'Critical_RUL'})
0.22756098954464948,"frozenset({'High_Resistance_Scaled', 'High_Temp_Scaled'})"
0.3951893961035251,"frozenset({'High_Cooling_Scaled', 'High_Temp_Scaled'})"
0.481174655773296,"frozenset({'High_Temp_Delta_Scaled', 'High_Temp_Scaled'})"
0.2682968633948466,"frozenset({'High_Total_Cooling_Scaled', 'High_Temp_Scaled'})"
0.21984802605267667,"frozenset({'High_Impurity_Index_Scaled', 'High_Temp_Scaled'})"
0.01999657201622579,"frozenset({'Critical_RUL', 'High_Temp_Scaled'})"
0.4286122379020739,"frozenset({'High_Resistance_Scaled', 'High_Cooling_Scaled'})"
0.49008741358624236,"frozenset({'High_Temp_Delta_Scaled', 'High_Resistance_Scaled'})"
0.30326229789179,"frozenset({'High_Resistance_Scaled', 'High_Total_Cooling_Scaled'})"
0.2649831457464435,"frozenset({'High_Resistance_Scaled', 'High_Impurity_Index_Scaled'})"
0.023424555790435925,"frozenset({'High_Resistance_Scaled', 'Critical_RUL'})"
0.8054619208135748,"frozenset({'High_Temp_Delta_Scaled', 'High_Cooling_Scaled'})"
0.5260812432154488,"frozenset({'High_Total_Cooling_Scaled', 'High_Cooling_Scaled'})"
0.45894989430383365,"frozenset({'High_Cooling_Scaled', 'High_Impurity_Index_Scaled'})"
0.03382277323887334,"frozenset({'Critical_RUL', 'High_Cooling_Scaled'})"
0.5632748671656288,"frozenset({'High_Temp_Delta_Scaled', 'High_Total_Cooling_Scaled'})"
0.49494372393304004,"frozenset({'High_Temp_Delta_Scaled', 'High_Impurity_Index_Scaled'})"
