Model,MAE,RMSE,R2,MAPE
Linear Regression,241005.57621767846,294613.5040544423,-31.0710239894469,225499374.23954
Ridge,240988.13434012272,294574.5117484724,-31.062535305736603,225457566.40377095
Lasso,241003.72686195245,294608.7630187118,-31.069991798830166,225496926.17630097
ElasticNet,236310.85350289688,258701.75924319538,-23.72898503463772,192946361.70166132
Decision Tree,140717.81940714482,846928.1610984878,-264.03344101790157,1101527.0049145974
Random Forest,117799.3626223025,636404.27620069,-148.64896100563925,28758730.15632254
Extra Trees,88805.84484731832,405697.09551683103,-59.815085917530475,7443720.0358693795
Gradient Boosting,122868.01545911942,470525.2564126185,-80.80378671499317,69112620.22516389
XGBoost,164077.90625,771893.5331352375,-219.15184020996094,65185465.897006996
LightGBM,135269.32235070318,509860.25405495166,-95.05275894675196,141070894.1787881
SVR,13348.432173545352,53208.35653553715,-0.046085584811653035,3988885.814367905
KNN Regressor,133732.63774338493,575118.8240790437,-121.21448805330698,46840442.913363755
MLP Regressor,15932.740157551896,54385.571873543406,-0.09288616144419537,329674.5839913029
