Feature,Importance
resistance__tonn_scaled,0.43461396359861104
month_scaled,0.15948972330085218
V____scaled,0.13429228012120484
day_scaled,0.05591010677760618
grab2_num_scaled,0.022495853842422402
weekday_scaled,0.02188815515025055
cast_in_row_scaled,0.017566067446427948
N____scaled,0.015239928664835192
Mn___scaled,0.012314115737248301
hour_scaled,0.011575425364840427
S____scaled,0.009708222913354088
Ce____scaled,0.008941652837043705
Si____scaled,0.007995714894307724
water_consumption_secondary_cooling_zone_num3__liter_minute_scaled,0.007628030982836396
Cu____scaled,0.0064244882711931945
Cr____scaled,0.005643602633313157
C____scaled,0.004993191807717539
Pb____scaled,0.004780355691519907
steel_temperature_grab1__Celsius_deg._scaled,0.0039323845150693384
Ca____scaled,0.003929401269322963
water_consumption_secondary_cooling_zone_num2__liter_minute_scaled,0.0037568349414382352
Ni____scaled,0.003694449713262017
P____scaled,0.003551516799755887
Zn____scaled,0.0034765675365752246
As____scaled,0.0034719329898526964
Mo____scaled,0.0033971140327069705
Al____scaled,0.003131184802221006
temperature_measurement1__Celsius_deg._scaled,0.003074421719428944
Sn____scaled,0.0030587912130684894
total_cooling_consumption_scaled,0.003003171221530434
temperature_measurement2__Celsius_deg._scaled,0.0029922612559167504
impurity_index_scaled,0.0023674963412058576
Nb____scaled,0.0018418685749893424
steel_weight__tonn_scaled,0.0016379112279181227
grab1_num_scaled,0.0014479938407030112
temperature_difference_scaled,0.0011715593427951455
Ti____scaled,0.0010083221031654283
workpiece_weight__tonn_scaled,0.0009782893934166532
water_consumption_secondary_cooling_zone_num1__liter_minute_scaled,0.0007221361463397544
steel_weight_theoretical__tonn_scaled,0.0006906066791589127
average_cooling_consumption_scaled,0.000638171618734902
water_consumption__liter_minute_scaled,0.0005251664105041993
swing_frequency__amount_minute_scaled,0.0005052024911455674
quantity__tonn_scaled,0.00032175880230549386
technical_trim__tonn_scaled,0.00011936117674468246
alloy_speed__meter_minute_scaled,5.3242509052275264e-05
crystallizer_movement__mm_scaled,9.965298335237742e-10
residuals_grab2__tonn_scaled,1.2558003395792895e-10
Mg____scaled,9.046625471314758e-11
water_temperature_delta__Celsius_deg._scaled,8.351094194009093e-11
metal_residue_grab1__tonn_scaled,0.0
slag_weight_close_grab1__tonn_scaled,0.0
year_scaled,0.0
