DBSCAN,RUL_class,count
-1,Healthy,257
-1,Critical,44
-1,Medium,38
-1,Low,23
0,Low,12
0,Healthy,11
0,Critical,10
1,Healthy,8
1,Critical,1
2,Healthy,8
2,Critical,1
3,Healthy,8
3,Critical,1
4,Healthy,8
4,Critical,1
5,Healthy,6
6,Healthy,6
7,Healthy,6
8,Healthy,6
9,Healthy,18
10,Healthy,5
10,Low,1
11,Healthy,6
12,Healthy,6
13,Healthy,6
14,Healthy,6
15,Healthy,6
16,Healthy,5
16,Medium,1
17,Healthy,10
17,Medium,2
18,Healthy,5
18,Medium,1
19,Healthy,15
19,Medium,2
19,Low,1
20,Healthy,10
20,Medium,1
20,Low,1
21,Healthy,5
21,Medium,1
22,Healthy,5
22,Low,1
23,Healthy,10
23,Medium,2
24,Healthy,10
24,Medium,2
25,Healthy,5
25,Medium,1
26,Healthy,5
26,Medium,1
27,Healthy,3
27,Critical,3
28,Healthy,10
28,Critical,2
29,Healthy,18
29,Critical,10
29,Low,8
30,Healthy,5
30,Critical,1
31,Healthy,5
31,Critical,1
32,Healthy,3
32,Low,2
32,Critical,1
33,Healthy,31
33,Low,3
33,Critical,2
34,Healthy,3
34,Low,2
34,Critical,1
35,Healthy,3
35,Low,2
35,Critical,1
36,Healthy,5
36,Low,1
37,Critical,3
37,Healthy,3
38,Healthy,5
38,Medium,1
39,Critical,3
39,Healthy,3
40,Healthy,5
40,Low,1
41,Healthy,10
41,Low,2
42,Healthy,5
42,Low,1
43,Healthy,5
43,Medium,1
44,Healthy,5
44,Medium,1
45,Healthy,5
45,Medium,1
46,Healthy,6
47,Healthy,6
48,Healthy,6
49,Healthy,6
50,Healthy,6
51,Healthy,6
52,Healthy,6
53,Healthy,6
54,Healthy,6
55,Healthy,6
56,Healthy,6
57,Healthy,12
58,Healthy,12
59,Healthy,6
60,Healthy,6
61,Healthy,30
62,Healthy,6
63,Healthy,6
64,Healthy,6
65,Healthy,6
66,Healthy,6
67,Healthy,6
68,Healthy,6
69,Critical,5
69,Healthy,3
70,Critical,5
70,Healthy,3
71,Critical,5
71,Healthy,3
72,Critical,5
72,Healthy,3
73,Low,5
73,Healthy,3
74,Low,4
74,Healthy,3
74,Medium,1
75,Low,5
75,Healthy,3
76,Critical,5
76,Healthy,3
77,Healthy,6
77,Low,5
77,Medium,5
78,Healthy,4
78,Low,4
79,Critical,5
79,Healthy,3
80,Low,5
80,Healthy,3
81,Low,5
81,Healthy,3
82,Low,5
82,Healthy,3
83,Low,5
83,Healthy,3
84,Medium,5
84,Healthy,3
85,Medium,10
85,Healthy,4
85,Critical,2
86,Healthy,21
86,Medium,14
86,Critical,5
87,Medium,5
87,Healthy,3
88,Medium,5
88,Healthy,3
89,Medium,5
89,Healthy,2
89,Critical,1
90,Medium,5
90,Healthy,2
90,Critical,1
91,Medium,5
91,Healthy,2
91,Critical,1
92,Medium,5
92,Healthy,2
92,Critical,1
93,Healthy,14
93,Critical,2
94,Healthy,29
94,Critical,1
95,Healthy,4
95,Critical,2
96,Healthy,6
97,Healthy,6
98,Healthy,4
98,Critical,2
99,Healthy,4
99,Critical,2
100,Healthy,6
101,Healthy,4
101,Critical,2
102,Healthy,4
102,Critical,2
103,Healthy,6
104,Healthy,4
104,Critical,2
105,Healthy,4
105,Critical,2
106,Healthy,4
106,Critical,2
107,Healthy,7
108,Healthy,6
108,Critical,1
109,Healthy,6
109,Critical,1
110,Healthy,7
111,Healthy,7
112,Healthy,7
113,Healthy,7
114,Healthy,7
115,Healthy,7
116,Healthy,14
117,Healthy,7
118,Healthy,7
119,Healthy,7
120,Healthy,7
121,Healthy,14
122,Healthy,7
123,Healthy,7
124,Healthy,7
125,Healthy,5
125,Critical,1
126,Healthy,10
126,Medium,2
127,Healthy,5
127,Medium,1
128,Healthy,4
128,Critical,1
128,Low,1
129,Healthy,5
129,Medium,1
130,Healthy,10
130,Medium,2
131,Healthy,5
131,Medium,1
132,Healthy,5
132,Low,1
133,Healthy,5
133,Low,1
134,Healthy,5
134,Low,1
135,Healthy,4
135,Low,1
135,Critical,1
136,Healthy,5
136,Medium,1
137,Healthy,5
137,Low,1
138,Healthy,5
138,Medium,1
139,Healthy,10
139,Critical,2
140,Healthy,28
140,Medium,2
141,Healthy,5
141,Critical,1
142,Healthy,5
142,Critical,1
143,Healthy,5
143,Critical,1
144,Healthy,10
144,Low,2
145,Healthy,5
145,Medium,1
146,Healthy,6
147,Healthy,5
147,Medium,1
148,Healthy,5
148,Medium,1
149,Healthy,5
149,Medium,1
150,Healthy,4
150,Critical,2
151,Healthy,8
152,Healthy,8
153,Healthy,8
154,Healthy,8
155,Healthy,8
156,Healthy,8
157,Healthy,8
158,Healthy,8
159,Healthy,40
160,Healthy,8
161,Critical,10
161,Healthy,2
162,Critical,5
162,Healthy,1
163,Healthy,70
163,Low,7
163,Medium,3
164,Healthy,8
165,Healthy,24
165,Critical,8
166,Healthy,8
167,Healthy,14
167,Medium,2
168,Healthy,7
168,Low,1
169,Healthy,49
169,Medium,7
170,Healthy,7
170,Medium,1
171,Healthy,7
171,Low,1
172,Healthy,7
172,Medium,1
173,Healthy,6
173,Critical,2
174,Healthy,8
175,Healthy,30
176,Healthy,6
177,Healthy,12
178,Healthy,6
179,Healthy,6
180,Healthy,18
181,Healthy,6
182,Healthy,6
183,Healthy,6
184,Healthy,6
185,Healthy,6
186,Healthy,6
187,Healthy,6
188,Healthy,6
189,Healthy,6
190,Healthy,6
191,Healthy,6
192,Healthy,6
193,Healthy,6
194,Healthy,6
195,Healthy,6
196,Healthy,6
197,Healthy,6
198,Healthy,6
199,Healthy,6
200,Healthy,5
200,Medium,4
201,Healthy,5
201,Medium,4
202,Healthy,5
202,Medium,4
203,Healthy,4
203,Medium,4
203,Critical,1
204,Healthy,20
204,Medium,9
204,Low,7
205,Healthy,5
205,Medium,4
206,Healthy,5
206,Medium,4
207,Healthy,30
207,Medium,14
207,Critical,1
208,Healthy,14
208,Medium,4
209,Healthy,9
210,Healthy,5
210,Critical,4
211,Healthy,15
211,Critical,12
212,Healthy,5
212,Medium,4
213,Healthy,10
213,Low,4
213,Critical,4
214,Healthy,5
214,Low,4
215,Healthy,5
215,Low,4
216,Healthy,5
216,Low,4
217,Healthy,5
217,Low,4
218,Healthy,5
218,Low,4
219,Healthy,5
219,Low,4
220,Healthy,3
220,Medium,2
220,Low,2
220,Critical,2
221,Healthy,5
221,Low,2
221,Medium,2
222,Healthy,5
222,Critical,4
223,Healthy,6
224,Healthy,5
224,Medium,1
225,Healthy,6
226,Healthy,6
227,Healthy,5
227,Medium,1
228,Healthy,25
228,Medium,5
229,Healthy,5
229,Medium,1
230,Healthy,5
230,Medium,1
231,Healthy,5
231,Medium,1
232,Healthy,10
232,Medium,2
233,Healthy,5
233,Medium,1
234,Healthy,5
234,Medium,1
235,Healthy,5
235,Low,1
236,Healthy,5
236,Critical,1
237,Healthy,53
237,Critical,7
237,Low,6
238,Healthy,10
238,Low,2
239,Healthy,5
239,Medium,1
240,Healthy,5
240,Low,1
241,Healthy,6
242,Healthy,18
243,Healthy,6
244,Healthy,6
245,Healthy,6
246,Healthy,6
247,Healthy,6
248,Healthy,6
249,Healthy,6
250,Healthy,12
251,Healthy,6
252,Healthy,6
253,Healthy,18
254,Healthy,6
255,Healthy,6
256,Healthy,6
257,Healthy,6
258,Healthy,6
259,Healthy,6
260,Healthy,6
261,Healthy,12
262,Healthy,6
263,Healthy,6
264,Healthy,6
265,Healthy,6
266,Healthy,6
267,Healthy,6
268,Healthy,3
268,Low,3
269,Healthy,6
269,Critical,3
269,Low,3
270,Low,3
270,Healthy,3
271,Healthy,3
271,Critical,3
272,Healthy,3
272,Critical,3
273,Critical,3
273,Healthy,3
274,Healthy,6
275,Low,3
275,Healthy,3
276,Low,3
276,Healthy,3
277,Healthy,3
277,Critical,3
278,Healthy,3
278,Critical,3
279,Healthy,6
280,Healthy,6
281,Healthy,6
282,Healthy,23
282,Critical,1
283,Healthy,6
284,Healthy,6
285,Healthy,6
286,Healthy,5
286,Medium,1
287,Healthy,44
287,Medium,22
288,Healthy,4
288,Medium,2
289,Healthy,20
289,Medium,10
290,Healthy,4
290,Medium,2
291,Healthy,4
291,Medium,2
