antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'impurity_index_fca_bin=Low', 'average_cooling_consumption_fca_bin=Low'})",frozenset({'total_cooling_consumption_fca_bin=Low'}),0.16654287836370907,0.33365708735645316,0.16654287836370907,1.0,2.9970890410958906,1.0,0.11097466664891384,inf,0.7994927337537702,0.4991438356164383,1.0,0.7495719178082192
"frozenset({'total_cooling_consumption_fca_bin=Low', 'impurity_index_fca_bin=Low'})",frozenset({'average_cooling_consumption_fca_bin=Low'}),0.16654287836370907,0.33365708735645316,0.16654287836370907,1.0,2.9970890410958906,1.0,0.11097466664891384,inf,0.7994927337537702,0.4991438356164383,1.0,0.7495719178082192
"frozenset({'S, %_fca_bin=Low', 'P, %_fca_bin=Low'})",frozenset({'impurity_index_fca_bin=Low'}),0.15368793921042107,0.3347426155516197,0.1514597497571845,0.9855018587360596,2.944058548123784,1.0,0.1000138470071498,45.885701645285955,0.7802474673385137,0.4494743981010512,0.978206718778534,0.7189840749560141
"frozenset({'impurity_index_fca_bin=High', 'crystallizer_movement, mm_fca_bin=Low'})","frozenset({'S, %_fca_bin=High'})",0.23921613437696396,0.3323430269096726,0.17688396274924298,0.7394315739192738,2.2249047341084838,1.0,0.09738214856477179,2.5623095750038494,0.7236517210746063,0.44817602779386223,0.6097270955253337,0.6358323418848562
"frozenset({'S, %_fca_bin=High'})","frozenset({'impurity_index_fca_bin=High', 'crystallizer_movement, mm_fca_bin=Low'})",0.3323430269096726,0.23921613437696396,0.17688396274924298,0.5322331098504384,2.2249047341084838,1.0,0.09738214856477179,1.626416665317604,0.824588937004061,0.44817602779386223,0.3851514059561597,0.6358323418848562
"frozenset({'impurity_index_fca_bin=High', 'steel_weight, tonn_fca_bin=Low'})","frozenset({'steel_weight_theoretical, tonn_fca_bin=Low'})",0.16288636233788492,0.45472204764897445,0.16288636233788492,1.0,2.19914562130921,1.0,0.0888183421215091,inf,0.6513786513786515,0.35821083050634495,1.0,0.6791054152531725
"frozenset({'impurity_index_fca_bin=High', 'steel_weight_theoretical, tonn_fca_bin=Low'})","frozenset({'steel_weight, tonn_fca_bin=Low'})",0.16288636233788492,0.45472204764897445,0.16288636233788492,1.0,2.19914562130921,1.0,0.0888183421215091,inf,0.6513786513786515,0.35821083050634495,1.0,0.6791054152531725
"frozenset({'impurity_index_fca_bin=Medium', 'steel_weight, tonn_fca_bin=Low'})","frozenset({'steel_weight_theoretical, tonn_fca_bin=Low'})",0.15208821344912302,0.45472204764897445,0.15208821344912302,1.0,2.19914562130921,1.0,0.0829303496062635,inf,0.6430833501785594,0.3344641286593794,1.0,0.6672320643296896
"frozenset({'impurity_index_fca_bin=Medium', 'steel_weight_theoretical, tonn_fca_bin=Low'})","frozenset({'steel_weight, tonn_fca_bin=Low'})",0.15208821344912302,0.45472204764897445,0.15208821344912302,1.0,2.19914562130921,1.0,0.0829303496062635,inf,0.6430833501785594,0.3344641286593794,1.0,0.6672320643296896
frozenset({'impurity_index_fca_bin=High'}),"frozenset({'S, %_fca_bin=High', 'crystallizer_movement, mm_fca_bin=Low'})",0.33291435753870763,0.24241558589956008,0.17688396274924298,0.5313197185515703,2.1917721031836286,1.0,0.09618033371212155,1.6164204983388006,0.8151100105519129,0.44393461428161746,0.38134909757225754,0.630496060077105
"frozenset({'S, %_fca_bin=High', 'crystallizer_movement, mm_fca_bin=Low'})",frozenset({'impurity_index_fca_bin=High'}),0.24241558589956008,0.33291435753870763,0.17688396274924298,0.7296724016026396,2.191772103183628,1.0,0.09618033371212155,2.4676934446061574,0.7177394029565712,0.44393461428161746,0.5947632789697671,0.630496060077105
"frozenset({'impurity_index_fca_bin=High', 'total_cooling_consumption_fca_bin=Medium'})","frozenset({'S, %_fca_bin=High'})",0.21464891732845798,0.3323430269096726,0.15620179397817516,0.7277082778812882,2.189630047749044,1.0,0.08486472307035135,2.4519914446728834,0.6917948651631423,0.39970760233918123,0.5921682344477313,0.5988549984902402
"frozenset({'average_cooling_consumption_fca_bin=Medium', 'impurity_index_fca_bin=High'})","frozenset({'S, %_fca_bin=High'})",0.21464891732845798,0.3323430269096726,0.15620179397817516,0.7277082778812882,2.189630047749044,1.0,0.08486472307035135,2.4519914446728834,0.6917948651631423,0.39970760233918123,0.5921682344477313,0.5988549984902402
"frozenset({'total_cooling_consumption_fca_bin=Medium', 'S, %_fca_bin=High'})",frozenset({'impurity_index_fca_bin=High'}),0.21596297777523854,0.33291435753870763,0.15620179397817516,0.7232804232804232,2.1725720351256648,1.0,0.08430461797998542,2.4106919010551473,0.6883808445083438,0.3977884475483776,0.5851813333913367,0.596237774708686
"frozenset({'average_cooling_consumption_fca_bin=Medium', 'S, %_fca_bin=High'})",frozenset({'impurity_index_fca_bin=High'}),0.21596297777523854,0.33291435753870763,0.15620179397817516,0.7232804232804232,2.1725720351256648,1.0,0.08430461797998542,2.4106919010551473,0.6883808445083438,0.3977884475483776,0.5851813333913367,0.596237774708686
"frozenset({'P, %_fca_bin=High', 'crystallizer_movement, mm_fca_bin=Low'})",frozenset({'impurity_index_fca_bin=High'}),0.21921956236073817,0.33291435753870763,0.15643032622978917,0.7135783163930153,2.143429083889986,1.0,0.08344898646654737,2.32903331221472,0.6832367083345048,0.39532197516604095,0.5706373134486936,0.591729951057328
"frozenset({'S, %_fca_bin=Low', 'month_fca_bin=Low'})",frozenset({'impurity_index_fca_bin=Low'}),0.21402045363651945,0.3347426155516197,0.15288807632977203,0.7143619861185264,2.134063465272669,1.0,0.08124630989793935,2.329022581442647,0.6761122181255624,0.38620291528359074,0.5706353351968884,0.5855476085226529
"frozenset({'S, %_fca_bin=High'})",frozenset({'impurity_index_fca_bin=High'}),0.3323430269096726,0.33291435753870763,0.23584528366565732,0.7096441464672513,2.1316117205451004,1.0,0.12520351837955424,2.2974761291872934,0.7951259880636341,0.5492283129324109,0.5647397649551473,0.7090352189346725
frozenset({'impurity_index_fca_bin=High'}),"frozenset({'S, %_fca_bin=High'})",0.33291435753870763,0.3323430269096726,0.23584528366565732,0.7084262914020938,2.1316117205451004,1.0,0.12520351837955424,2.289839424483425,0.7958069798314173,0.5492283129324109,0.5632881549213459,0.7090352189346725
"frozenset({'impurity_index_fca_bin=High', 'RUL_class=Healthy'})","frozenset({'S, %_fca_bin=High'})",0.29143575387076504,0.3323430269096726,0.20636462320745017,0.7080964516761419,2.1306192528257712,1.0,0.10950798261633778,2.2872519944484617,0.7489128722674137,0.49438817410347674,0.5627941291877042,0.6645175399174934
"frozenset({'S, %_fca_bin=High'})","frozenset({'impurity_index_fca_bin=High', 'RUL_class=Healthy'})",0.3323430269096726,0.29143575387076504,0.20636462320745017,0.6209386281588448,2.1306192528257712,1.0,0.10950798261633778,1.8692599635980773,0.7947986857659134,0.49438817410347674,0.4650289315162281,0.6645175399174934
"frozenset({'S, %_fca_bin=High', 'RUL_class=Healthy'})",frozenset({'impurity_index_fca_bin=High'}),0.29189281837399306,0.33291435753870763,0.20636462320745017,0.7069876688197299,2.1236322579975515,1.0,0.1091893131083096,2.2766469922075765,0.7472155238549143,0.4931731294374659,0.5607575511606485,0.663430336898281
frozenset({'impurity_index_fca_bin=High'}),"frozenset({'S, %_fca_bin=High', 'RUL_class=Healthy'})",0.33291435753870763,0.29189281837399306,0.20636462320745017,0.6198730049768321,2.1236322579975515,1.0,0.1091893131083096,1.8628174028599291,0.793164542879223,0.4931731294374659,0.4631787321372835,0.663430336898281
"frozenset({'impurity_index_fca_bin=Low', 'month_fca_bin=Low'})","frozenset({'S, %_fca_bin=Low'})",0.2123064617494144,0.3402273895903559,0.15288807632977203,0.720129171151776,2.116611399272802,1.0,0.08065560305560401,2.35741828873292,0.6697359994353554,0.3825589706933524,0.5758071425934824,0.5847497241149309
