DBSCAN,impurity_index_fca_bin,count
-1,High,148
-1,Medium,145
-1,Low,69
0,Low,33
1,Low,9
2,Low,9
3,High,9
4,High,9
5,Medium,6
6,Medium,6
7,High,6
8,Medium,6
9,High,18
10,Medium,6
11,High,6
12,Low,6
13,Medium,6
14,Medium,6
15,High,6
16,Medium,6
17,Low,12
18,Low,6
19,Medium,12
19,Low,6
20,High,12
21,High,6
22,Low,6
23,Low,12
24,Low,12
25,Medium,6
26,Medium,6
27,High,6
28,Medium,12
29,High,24
29,Medium,12
30,Low,6
31,Medium,6
32,High,6
33,High,18
33,Medium,18
34,High,6
35,High,6
36,High,6
37,High,6
38,Medium,6
39,Medium,6
40,Medium,6
41,Medium,12
42,Low,6
43,Medium,6
44,High,6
45,High,6
46,Medium,6
47,High,6
48,High,6
49,High,6
50,High,6
51,High,6
52,High,6
53,High,6
54,High,6
55,High,6
56,Medium,6
57,High,12
58,Medium,12
59,Medium,6
60,High,6
61,High,30
62,High,6
63,Medium,6
64,High,6
65,High,6
66,High,6
67,High,6
68,High,6
69,High,8
70,High,8
71,High,8
72,High,8
73,High,8
74,High,8
75,High,8
76,High,8
77,Medium,16
78,High,8
79,High,8
80,High,8
81,High,8
82,High,8
83,High,8
84,High,8
85,Low,16
86,Medium,40
87,Medium,8
88,Medium,8
89,Medium,8
90,Medium,8
91,Medium,8
92,High,8
93,High,8
93,Medium,8
94,Low,24
94,Medium,6
95,Low,6
96,Low,6
97,Low,6
98,Low,6
99,Low,6
100,Low,6
101,Low,6
102,Low,6
103,Low,6
104,Low,6
105,Low,6
106,Low,6
107,Low,7
108,Low,7
109,Low,7
110,Low,7
111,High,7
112,High,7
113,Low,7
114,Medium,7
115,Medium,7
116,Low,14
117,Low,7
118,Low,7
119,Low,7
120,Low,7
121,Low,14
122,Medium,7
123,High,7
124,Low,7
125,High,6
126,High,12
127,High,6
128,Medium,6
129,High,6
130,Medium,12
131,Medium,6
132,Medium,6
133,High,6
134,Medium,6
135,Medium,6
136,High,6
137,High,6
138,High,6
139,Medium,12
140,High,24
140,Medium,6
141,Medium,6
142,High,6
143,Low,6
144,Low,6
144,Medium,6
145,High,6
146,Medium,6
147,High,6
148,Medium,6
149,Medium,6
150,Medium,6
151,High,8
152,Medium,8
153,Low,8
154,Medium,8
155,High,8
156,Medium,8
