antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'resistance, tonn_fca_bin=Low', 'RUL_class=Healthy'})",frozenset({'RUL_fca_bin=High'}),0.3139461806547449,0.33331428897903215,0.23498828772210478,0.748498635122839,2.245624204757465,1.0,0.1303455397394857,2.6508234313026184,0.8085218696086068,0.5699833702882484,0.6227587291588869,0.726751888696147
frozenset({'RUL_fca_bin=High'}),"frozenset({'resistance, tonn_fca_bin=Low', 'RUL_class=Healthy'})",0.33331428897903215,0.3139461806547449,0.23498828772210478,0.705005142269455,2.245624204757465,1.0,0.1303455397394857,2.3256467066009407,0.8320105073494002,0.5699833702882484,0.5700120757113817,0.726751888696147
"frozenset({'resistance, tonn_fca_bin=High', 'steel_weight, tonn_fca_bin=Low'})","frozenset({'steel_weight_theoretical, tonn_fca_bin=Low'})",0.18556818831057534,0.45472204764897445,0.18556818831057534,1.0,2.19914562130921,1.0,0.10118624174348004,inf,0.6695194668537355,0.4080914687774846,1.0,0.7040457343887423
"frozenset({'resistance, tonn_fca_bin=High', 'steel_weight_theoretical, tonn_fca_bin=Low'})","frozenset({'steel_weight, tonn_fca_bin=Low'})",0.18556818831057534,0.45472204764897445,0.18556818831057534,1.0,2.19914562130921,1.0,0.10118624174348004,inf,0.6695194668537355,0.4080914687774846,1.0,0.7040457343887423
frozenset({'RUL_fca_bin=High'}),"frozenset({'resistance, tonn_fca_bin=Low'})",0.33331428897903215,0.33337142204193565,0.23498828772210478,0.705005142269455,2.114773779801589,1.0,0.12387082921826816,2.259797282863073,0.7906816886075739,0.5443356273160402,0.5574824310200781,0.704944730517761
"frozenset({'RUL_fca_bin=High', 'RUL_class=Healthy'})","frozenset({'resistance, tonn_fca_bin=Low'})",0.33331428897903215,0.33337142204193565,0.23498828772210478,0.705005142269455,2.114773779801589,1.0,0.12387082921826816,2.259797282863073,0.7906816886075739,0.5443356273160402,0.5574824310200781,0.704944730517761
"frozenset({'resistance, tonn_fca_bin=Low'})",frozenset({'RUL_fca_bin=High'}),0.33337142204193565,0.33331428897903215,0.23498828772210478,0.7048843187660668,2.1147737798015886,1.0,0.12387082921826816,2.259065693267914,0.7907494535791723,0.5443356273160402,0.5573391234349531,0.704944730517761
"frozenset({'resistance, tonn_fca_bin=Low'})","frozenset({'RUL_fca_bin=High', 'RUL_class=Healthy'})",0.33337142204193565,0.33331428897903215,0.23498828772210478,0.7048843187660668,2.1147737798015886,1.0,0.12387082921826816,2.259065693267914,0.7907494535791723,0.5443356273160402,0.5573391234349531,0.704944730517761
"frozenset({'resistance, tonn_fca_bin=High', 'crystallizer_movement, mm_fca_bin=Low'})",frozenset({'RUL_fca_bin=Low'}),0.2249900017139919,0.33337142204193565,0.1569445237959207,0.6975622143219908,2.092447547091312,1.0,0.08193928697930968,2.2041841645666307,0.6736568163828757,0.39097637346996866,0.5463174012065313,0.5841709957642516
"frozenset({'RUL_fca_bin=Low', 'crystallizer_movement, mm_fca_bin=Low'})","frozenset({'resistance, tonn_fca_bin=High'})",0.227846654859167,0.33331428897903215,0.1569445237959207,0.6888164493480441,2.066567417370383,1.0,0.08099997803528651,2.1424195129344232,0.6683980546632045,0.38826855123674914,0.533238007793197,0.579838461218417
"frozenset({'resistance, tonn_fca_bin=High'})",frozenset({'RUL_fca_bin=Low'}),0.33331428897903215,0.33337142204193565,0.22184768325429927,0.6655810764484059,1.9965150953001627,1.0,0.11073022475046264,1.9933937077433865,0.7486694927671322,0.4987156434626252,0.49834295346901347,0.6655240429371421
frozenset({'RUL_fca_bin=Low'}),"frozenset({'resistance, tonn_fca_bin=High'})",0.33337142204193565,0.33331428897903215,0.22184768325429927,0.6654670094258783,1.9965150953001627,1.0,0.11073022475046264,1.9928847970324526,0.7487336571048737,0.4987156434626252,0.4982148484001327,0.6655240429371421
"frozenset({'average_cooling_consumption_fca_bin=Medium', 'resistance, tonn_fca_bin=High'})",frozenset({'total_cooling_consumption_fca_bin=Medium'}),0.21419185282522996,0.5284808318573959,0.21419185282522996,1.0,1.8922162162162162,1.0,0.10099556426707551,inf,0.6000436236731133,0.40529729729729724,1.0,0.7026486486486486
"frozenset({'resistance, tonn_fca_bin=High', 'total_cooling_consumption_fca_bin=Medium'})",frozenset({'average_cooling_consumption_fca_bin=Medium'}),0.21419185282522996,0.5284808318573959,0.21419185282522996,1.0,1.8922162162162162,1.0,0.10099556426707551,inf,0.6000436236731133,0.40529729729729724,1.0,0.7026486486486486
"frozenset({'resistance, tonn_fca_bin=Low', 'average_cooling_consumption_fca_bin=Medium'})",frozenset({'total_cooling_consumption_fca_bin=Medium'}),0.16837113637662116,0.5284808318573959,0.16837113637662116,1.0,1.8922162162162162,1.0,0.07939021816352936,inf,0.5669826875515251,0.3185945945945946,1.0,0.6592972972972972
"frozenset({'resistance, tonn_fca_bin=Low', 'total_cooling_consumption_fca_bin=Medium'})",frozenset({'average_cooling_consumption_fca_bin=Medium'}),0.16837113637662116,0.5284808318573959,0.16837113637662116,1.0,1.8922162162162162,1.0,0.07939021816352936,inf,0.5669826875515251,0.3185945945945946,1.0,0.6592972972972972
"frozenset({'resistance, tonn_fca_bin=Medium', 'RUL_class=Healthy'})",frozenset({'RUL_fca_bin=Medium'}),0.32514426098383137,0.33331428897903215,0.18916757127349598,0.5817958179581796,1.7454871789033284,1.0,0.08079234310805737,1.594163185470726,0.6328671741712482,0.4030922814706599,0.3727116463897521,0.5746654783997275
frozenset({'RUL_fca_bin=Medium'}),"frozenset({'resistance, tonn_fca_bin=Medium', 'RUL_class=Healthy'})",0.33331428897903215,0.32514426098383137,0.18916757127349598,0.5675351388412754,1.7454871789033284,1.0,0.08079234310805737,1.5604868733334638,0.6406227664162124,0.4030922814706599,0.3591743595613649,0.5746654783997275
"frozenset({'resistance, tonn_fca_bin=Medium'})",frozenset({'RUL_fca_bin=Medium'}),0.33331428897903215,0.33331428897903215,0.18916757127349598,0.5675351388412754,1.7027026971441281,1.0,0.07806915603589823,1.5415951003156272,0.6190299326336572,0.3961948067488334,0.351321238764148,0.5675351388412754
frozenset({'RUL_fca_bin=Medium'}),"frozenset({'resistance, tonn_fca_bin=Medium'})",0.33331428897903215,0.33331428897903215,0.18916757127349598,0.5675351388412754,1.7027026971441281,1.0,0.07806915603589823,1.5415951003156272,0.6190299326336572,0.3961948067488334,0.351321238764148,0.5675351388412754
"frozenset({'RUL_fca_bin=Medium', 'RUL_class=Healthy'})","frozenset({'resistance, tonn_fca_bin=Medium'})",0.33331428897903215,0.33331428897903215,0.18916757127349598,0.5675351388412754,1.7027026971441281,1.0,0.07806915603589823,1.5415951003156272,0.6190299326336572,0.3961948067488334,0.351321238764148,0.5675351388412754
"frozenset({'resistance, tonn_fca_bin=Medium'})","frozenset({'RUL_fca_bin=Medium', 'RUL_class=Healthy'})",0.33331428897903215,0.33331428897903215,0.18916757127349598,0.5675351388412754,1.7027026971441281,1.0,0.07806915603589823,1.5415951003156272,0.6190299326336572,0.3961948067488334,0.351321238764148,0.5675351388412754
"frozenset({'Mn,%_fca_bin=Medium', 'RUL_class=Healthy'})","frozenset({'resistance, tonn_fca_bin=Medium'})",0.30217676969662344,0.33331428897903215,0.16545735016854254,0.5475515220268482,1.6427484213294352,1.0,0.06473751503113176,1.4735063625532383,0.5606922293681648,0.35201166889510155,0.32134666981197396,0.5219759667042023
"frozenset({'resistance, tonn_fca_bin=Medium', 'RUL_class=Healthy'})","frozenset({'Mn,%_fca_bin=Medium'})",0.32514426098383137,0.33342855510483915,0.16545735016854254,0.5088736601651731,1.5261850023768035,1.0,0.05704496902807292,1.3572300869046012,0.510881690686314,0.33553470049820416,0.26320525189603367,0.5025519774437929
