DBSCAN,count,mean,std,min,25%,50%,75%,max
-1,362.0,0.5051512734614391,6.937312116413157,-0.074750394,-0.05855823575,-0.0023161505,0.024728726517570476,93.44831559878088
0,33.0,-0.031129133636363635,0.008493456146022415,-0.04001507,-0.037520572,-0.035721444,-0.020357106,-0.017895721
1,9.0,-0.04535604133333334,0.029935751915421877,-0.071516377,-0.071516377,-0.061858478,-0.008922154,-0.008193672
2,9.0,-0.045072742888888885,0.029945828985018404,-0.071240437,-0.071240437,-0.061582538,-0.008613101,-0.007917732
3,9.0,-0.04563198144444444,0.029924142826509542,-0.07178128,-0.07178128,-0.06212338,-0.009220169,-0.008458574
4,9.0,-0.04593735511111111,0.029914071601122343,-0.072079295,-0.072079295,-0.062421396,-0.009551297,-0.00875659
5,6.0,-0.05236614283333333,0.039317708375813644,-0.070545068,-0.07051195525000001,-0.0703795045,-0.062407598499999994,0.027413622
6,6.0,-0.05202397743564071,0.039293983698803325,-0.070280166,-0.070087008,-0.070004226,-0.062090268000000004,0.0277116373861558
7,6.0,-0.05263472442603003,0.039297750888914997,-0.070854121,-0.0707051135,-0.070655444,-0.06268353875,0.0271045694438198
8,6.0,-0.05295665452061312,0.03928837696553873,-0.071163174,-0.07104452,-0.070970016,-0.06298983175,0.0267624038763213
9,18.0,-0.054294043683076165,0.03692676791620131,-0.073260318,-0.07265325,-0.07141152,-0.061935741749999995,0.0264643887046291
10,6.0,-0.046247634,0.039328006720449116,-0.064496464,-0.06431158475000001,-0.064253637,-0.056347957,0.033561565
11,6.0,-0.05479809383333334,0.03930495433111492,-0.072951265,-0.072918152,-0.0729015955,-0.064764126,0.0249412
12,6.0,-0.051718603807200066,0.039296004286482465,-0.069971113,-0.0697807145,-0.069706211,-0.0617839745,0.0280206901567996
13,6.0,-0.05357843951100245,0.039298282296609095,-0.071770242,-0.07166262575,-0.071637791,-0.0635913815,0.0261553359339853
14,6.0,-0.05389117130610976,0.039300310274903195,-0.072068257,-0.07199375375,-0.0719523625,-0.06389767425,0.0258462831633415
15,6.0,-0.05417998866666667,0.03929703249073475,-0.072344197,-0.072277972,-0.0722614155,-0.06417361475,0.025548268
16,6.0,-0.05142610744525134,0.03929725418402673,-0.069673098,-0.0694799405,-0.0694137145,-0.061508034,0.0283187053284919
17,12.0,-0.05081444040840536,0.03747033019389301,-0.069364045,-0.06910742125,-0.068536225,-0.058417507,0.029234826
18,6.0,-0.05081536035503675,0.03930070911244709,-0.069054993,-0.0688728725,-0.0688066465,-0.060900966,0.0289368108697795
19,18.0,-0.047585636333333334,0.03694337387823793,-0.066317668,-0.06598378075,-0.065015231,-0.055398723750000003,0.032954497
20,12.0,-0.0473237999042535,0.03748885846892692,-0.0657106,-0.06545949499999999,-0.065219427,-0.05490479075,0.032623369
21,6.0,-0.04873661252192004,0.03931890047527097,-0.066968886,-0.0668336755,-0.066709503,-0.05883693575,0.0310560298684798
22,6.0,-0.0465530075,0.039329656008646456,-0.064761367,-0.064620637,-0.06456269,-0.056681843999999995,0.03326355
23,12.0,-0.04977230716666667,0.03747874802777682,-0.068458962,-0.068183022,-0.06738279650000001,-0.05746827325,0.030448962
24,12.0,-0.04976586874999999,0.037476309415943085,-0.068183022,-0.06787672925,-0.0676587365,-0.05731098775,0.030150947
25,6.0,-0.04842020116666667,0.03931424476264599,-0.066659834,-0.06649151025,-0.06638941200000001,-0.05853891975,0.031365083
26,6.0,-0.049025429666666676,0.039315009509436054,-0.067266902,-0.0671096155,-0.067001999,-0.05912115375,0.030758015
27,6.0,0.02480322998102466,0.07508927259686106,-0.074750394,-0.021640227053209803,0.0192789117871608,0.08393992584516188,0.1147982931139975
28,12.0,-0.002233368664671975,0.03148011291913512,-0.035257865,-0.032539856,-0.0020070978685285505,0.02731428394024835,0.031122255
29,36.0,0.024254416037357056,0.06934916687922697,-0.074750394,-0.036113279,0.0184786859355178,0.10448641629349863,0.1154826242489945
30,6.0,-0.0014883305610197673,0.03298358348411142,-0.034065804,-0.031102208500000002,-0.0012786159999999998,0.027667486999999998,0.0314202706338814
31,6.0,-0.0020990776666666663,0.03301059817207343,-0.034683909,-0.03174514875,-0.001891203000000001,0.02709353175,0.030813203
32,6.0,0.022509249010374734,0.07444742423032327,-0.074750394,-0.0245293185,0.016497436824110652,0.08109222531565828,0.1123920965425565
33,36.0,-0.0036443416434445244,0.03060502485890036,-0.037355008,-0.03424240525,-0.00337576026892715,0.0260118475,0.0305151875198532
34,6.0,0.023101600107710663,0.07463482468700115,-0.074750394,-0.023831190602360677,0.017209361983742497,0.08180966924751003,0.1131095404744082
