antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'High_Resistance'}),frozenset({'High_Temp'}),0.500028936859772,0.5047167081428323,0.22657561201458418,0.45312499999999994,0.8977808594197912,1.0,-0.025797346973440077,0.9056608765388209,-0.18548754161464825,0.2911646586345381,-0.10416605807431649,0.4510207043343653
frozenset({'High_Temp'}),frozenset({'High_Resistance'}),0.5047167081428323,0.500028936859772,0.22657561201458418,0.44891640866873067,0.8977808594197912,1.0,-0.025797346973440077,0.9072508617656947,-0.18691499991809576,0.2911646586345381,-0.1022309728687352,0.4510207043343653
frozenset({'High_Cooling'}),frozenset({'High_Temp'}),0.8194918687424041,0.5047167081428323,0.3946987672897737,0.481638418079096,0.9542747650485839,1.0,-0.01891247105171051,0.9554783941004761,-0.20976842399331905,0.42463109395429915,-0.04659614092209622,0.6318294142912393
frozenset({'High_Temp'}),frozenset({'High_Cooling'}),0.5047167081428323,0.8194918687424041,0.3946987672897737,0.7820204105033827,0.954274765048584,1.0,-0.01891247105171051,0.828096482218566,-0.08821107996076993,0.42463109395429915,-0.2075887550214977,0.6318294142912393
frozenset({'Critical_RUL'}),frozenset({'High_Temp'}),0.02604317379477979,0.5047167081428323,0.01238497598240639,0.4755555555555556,0.942222731847775,1.0,-0.0007594489648865398,0.944396107354769,-0.059230698901558056,0.023891928100926652,-0.05887772324790301,0.2500470129572297
frozenset({'High_Cooling'}),frozenset({'High_Resistance'}),0.8194918687424041,0.500028936859772,0.43046472596793794,0.5252824858757061,1.050504175167399,1.0,0.020695078075445794,1.053197002985068,0.26633775192009357,0.4841817471683374,0.050510021234671354,0.6930810577526678
frozenset({'High_Resistance'}),frozenset({'High_Cooling'}),0.500028936859772,0.8194918687424041,0.43046472596793794,0.8608796296296295,1.050504175167399,1.0,0.020695078075445794,1.2974960516352971,0.09615782477587358,0.4841817471683374,0.22928474522935804,0.6930810577526678
frozenset({'Critical_RUL'}),frozenset({'High_Resistance'}),0.02604317379477979,0.500028936859772,0.023728225013021586,0.9111111111111111,1.822116769547325,1.0,0.010705884507963573,5.624674460327563,0.46325231271802875,0.04723502304147465,0.8222119329654923,0.4792824074074074
frozenset({'Critical_RUL'}),frozenset({'High_Cooling'}),0.02604317379477979,0.8194918687424041,0.023728225013021586,0.9111111111111111,1.111800062774639,1.0,0.00238605585195429,2.0307164766479535,0.10324657349609924,0.028873239436619718,0.507562965337893,0.47003295668549905
"frozenset({'High_Cooling', 'High_Resistance'})",frozenset({'High_Temp'}),0.43046472596793794,0.5047167081428323,0.19283523352045837,0.4479698843775209,0.8875669799517468,1.0,-0.024427505941685662,0.8972033913379477,-0.18194996619796192,0.2597645591330787,-0.11457447626090396,0.4150180805903199
"frozenset({'High_Cooling', 'High_Temp'})",frozenset({'High_Resistance'}),0.3946987672897737,0.500028936859772,0.19283523352045837,0.48856304985337246,0.9770695530574562,1.0,-0.0045255714673097525,0.9775810351537714,-0.03732461597279174,0.27473614775725597,-0.022933101236668356,0.4371055990007603
"frozenset({'High_Resistance', 'High_Temp'})",frozenset({'High_Cooling'}),0.22657561201458418,0.8194918687424041,0.19283523352045837,0.8510855683269477,1.0385527920283424,1.0,0.00715836181917287,1.2121600924073557,0.04799648084316036,0.2260055619616089,0.17502646204595354,0.5431981513951123
frozenset({'High_Resistance'}),"frozenset({'High_Cooling', 'High_Temp'})",0.500028936859772,0.3946987672897737,0.19283523352045837,0.38564814814814813,0.9770695530574562,1.0,-0.0045255714673097525,0.985268020085975,-0.04483533490485917,0.27473614775725597,-0.014952256252810827,0.4371055990007603
frozenset({'High_Temp'}),"frozenset({'High_Cooling', 'High_Resistance'})",0.5047167081428323,0.43046472596793794,0.19283523352045837,0.38206627680311894,0.8875669799517467,1.0,-0.024427505941685662,0.9216769576607187,-0.20367189554771256,0.2597645591330787,-0.08497884393038385,0.4150180805903199
"frozenset({'High_Resistance', 'Critical_RUL'})",frozenset({'High_Temp'}),0.023728225013021586,0.5047167081428323,0.011169627871983332,0.4707317073170732,0.9326651955890045,1.0,-0.0008064037466613376,0.9357887081172293,-0.06885868073033448,0.021593197583351976,-0.06861729718021638,0.24643109846991143
"frozenset({'High_Temp', 'Critical_RUL'})",frozenset({'High_Resistance'}),0.01238497598240639,0.500028936859772,0.011169627871983332,0.9018691588785046,1.8036339347525092,1.0,0.004976781498466855,5.094943214857558,0.45115126709973596,0.022283800946772885,0.8037269587060634,0.4621035609207338
frozenset({'Critical_RUL'}),"frozenset({'High_Resistance', 'High_Temp'})",0.02604317379477979,0.22657561201458418,0.011169627871983332,0.4288888888888889,1.8929172697601815,1.0,0.005268879830628921,1.354245037328549,0.48432834143627607,0.0462607861936721,0.26158119658119655,0.23909323116219666
"frozenset({'High_Cooling', 'Critical_RUL'})",frozenset({'High_Temp'}),0.023728225013021586,0.5047167081428323,0.011285375311071242,0.47560975609756095,0.9423301198956262,1.0,-0.0006906563075734281,0.9444937193555291,-0.058988860472700466,0.021821844225604296,-0.058768289832933376,0.248984788609496
"frozenset({'High_Temp', 'Critical_RUL'})",frozenset({'High_Cooling'}),0.01238497598240639,0.8194918687424041,0.011285375311071242,0.911214953271028,1.111926778076984,1.0,0.001135988198919238,2.0330915836381838,0.1019225134666095,0.013752732914874107,0.5081382422475448,0.462493069855853
frozenset({'Critical_RUL'}),"frozenset({'High_Cooling', 'High_Temp'})",0.02604317379477979,0.3946987672897737,0.011285375311071242,0.4333333333333333,1.0978836754643206,1.0,0.0010061667179583206,1.0681786459592228,0.09154070126201563,0.02756183745583039,0.06382700704337566,0.2309628543499511
"frozenset({'High_Cooling', 'Critical_RUL'})",frozenset({'High_Resistance'}),0.023728225013021586,0.500028936859772,0.022860119219862262,0.9634146341463415,1.9267177619692863,1.0,0.010995320093031629,13.665875725832928,0.4926728753439574,0.04563835932986713,0.9268250333851876,0.5045661133694671
"frozenset({'High_Resistance', 'Critical_RUL'})",frozenset({'High_Cooling'}),0.023728225013021586,0.8194918687424041,0.022860119219862262,0.9634146341463415,1.1756243971338018,1.0,0.0034150317620009474,4.933888921040966,0.1530190575026771,0.027865961199294534,0.7973201229287065,0.4956550571861651
frozenset({'Critical_RUL'}),"frozenset({'High_Cooling', 'High_Resistance'})",0.02604317379477979,0.43046472596793794,0.022860119219862262,0.8777777777777779,2.0391398524095488,1.0,0.011649451548956998,4.659834060262329,0.523223549463667,0.0527158681436007,0.7854000835506781,0.4654417256729707
"frozenset({'High_Cooling', 'High_Resistance', 'Critical_RUL'})",frozenset({'High_Temp'}),0.022860119219862262,0.5047167081428323,0.010822385554719602,0.4734177215189873,0.9379870209983467,1.0,-0.0007154985656819702,0.9405620205941405,-0.06337182913913958,0.02094299473625266,-0.06319410959025681,0.24743010832284648
"frozenset({'High_Cooling', 'High_Temp', 'Critical_RUL'})",frozenset({'High_Resistance'}),0.011285375311071242,0.500028936859772,0.010822385554719602,0.958974358974359,1.9178377255460588,1.0,0.00517937133586113,12.186794664043068,0.4840420470352846,0.02162349676225717,0.9179439690609965,0.49030893874643877
"frozenset({'High_Resistance', 'High_Temp', 'Critical_RUL'})",frozenset({'High_Cooling'}),0.011169627871983332,0.8194918687424041,0.010822385554719602,0.9689119170984456,1.1823325575949182,1.0,0.0016689663367507393,5.806344888786001,0.15595624775827355,0.013200621205703799,0.827774612229574,0.49105906589385556
"frozenset({'High_Cooling', 'Critical_RUL'})","frozenset({'High_Resistance', 'High_Temp'})",0.023728225013021586,0.22657561201458418,0.010822385554719602,0.4560975609756098,2.013003769118151,1.0,0.005446148450374472,1.4219910272377598,0.5154609141281526,0.045190913484775254,0.2967606821383988,0.25193128368065293
"frozenset({'High_Resistance', 'Critical_RUL'})","frozenset({'High_Cooling', 'High_Temp'})",0.023728225013021586,0.3946987672897737,0.010822385554719602,0.4560975609756098,1.155558615263572,1.0,0.001456884392105607,1.1128856744896536,0.1378895502714691,0.026551185574329124,0.10143510432140371,0.24175845790715972
"frozenset({'High_Temp', 'Critical_RUL'})","frozenset({'High_Cooling', 'High_Resistance'})",0.01238497598240639,0.43046472596793794,0.010822385554719602,0.8738317757009345,2.029973010531924,1.0,0.005491090262333543,4.514094394180045,0.5137453367197771,0.02505023442732753,0.7784716240561373,0.4494864713406528
frozenset({'Critical_RUL'}),"frozenset({'High_Cooling', 'High_Resistance', 'High_Temp'})",0.02604317379477979,0.19283523352045837,0.010822385554719602,0.41555555555555557,2.1549773242630383,1.0,0.005800344054389359,1.3810803989193678,0.5502892733863083,0.05201668984700973,0.2759291922595859,0.2358390022675737
