steel_type,temperature,resistance,casting_speed,cooling,carbon,RUL_class
Arm240,Medium,Low,Medium,Low,Low,Low
St3sp,Low,Medium,Medium,Low,Medium,Healthy
Arm240,High,Low,Medium,Low,Medium,Low
St3sp,Low,Low,Medium,Low,High,Low
St3sp,Medium,Low,Medium,Low,Low,Low
St3sp,Medium,Low,Medium,Low,Medium,Critical
Arm240,High,Low,Medium,Low,Medium,Medium
Arm240,High,Low,Low,Low,Low,Medium
St3sp,Medium,Low,Medium,Low,High,Low
St3sp,Medium,Low,Medium,Low,Medium,Critical
St3sp,Medium,Low,Medium,Low,High,Critical
St3sp,Low,Low,Medium,Low,Low,Low
St3sp,Medium,Low,Medium,Low,Medium,Low
St3sp,Low,Low,Medium,Low,Medium,Low
St3sp,Low,Low,Medium,Low,Low,Low
Arm240,High,Low,Medium,Low,Low,Medium
Arm240,High,Low,Low,Low,Low,Medium
Arm240,High,Low,Low,Low,Low,Medium
Arm240,High,Low,Medium,Low,Medium,Medium
St3sp,Medium,Low,Medium,Low,High,Critical
St3sp,Medium,Low,Medium,Low,Low,Critical
St3sp,Medium,Low,Medium,Low,Low,Critical
St3sp,Medium,Medium,Medium,Low,Medium,Healthy
St3sp,Low,Medium,Medium,Low,Low,Healthy
St3sp,Medium,Medium,Medium,Low,High,Healthy
Arm240,High,Low,Medium,Low,Low,Medium
St3sp,Medium,Medium,Medium,Low,Medium,Healthy
St3sp,Medium,Low,Medium,Low,Low,Critical
St3sp,Medium,Low,Medium,Low,High,Critical
Arm240,High,Medium,Low,Low,Low,Healthy
Arm240,High,Medium,Low,Low,Low,Healthy
Arm240,High,Medium,Medium,Low,Medium,Healthy
St3sp,Medium,Medium,Medium,Low,High,Healthy
St3sp,Medium,Medium,Medium,Low,Low,Healthy
St3sp,Medium,Medium,Medium,Low,Low,Healthy
Arm240,High,Low,Medium,Low,Low,Medium
Arm240,Medium,Low,Medium,Low,Low,Low
Arm240,High,Low,Medium,Low,Medium,Low
St3sp,Low,Low,Medium,Low,High,Low
St3sp,Medium,Low,Medium,Low,Low,Low
St3sp,Medium,Low,Medium,Low,Medium,Critical
Arm240,High,Low,Medium,Low,Medium,Medium
Arm240,High,Low,Low,Low,Low,Medium
St3sp,Medium,Low,Medium,Low,High,Low
St3sp,Medium,Low,Medium,Low,Medium,Critical
St3sp,Medium,Low,Medium,Low,High,Critical
St3sp,Low,Low,Medium,Low,Low,Low
St3sp,Medium,Low,Medium,Low,Medium,Low
St3sp,Low,Low,Medium,Low,Medium,Low
St3sp,Low,Low,Medium,Low,Low,Low
Arm240,High,Low,Medium,Low,Low,Medium
Arm240,High,Low,Low,Low,Low,Medium
Arm240,High,Low,Low,Low,Low,Medium
Arm240,High,Low,Medium,Low,Medium,Medium
St3sp,Medium,Low,Medium,Low,Low,Critical
St3sp,Medium,Medium,Medium,Low,High,Healthy
St3sp,Low,Medium,Medium,Low,Low,Healthy
Arm240,High,Medium,Medium,Low,Medium,Healthy
St3sp,Medium,Medium,Medium,Low,Medium,Healthy
St3sp,Medium,Medium,Medium,Low,Low,Healthy
St3sp,Low,Medium,Medium,Low,High,Healthy
Arm240,High,Medium,Medium,Low,Medium,Healthy
Arm240,High,Medium,Medium,Low,Low,Healthy
Arm240,Medium,Medium,Medium,Low,Low,Healthy
Arm500,High,Medium,Low,Low,High,Healthy
Arm500,High,Medium,Low,Low,High,Healthy
Arm500,High,Low,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,High,Low,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,High,Low,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,High,Medium,Low,Low,Low,Critical
Arm500,Medium,Medium,Low,Low,High,Critical
Arm500,High,Medium,Low,Low,High,Critical
Arm500,High,Medium,Low,Low,High,Critical
Arm500,High,Low,Low,Low,High,Healthy
Arm500,High,Low,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,High,Low,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,High,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
