Feature,Importance
resistance__tonn,0.3932215783479117
V___,0.20927565082444782
grab2_num,0.04542212995534015
cast_in_row,0.027295178893829476
N___,0.025297506396879547
Mn__,0.02180835751725268
water_consumption_secondary_cooling_zone_num2__liter_minute,0.021451721294561726
water_consumption_secondary_cooling_zone_num3__liter_minute,0.01893818756914229
Cr___,0.017616588279775056
Si___,0.016709630757251594
Pb___,0.015326595782862888
Ni___,0.015003937684439347
S___,0.014116926129937363
Mo___,0.013168250317212162
steel_temperature_grab1__Celsius_deg.,0.012855368082472932
Al___,0.01243246608672675
Ce___,0.011496083242697306
Cu___,0.0109879067784476
P___,0.010443363604046076
As___,0.010222876846973344
water_consumption_secondary_cooling_zone_num1__liter_minute,0.009399414457770247
Sn___,0.008848321971962928
Nb___,0.008603731192595566
C___,0.006720608488348984
Zn___,0.006640591836552511
Ca___,0.006347816736178634
temperature_measurement1__Celsius_deg.,0.005299494767175611
workpiece_weight__tonn,0.0047239605512935
temperature_measurement2__Celsius_deg.,0.004280473422809654
Ti___,0.0031936362161997496
quantity__tonn,0.002950870031588706
steel_weight__tonn,0.002568145876717351
steel_weight_theoretical__tonn,0.0023737239770803787
technical_trim__tonn,0.0015199233071950626
grab1_num,0.001156744454330502
water_consumption__liter_minute,0.000857664214956203
residuals_grab2__tonn,0.0007532544859067283
alloy_speed__meter_minute,0.00032754752506553974
crystallizer_movement__mm,0.0001672074975761478
Mg___,9.436134233083044e-05
swing_frequency__amount_minute,8.220324210665592e-05
water_temperature_delta__Celsius_deg.,1.2050783315578995e-11
metal_residue_grab1__tonn,0.0
slag_weight_close_grab1__tonn,0.0
