Model,MAE,RMSE,R2,MAPE
Linear Regression,303546.8899640763,365608.2399667576,-10174.397039618523,101827326.81458114
Ridge,303181.5627965453,333636.45673996996,-8472.569862319997,126412070.91618896
Lasso,302185.200198041,363039.44326078595,-10031.912829912288,97851884.49215174
ElasticNet,295118.3914929757,318153.5924336781,-7704.362531332883,125558053.16133617
Decision Tree,155065.34556603065,712648.6911984837,-38659.76092777558,9434836.298475862
Random Forest,171451.8673228155,609591.811788898,-28286.70169055493,16160663.807522705
Extra Trees,226870.92559354907,519880.3858021413,-20573.35736356198,57482201.31250357
Gradient Boosting,193998.8313858419,560468.3241019319,-23911.31148361908,26181782.50575545
XGBoost,226794.40435306466,708471.0421371859,-38207.81961932757,104517387.425554
LightGBM,195485.4853598734,550894.3641680088,-23101.345403723644,34975536.57058567
SVR,2908.7704788476367,3640.403775708942,-0.008831248765589272,1997686.356303042
KNN Regressor,236389.92978482443,741065.5227027972,-41804.42387037747,40730610.875354595
MLP Regressor,5338.465983565519,6455.860173913115,-2.172690037850804,62054.08316284649
