Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.907361268403171,0.47683507023108296,0.25252525252525254,0.2428548521202043
Decision Tree Classifier,0.8869762174405436,0.46709000300119574,0.504914784549616,0.48090953296421934
Random Forest Classifier,0.9112117780294451,0.6542730677562139,0.32148580845912306,0.3572410244561014
Extra Trees Classifier,0.9066817667044168,0.32686550238149237,0.25480081716036773,0.24737388235724342
Gradient Boosting Classifier,0.9028312570781427,0.5588445950171298,0.5332975116331857,0.5437284462518461
XGBoost Classifier,0.8939977349943374,0.5256560207604809,0.5493690415389854,0.5358700793298408
LightGBM Classifier,0.9064552661381653,0.5743338711367613,0.5291285987212954,0.5480276690346697
SVM Classifier,0.9062287655719139,0.289355003403676,0.25467597321529906,0.2470419427520098
KNN Classifier,0.8962627406568516,0.37789766288007715,0.28065427212196875,0.29206765067169227
Naive Bayes,0.3114382785956965,0.33466328800660267,0.33189750974161086,0.1497354339015712
MLP Classifier,0.9066817667044168,0.22677317017901655,0.24987515605493132,0.23776431456402947
