antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Al, %_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.37328549105851033,0.9993633890850165,0.37328549105851033,1.0,1.0006370164466063,1.0,0.00023763761801282035,inf,0.001015790931757296,0.3735232800555942,1.0,0.686761640027797
"frozenset({'Al, %_Low'})",frozenset({'kind_B 789/BC'}),0.37328549105851033,0.9997106314022802,0.37328549105851033,1.0,1.000289452356142,1.0,0.00010801709909674662,inf,0.00046172315079881407,0.37339353942341097,1.0,0.6866967697117055
"frozenset({'Al, %_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.37328549105851033,1.0,0.37328549105851033,1.0,1.0,1.0,0.0,inf,0.0,0.37328549105851033,0.0,0.6866427455292552
"frozenset({'Al, %_Low'})",frozenset({'alloy_type_open'}),0.37328549105851033,0.989698477921176,0.3726488801435268,0.9982945736434108,1.0086855703166187,1.0,0.0032087978128603756,6.04043794621927,0.013739558685600365,0.3762856474988312,0.8344490898005329,0.6874111310413417
"frozenset({'Al, %_Low'})","frozenset({'residuals_grab2, tonn_4.0'})",0.37328549105851033,0.9745355634006597,0.36333121129695006,0.9733333333333334,0.9987663558801988,1.0,-0.00044877504104723354,0.9549163724752623,-0.0019669854496101235,0.369055317147728,-0.047212121212117625,0.6730791614703961
"frozenset({'Al, %_Low'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.37328549105851033,0.7953006539730308,0.26627698362173735,0.7133333333333333,0.8969354290981418,1.0,-0.030597211535739854,0.7140674861405899,-0.15494074317179007,0.29510615098454235,-0.40042785788332896,0.5240731577160044
"frozenset({'Al, %_Low'})","frozenset({'Ti, %_Low'})",0.37328549105851033,0.4000231494878176,0.20880838011458996,0.5593798449612403,1.3983686836060867,1.0,0.05948554232325809,1.3616645622109698,0.45456265398876594,0.3698995283986057,0.2656047401451983,0.5406852928509904
"frozenset({'Ti, %_Low'})","frozenset({'Al, %_Low'})",0.4000231494878176,0.37328549105851033,0.20880838011458996,0.5219907407407407,1.3983686836060867,1.0,0.05948554232325809,1.3110928225797747,0.47482000386267437,0.3698995283986057,0.23727749646867288,0.5406852928509904
"frozenset({'Al, %_Low'})","frozenset({'Ca, %_Low'})",0.37328549105851033,0.431680074078361,0.20469934602696915,0.5483720930232558,1.27032060535579,1.0,0.04355943759445405,1.2583808864382326,0.3395439992399388,0.34101426918627076,0.20532804433287558,0.5112821719976179
"frozenset({'Al, %_Low'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.37328549105851033,0.8727935644423868,0.28624341686440186,0.7668217054263565,0.8785831342790275,1.0,-0.03955775743118206,0.5455329184485407,-0.1806697337876651,0.29822128429303585,-0.8330699508362088,0.5473920210707142
"frozenset({'Al, %_Low'})",frozenset({'workpiece_slice_geometry_180x180'}),0.37328549105851033,0.8681057931593263,0.28531743735169857,0.7643410852713177,0.8804699741602066,1.0,-0.03873385993851819,0.5596826540278583,-0.17804869787456817,0.2984261501210653,-0.7867268045620451,0.5465038759689922
"frozenset({'Al, %_Low'})",frozenset({'steel_type_Arm500'}),0.37328549105851033,0.7896869031772672,0.2626309392904682,0.7035658914728683,0.8909428390443159,1.0,-0.032147724144532264,0.7094767126080684,-0.16340012751073996,0.29170148486212,-0.409489532537234,0.5180709633252946
"frozenset({'Al, %_Low'})","frozenset({'Nb, %_Low'})",0.37328549105851033,0.5151339776607442,0.22472365298917762,0.602015503875969,1.1686581161075014,1.0,0.03243161317716303,1.2183037959050254,0.23027671022052928,0.3385943494942449,0.1791866664446013,0.5191293113133356
"frozenset({'Al, %_Low'})","frozenset({'crystallizer_movement, mm_Low'})",0.37328549105851033,0.6223161062561491,0.21644771109439204,0.57984496124031,0.9317531000903299,1.0,-0.015853862223054654,0.8989155404604569,-0.10464265146566115,0.2777984104582931,-0.11245156523577732,0.4638274373764091
"frozenset({'metal_residue_grab1, tonn_0.4', 'Al, %_Low'})",frozenset({'kind_B 789/BC'}),0.37328549105851033,0.9997106314022802,0.37328549105851033,1.0,1.000289452356142,1.0,0.00010801709909674662,inf,0.00046172315079881407,0.37339353942341097,1.0,0.6866967697117055
"frozenset({'kind_B 789/BC', 'Al, %_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.37328549105851033,0.9993633890850165,0.37328549105851033,1.0,1.0006370164466063,1.0,0.00023763761801282035,inf,0.001015790931757296,0.3735232800555942,1.0,0.686761640027797
