KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.0013,,0.0013,0.0013,0.0013,0.0013,0.0013
0,0,71,0,1,-1,-1,6.0,0.0013,0.0,0.0013,0.0013,0.0013,0.0013,0.0013
0,0,153,0,-1,-1,-1,2.0,0.0013,0.0,0.0013,0.0013,0.0013,0.0013,0.0013
0,0,153,0,1,-1,-1,3.0,0.0013,0.0,0.0013,0.0013,0.0013,0.0013,0.0013
0,1,-1,0,-1,-1,-1,4.0,0.0014,0.0,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,-1,0,-1,-1,1,1.0,0.0014,,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,-1,0,-1,1,1,2.0,0.00135,7.07106781186548e-05,0.0013,0.001325,0.00135,0.001375,0.0014
0,1,-1,0,1,-1,1,13.0,0.0013769230769230768,9.268086959962987e-05,0.0012,0.0013,0.0014,0.0014,0.0015
0,1,-1,0,1,1,1,8.0,0.0014,0.0003023715784073818,0.0007,0.001375,0.0015,0.0016,0.0016
0,1,0,0,-1,1,-1,2.0,0.0003,0.0,0.0003,0.0003,0.0003,0.0003,0.0003
0,1,0,0,-1,1,1,44.0,0.0008954545454545454,0.0004865419246041013,0.0003,0.0004,0.0008,0.0011,0.0018
0,1,0,0,1,-1,1,4.0,0.0014,0.0,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,0,0,1,1,-1,1.0,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
0,1,0,0,1,1,1,1500.0,0.0011167333333333331,0.00034595729966430285,0.0003,0.001,0.0012,0.0013,0.0021
0,1,1,0,1,1,1,13.0,0.001446153846153846,0.00015607361839521232,0.0013,0.0013,0.0014,0.0015,0.0018
0,1,151,0,1,-1,1,4.0,0.0014,0.0,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,151,0,1,1,1,1.0,0.0014,,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,152,0,1,-1,1,5.0,0.0012,0.0,0.0012,0.0012,0.0012,0.0012,0.0012
0,1,154,0,-1,1,1,5.0,0.0013,0.0,0.0013,0.0013,0.0013,0.0013,0.0013
0,1,155,0,-1,-1,-1,2.0,0.0014,0.0,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,155,0,-1,-1,1,3.0,0.0014,0.0,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,156,0,1,1,1,5.0,0.0013,0.0,0.0013,0.0013,0.0013,0.0013,0.0013
0,1,157,0,1,-1,1,1.0,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
0,1,157,0,1,1,1,4.0,0.0007,0.0,0.0007,0.0007,0.0007,0.0007,0.0007
0,1,158,0,-1,-1,1,1.0,0.0015,,0.0015,0.0015,0.0015,0.0015,0.0015
0,1,158,0,1,-1,1,3.0,0.0015000000000000002,2.655742100606481e-19,0.0015,0.0015,0.0015,0.0015,0.0015
0,1,158,0,1,1,1,1.0,0.0015,,0.0015,0.0015,0.0015,0.0015,0.0015
0,1,159,0,-1,1,1,3.0,0.0014,0.0,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,159,0,1,1,1,2.0,0.0014,0.0,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,160,0,1,-1,1,3.0,0.0013,0.0,0.0013,0.0013,0.0013,0.0013,0.0013
0,1,160,0,1,1,1,2.0,0.0013,0.0,0.0013,0.0013,0.0013,0.0013,0.0013
0,1,161,0,1,1,1,5.0,0.0015,0.0,0.0015,0.0015,0.0015,0.0015,0.0015
0,1,222,0,-1,-1,1,4.0,0.0013,0.0,0.0013,0.0013,0.0013,0.0013,0.0013
0,1,222,0,1,-1,1,7.0,0.0013000000000000002,2.342144381509676e-19,0.0013,0.0013,0.0013,0.0013,0.0013
0,1,225,0,-1,-1,1,7.0,0.0014,0.0,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,225,0,1,-1,1,4.0,0.0014,0.0,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,226,0,1,-1,-1,5.0,0.0012,0.0,0.0012,0.0012,0.0012,0.0012,0.0012
0,1,226,0,1,-1,1,2.0,0.0012,0.0,0.0012,0.0012,0.0012,0.0012,0.0012
0,1,241,0,-1,1,1,12.0,0.0017,0.0,0.0017,0.0017,0.0017,0.0017,0.0017
0,1,247,0,1,1,1,13.0,0.0010000000000000005,4.51389359802078e-19,0.001,0.001,0.001,0.001,0.001
