KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.1933,,0.1933,0.1933,0.1933,0.1933,0.1933
0,0,71,0,1,-1,-1,6.0,0.1928,0.0,0.1928,0.1928,0.1928,0.1928,0.1928
0,0,153,0,-1,-1,-1,2.0,0.1933,0.0,0.1933,0.1933,0.1933,0.1933,0.1933
0,0,153,0,1,-1,-1,3.0,0.1933,0.0,0.1933,0.1933,0.1933,0.1933,0.1933
0,1,-1,0,-1,-1,-1,4.0,0.18839999999999998,0.0022000000000000075,0.1873,0.1873,0.1873,0.1884,0.1917
0,1,-1,0,-1,-1,1,1.0,0.1788,,0.1788,0.1788,0.1788,0.1788,0.1788
0,1,-1,0,-1,1,1,2.0,0.19345,0.005586143571373719,0.1895,0.191475,0.19345,0.195425,0.1974
0,1,-1,0,1,-1,1,13.0,0.18742307692307694,0.008057000459864481,0.1782,0.1788,0.1896,0.1955,0.2002
0,1,-1,0,1,1,1,8.0,0.18894999999999998,0.010065641701210253,0.1727,0.185975,0.1936,0.194025,0.1991
0,1,0,0,-1,1,-1,2.0,0.2026,0.0,0.2026,0.2026,0.2026,0.2026,0.2026
0,1,0,0,-1,1,1,44.0,0.19496590909090908,0.005735322751276582,0.1815,0.1918,0.19655,0.1992,0.2057
0,1,0,0,1,-1,1,4.0,0.1987,0.0,0.1987,0.1987,0.1987,0.1987,0.1987
0,1,0,0,1,1,-1,1.0,0.2026,,0.2026,0.2026,0.2026,0.2026,0.2026
0,1,0,0,1,1,1,1500.0,0.19394146666666665,0.00582886818502825,0.1815,0.1901,0.1938,0.1968,0.2131
0,1,1,0,1,1,1,13.0,0.19226923076923075,0.00697010098150003,0.1822,0.1886,0.1906,0.196,0.2064
0,1,151,0,1,-1,1,4.0,0.1736,0.0,0.1736,0.1736,0.1736,0.1736,0.1736
0,1,151,0,1,1,1,1.0,0.1736,,0.1736,0.1736,0.1736,0.1736,0.1736
0,1,152,0,1,-1,1,5.0,0.1888,0.0,0.1888,0.1888,0.1888,0.1888,0.1888
0,1,154,0,-1,1,1,5.0,0.1895,0.0,0.1895,0.1895,0.1895,0.1895,0.1895
0,1,155,0,-1,-1,-1,2.0,0.1917,0.0,0.1917,0.1917,0.1917,0.1917,0.1917
0,1,155,0,-1,-1,1,3.0,0.1917,0.0,0.1917,0.1917,0.1917,0.1917,0.1917
0,1,156,0,1,1,1,5.0,0.1901,0.0,0.1901,0.1901,0.1901,0.1901,0.1901
0,1,157,0,1,-1,1,1.0,0.1991,,0.1991,0.1991,0.1991,0.1991,0.1991
0,1,157,0,1,1,1,4.0,0.1991,0.0,0.1991,0.1991,0.1991,0.1991,0.1991
0,1,158,0,-1,-1,1,1.0,0.1727,,0.1727,0.1727,0.1727,0.1727,0.1727
0,1,158,0,1,-1,1,3.0,0.1727,0.0,0.1727,0.1727,0.1727,0.1727,0.1727
0,1,158,0,1,1,1,1.0,0.1727,,0.1727,0.1727,0.1727,0.1727,0.1727
0,1,159,0,-1,1,1,3.0,0.1974,0.0,0.1974,0.1974,0.1974,0.1974,0.1974
0,1,159,0,1,1,1,2.0,0.1974,0.0,0.1974,0.1974,0.1974,0.1974,0.1974
0,1,160,0,1,-1,1,3.0,0.20020000000000002,3.3993498887762956e-17,0.2002,0.2002,0.2002,0.2002,0.2002
0,1,160,0,1,1,1,2.0,0.2002,0.0,0.2002,0.2002,0.2002,0.2002,0.2002
0,1,161,0,1,1,1,5.0,0.1953,0.0,0.1953,0.1953,0.1953,0.1953,0.1953
0,1,222,0,-1,-1,1,4.0,0.1896,0.0,0.1896,0.1896,0.1896,0.1896,0.1896
0,1,222,0,1,-1,1,7.0,0.1896,0.0,0.1896,0.1896,0.1896,0.1896,0.1896
0,1,225,0,-1,-1,1,7.0,0.1975,0.0,0.1975,0.1975,0.1975,0.1975,0.1975
0,1,225,0,1,-1,1,4.0,0.1975,0.0,0.1975,0.1975,0.1975,0.1975,0.1975
0,1,226,0,1,-1,-1,5.0,0.1952,0.0,0.1952,0.1952,0.1952,0.1952,0.1952
0,1,226,0,1,-1,1,2.0,0.1952,0.0,0.1952,0.1952,0.1952,0.1952,0.1952
0,1,241,0,-1,1,1,12.0,0.20840000000000003,2.8989753257218837e-17,0.2084,0.2084,0.2084,0.2084,0.2084
0,1,247,0,1,1,1,13.0,0.1852,0.0,0.1852,0.1852,0.1852,0.1852,0.1852
0,1,248,0,1,-1,1,1.0,0.1899,,0.1899,0.1899,0.1899,0.1899,0.1899
0,1,248,0,1,1,-1,1.0,0.1899,,0.1899,0.1899,0.1899,0.1899,0.1899
