antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Ca, %_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.431680074078361,0.9993633890850165,0.431680074078361,1.0,1.0006370164466063,1.0,0.00027481224693914896,inf,0.001120162932790126,0.4319550613852212,1.0,0.7159775306926106
"frozenset({'Ca, %_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.431680074078361,1.0,0.431680074078361,1.0,1.0,1.0,0.0,inf,0.0,0.431680074078361,0.0,0.7158400370391805
"frozenset({'Ca, %_Low'})",frozenset({'kind_B 789/BC'}),0.431680074078361,0.9997106314022802,0.43139070548064123,0.999329668856415,0.9996189271836283,1.0,-0.00016445394002012614,0.4316800740783503,-0.0006703311435848284,0.43139070548064123,-1.316530366000862,0.7154226206965877
"frozenset({'Ca, %_Low'})",frozenset({'alloy_type_open'}),0.431680074078361,0.989698477921176,0.42375137450083916,0.9816329266657728,0.991850496453885,1.0,-0.00348173776341526,0.5608690013572822,-0.014251422450364192,0.4247592528135515,-0.7829475288882732,0.7048975112248226
"frozenset({'Ca, %_Low'})","frozenset({'residuals_grab2, tonn_4.0'})",0.431680074078361,0.9745355634006597,0.42027895132820187,0.9735889529427537,0.9990286547834101,1.0,-0.00040863287259218506,0.9641585410887265,-0.001707892043662592,0.426273773186194,-0.03717382295944964,0.7024248583230308
"frozenset({'Ca, %_Low'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.431680074078361,0.7953006539730308,0.31975230048035186,0.7407159136613487,0.931365905410744,1.0,-0.02356314474129506,0.7894790186221111,-0.11478273431246883,0.3524496044909416,-0.2666581079574656,0.5713840083515592
"frozenset({'Ca, %_Low'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.431680074078361,0.8727935644423868,0.3420915562243185,0.7924654779461053,0.9079643918460814,1.0,-0.03467603432928773,0.6129410870957603,-0.15136194182870727,0.35546334716459194,-0.6314781649541616,0.5922078069393679
"frozenset({'Ca, %_Low'})",frozenset({'workpiece_slice_geometry_180x180'}),0.431680074078361,0.8681057931593263,0.34081833439435155,0.7895160209143317,0.9094698216919158,1.0,-0.03392563870452081,0.6266234960666146,-0.1490454038657955,0.3554013277006639,-0.5958546180874341,0.5910580104571659
"frozenset({'Ca, %_Low'})",frozenset({'steel_type_Arm500'}),0.431680074078361,0.7896869031772672,0.3174952254181376,0.7354873307413863,0.9313657448061864,1.0,-0.0233968754441366,0.7950964973141228,-0.11478298959671378,0.35126136509156103,-0.2577089741660942,0.5687696822266843
"frozenset({'Ca, %_Low'})","frozenset({'Nb, %_Low'})",0.431680074078361,0.5151339776607442,0.248683372880375,0.5760825847968897,1.1183160299635386,1.0,0.026310299243504198,1.1437747187313438,0.18615990789766196,0.3562132139600431,0.12570195544347787,0.5294186657272844
"frozenset({'Ca, %_Low'})","frozenset({'crystallizer_movement, mm_Low'})",0.431680074078361,0.6223161062561491,0.22073036634064472,0.5113285963265853,0.821654125911566,1.0,-0.04791109650816691,0.7728790571839188,-0.276373135044377,0.26489790248645645,-0.2938634974062108,0.43301015513344054
"frozenset({'Ca, %_Low', 'metal_residue_grab1, tonn_0.4'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.431680074078361,1.0,0.431680074078361,1.0,1.0,1.0,0.0,inf,0.0,0.431680074078361,0.0,0.7158400370391805
"frozenset({'Ca, %_Low', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.431680074078361,0.9993633890850165,0.431680074078361,1.0,1.0006370164466063,1.0,0.00027481224693914896,inf,0.001120162932790126,0.4319550613852212,1.0,0.7159775306926106
"frozenset({'Ca, %_Low'})","frozenset({'metal_residue_grab1, tonn_0.4', 'slag_weight_close_grab1, tonn_1.8'})",0.431680074078361,0.9993633890850165,0.431680074078361,1.0,1.0006370164466063,1.0,0.00027481224693914896,inf,0.001120162932790126,0.4319550613852212,1.0,0.7159775306926106
"frozenset({'Ca, %_Low', 'kind_B 789/BC'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.43139070548064123,1.0,0.43139070548064123,1.0,1.0,1.0,0.0,inf,0.0,0.43139070548064123,0.0,0.7156953527403206
"frozenset({'Ca, %_Low', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'kind_B 789/BC'}),0.431680074078361,0.9997106314022802,0.43139070548064123,0.999329668856415,0.9996189271836283,1.0,-0.00016445394002012614,0.4316800740783503,-0.0006703311435848284,0.43139070548064123,-1.316530366000862,0.7154226206965877
"frozenset({'Ca, %_Low'})","frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})",0.431680074078361,0.9997106314022802,0.43139070548064123,0.999329668856415,0.9996189271836283,1.0,-0.00016445394002012614,0.4316800740783503,-0.0006703311435848284,0.43139070548064123,-1.316530366000862,0.7154226206965877
"frozenset({'Ca, %_Low', 'metal_residue_grab1, tonn_0.4'})",frozenset({'kind_B 789/BC'}),0.431680074078361,0.9997106314022802,0.43139070548064123,0.999329668856415,0.9996189271836283,1.0,-0.00016445394002012614,0.4316800740783503,-0.0006703311435848284,0.43139070548064123,-1.316530366000862,0.7154226206965877
