KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.0008,,0.0008,0.0008,0.0008,0.0008,0.0008
0,0,71,0,1,-1,-1,6.0,0.0008,0.0,0.0008,0.0008,0.0008,0.0008,0.0008
0,0,153,0,-1,-1,-1,2.0,0.0008,0.0,0.0008,0.0008,0.0008,0.0008,0.0008
0,0,153,0,1,-1,-1,3.0,0.0008,0.0,0.0008,0.0008,0.0008,0.0008,0.0008
0,1,-1,0,-1,-1,-1,4.0,0.000825,4.999999999999997e-05,0.0008,0.0008,0.0008,0.000825,0.0009
0,1,-1,0,-1,-1,1,1.0,0.0011,,0.0011,0.0011,0.0011,0.0011,0.0011
0,1,-1,0,-1,1,1,2.0,0.0008,0.0,0.0008,0.0008,0.0008,0.0008,0.0008
0,1,-1,0,1,-1,1,13.0,0.0009076923076923078,0.00016052797503622468,0.0007,0.0008,0.0008,0.0011,0.0011
0,1,-1,0,1,1,1,8.0,0.0009125,0.00021001700611413085,0.0006,0.0007750000000000001,0.0009500000000000001,0.0011,0.0011
0,1,0,0,-1,1,-1,2.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002
0,1,0,0,-1,1,1,44.0,0.0007681818181818182,0.00034423675416426347,0.0002,0.0005,0.0008,0.0009,0.0014
0,1,0,0,1,-1,1,4.0,0.0008,0.0,0.0008,0.0008,0.0008,0.0008,0.0008
0,1,0,0,1,1,-1,1.0,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
0,1,0,0,1,1,1,1500.0,0.0007716000000000001,0.00030511555789423906,0.0002,0.0006,0.0007,0.0009,0.002
0,1,1,0,1,1,1,13.0,0.0005538461538461539,0.00020254787341673333,0.0004,0.0004,0.0005,0.0005,0.0011
0,1,151,0,1,-1,1,4.0,0.0008,0.0,0.0008,0.0008,0.0008,0.0008,0.0008
0,1,151,0,1,1,1,1.0,0.0008,,0.0008,0.0008,0.0008,0.0008,0.0008
0,1,152,0,1,-1,1,5.0,0.0007,0.0,0.0007,0.0007,0.0007,0.0007,0.0007
0,1,154,0,-1,1,1,5.0,0.0008,0.0,0.0008,0.0008,0.0008,0.0008,0.0008
0,1,155,0,-1,-1,-1,2.0,0.0009,0.0,0.0009,0.0009,0.0009,0.0009,0.0009
0,1,155,0,-1,-1,1,3.0,0.0009000000000000001,1.3278710503032405e-19,0.0009,0.0009,0.0009,0.0009,0.0009
0,1,156,0,1,1,1,5.0,0.0011,0.0,0.0011,0.0011,0.0011,0.0011,0.0011
0,1,157,0,1,-1,1,1.0,0.0006,,0.0006,0.0006,0.0006,0.0006,0.0006
0,1,157,0,1,1,1,4.0,0.0006,0.0,0.0006,0.0006,0.0006,0.0006,0.0006
0,1,158,0,-1,-1,1,1.0,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
0,1,158,0,1,-1,1,3.0,0.0007,0.0,0.0007,0.0007,0.0007,0.0007,0.0007
0,1,158,0,1,1,1,1.0,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007
