antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Ce, %_Low'})","frozenset({'Mn,%_Low'})",0.3372880375021703,0.33393136176862087,0.2046414723074252,0.6067261496225119,1.816918741651193,1.0,0.0920104186360598,1.6936509701625118,0.6784510906395971,0.4386008434631605,0.40955957418779937,0.6097755531474778
"frozenset({'Mn,%_Low'})","frozenset({'Ce, %_Low'})",0.33393136176862087,0.3372880375021703,0.2046414723074252,0.6128249566724436,1.816918741651193,1.0,0.0920104186360598,1.7116598136134633,0.6750320131126966,0.4386008434631605,0.4157717602255832,0.6097755531474778
"frozenset({'workpiece_slice_geometry_180x180', 'Ce, %_Low'})","frozenset({'Mn,%_Low'})",0.2776202326523526,0.33393136176862087,0.2046414723074252,0.7371273712737126,2.207421810786565,1.0,0.11193536996330375,2.5338075000760703,0.7571956558620884,0.502915659223439,0.6053370273906056,0.6749761639730781
"frozenset({'workpiece_slice_geometry_180x180', 'Mn,%_Low'})","frozenset({'Ce, %_Low'})",0.322182996701198,0.3372880375021703,0.2046414723074252,0.6351715466139751,1.8831724697911592,1.0,0.09597300163350991,1.8165029518588958,0.6918994209442919,0.4499300165415447,0.4494916735606389,0.6209488481182435
"frozenset({'Ce, %_Low', 'Mn,%_Low'})",frozenset({'workpiece_slice_geometry_180x180'}),0.2046414723074252,0.8681057931593263,0.2046414723074252,1.0,1.1519333333333333,1.0,0.026991024676695535,inf,0.16582987702830537,0.23573333333333332,1.0,0.6178666666666667
"frozenset({'Ce, %_Low'})","frozenset({'workpiece_slice_geometry_180x180', 'Mn,%_Low'})",0.3372880375021703,0.322182996701198,0.2046414723074252,0.6067261496225119,1.8831724697911592,1.0,0.09597300163350991,1.7235242125765347,0.7076697247488907,0.4499300165415447,0.4197934715955758,0.6209488481182435
"frozenset({'Mn,%_Low'})","frozenset({'workpiece_slice_geometry_180x180', 'Ce, %_Low'})",0.33393136176862087,0.2776202326523526,0.2046414723074252,0.6128249566724436,2.207421810786565,1.0,0.11193536996330375,1.8657704823616497,0.8212108937762261,0.502915659223439,0.4640283949962469,0.6749761639730781
"frozenset({'Ce, %_Low', 'alloy_type_open'})","frozenset({'Mn,%_Low'})",0.3372880375021703,0.33393136176862087,0.2046414723074252,0.6067261496225119,1.816918741651193,1.0,0.0920104186360598,1.6936509701625118,0.6784510906395971,0.4386008434631605,0.40955957418779937,0.6097755531474778
"frozenset({'Ce, %_Low', 'Mn,%_Low'})",frozenset({'alloy_type_open'}),0.2046414723074252,0.989698477921176,0.2046414723074252,1.0,1.0104087480264312,1.0,0.0021081186452179823,inf,0.012952048315506016,0.20677153382843108,1.0,0.6033857669142155
"frozenset({'Mn,%_Low', 'alloy_type_open'})","frozenset({'Ce, %_Low'})",0.3242664506047804,0.3372880375021703,0.2046414723074252,0.6310904872389791,1.8710728429997114,1.0,0.09527027755514438,1.7964078983431735,0.6889509400882654,0.44787840405319823,0.4433335541876098,0.6189083184307456
