KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.324,,0.324,0.324,0.324,0.324,0.324
0,0,71,0,1,-1,-1,6.0,0.319,0.0,0.319,0.319,0.319,0.319,0.319
0,0,153,0,-1,-1,-1,2.0,0.324,0.0,0.324,0.324,0.324,0.324,0.324
0,0,153,0,1,-1,-1,3.0,0.324,0.0,0.324,0.324,0.324,0.324,0.324
0,1,-1,0,-1,-1,-1,4.0,0.323,0.0,0.323,0.323,0.323,0.323,0.323
0,1,-1,0,-1,-1,1,1.0,0.323,,0.323,0.323,0.323,0.323,0.323
0,1,-1,0,-1,1,1,2.0,0.328,0.007071067811865481,0.323,0.3255,0.328,0.3305,0.333
0,1,-1,0,1,-1,1,13.0,0.3239230769230769,0.003967819268009793,0.321,0.323,0.323,0.323,0.337
0,1,-1,0,1,1,1,8.0,0.32275000000000004,0.0021876275473019383,0.32,0.32225000000000004,0.323,0.323,0.327
0,1,0,0,-1,1,-1,2.0,0.323,0.0,0.323,0.323,0.323,0.323,0.323
0,1,0,0,-1,1,1,44.0,0.3227727272727273,0.005619168341856531,0.311,0.318,0.3255,0.327,0.332
0,1,0,0,1,-1,1,4.0,0.329,0.0,0.329,0.329,0.329,0.329,0.329
0,1,0,0,1,1,-1,1.0,0.323,,0.323,0.323,0.323,0.323,0.323
0,1,0,0,1,1,1,1500.0,0.32289933333333337,0.005948960102944595,0.308,0.319,0.323,0.327,0.342
0,1,1,0,1,1,1,13.0,0.32123076923076915,0.0071548799914679054,0.308,0.318,0.322,0.327,0.333
0,1,151,0,1,-1,1,4.0,0.323,0.0,0.323,0.323,0.323,0.323,0.323
0,1,151,0,1,1,1,1.0,0.323,,0.323,0.323,0.323,0.323,0.323
0,1,152,0,1,-1,1,5.0,0.321,0.0,0.321,0.321,0.321,0.321,0.321
0,1,154,0,-1,1,1,5.0,0.323,0.0,0.323,0.323,0.323,0.323,0.323
0,1,155,0,-1,-1,-1,2.0,0.323,0.0,0.323,0.323,0.323,0.323,0.323
