KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.0446,,0.0446,0.0446,0.0446,0.0446,0.0446
0,0,71,0,1,-1,-1,6.0,0.0413,0.0,0.0413,0.0413,0.0413,0.0413,0.0413
0,0,153,0,-1,-1,-1,2.0,0.0446,0.0,0.0446,0.0446,0.0446,0.0446,0.0446
0,0,153,0,1,-1,-1,3.0,0.0446,0.0,0.0446,0.0446,0.0446,0.0446,0.0446
0,1,-1,0,-1,-1,-1,4.0,0.0296,0.008799999999999999,0.0252,0.0252,0.0252,0.0296,0.0428
0,1,-1,0,-1,-1,1,1.0,0.0345,,0.0345,0.0345,0.0345,0.0345,0.0345
0,1,-1,0,-1,1,1,2.0,0.0471,0.003111269837220805,0.0449,0.046,0.0471,0.0482,0.0493
0,1,-1,0,1,-1,1,13.0,0.033069230769230774,0.007844571861631946,0.0244,0.027,0.0345,0.0386,0.0456
0,1,-1,0,1,1,1,8.0,0.03655,0.0055446241660600535,0.0271,0.0341,0.035449999999999995,0.040125,0.0453
0,1,0,0,-1,1,-1,2.0,0.0248,0.0,0.0248,0.0248,0.0248,0.0248,0.0248
0,1,0,0,-1,1,1,44.0,0.04025909090909091,0.00802798356279873,0.0228,0.0341,0.0406,0.0458,0.0559
0,1,0,0,1,-1,1,4.0,0.0466,0.0,0.0466,0.0466,0.0466,0.0466,0.0466
0,1,0,0,1,1,-1,1.0,0.0248,,0.0248,0.0248,0.0248,0.0248,0.0248
0,1,0,0,1,1,1,1500.0,0.04230053333333333,0.007390467670620212,0.0228,0.0377,0.0427,0.047,0.0659
0,1,1,0,1,1,1,13.0,0.04219230769230769,0.004069492502852072,0.0359,0.0397,0.0409,0.0443,0.051
0,1,151,0,1,-1,1,4.0,0.0453,0.0,0.0453,0.0453,0.0453,0.0453,0.0453
0,1,151,0,1,1,1,1.0,0.0453,,0.0453,0.0453,0.0453,0.0453,0.0453
0,1,152,0,1,-1,1,5.0,0.0453,0.0,0.0453,0.0453,0.0453,0.0453,0.0453
0,1,154,0,-1,1,1,5.0,0.0493,0.0,0.0493,0.0493,0.0493,0.0493,0.0493
0,1,155,0,-1,-1,-1,2.0,0.0428,0.0,0.0428,0.0428,0.0428,0.0428,0.0428
0,1,155,0,-1,-1,1,3.0,0.0428,0.0,0.0428,0.0428,0.0428,0.0428,0.0428
0,1,156,0,1,1,1,5.0,0.0398,0.0,0.0398,0.0398,0.0398,0.0398,0.0398
0,1,157,0,1,-1,1,1.0,0.0271,,0.0271,0.0271,0.0271,0.0271,0.0271
0,1,157,0,1,1,1,4.0,0.0271,0.0,0.0271,0.0271,0.0271,0.0271,0.0271
0,1,158,0,-1,-1,1,1.0,0.0368,,0.0368,0.0368,0.0368,0.0368,0.0368
0,1,158,0,1,-1,1,3.0,0.0368,0.0,0.0368,0.0368,0.0368,0.0368,0.0368
0,1,158,0,1,1,1,1.0,0.0368,,0.0368,0.0368,0.0368,0.0368,0.0368
0,1,159,0,-1,1,1,3.0,0.0449,0.0,0.0449,0.0449,0.0449,0.0449,0.0449
0,1,159,0,1,1,1,2.0,0.0449,0.0,0.0449,0.0449,0.0449,0.0449,0.0449
0,1,160,0,1,-1,1,3.0,0.0456,0.0,0.0456,0.0456,0.0456,0.0456,0.0456
0,1,160,0,1,1,1,2.0,0.0456,0.0,0.0456,0.0456,0.0456,0.0456,0.0456
0,1,161,0,1,1,1,5.0,0.0411,0.0,0.0411,0.0411,0.0411,0.0411,0.0411
0,1,222,0,-1,-1,1,4.0,0.0437,0.0,0.0437,0.0437,0.0437,0.0437,0.0437
0,1,222,0,1,-1,1,7.0,0.04370000000000001,7.494862020830963e-18,0.0437,0.0437,0.0437,0.0437,0.0437
0,1,225,0,-1,-1,1,7.0,0.0331,0.0,0.0331,0.0331,0.0331,0.0331,0.0331
0,1,225,0,1,-1,1,4.0,0.0331,0.0,0.0331,0.0331,0.0331,0.0331,0.0331
0,1,226,0,1,-1,-1,5.0,0.0403,0.0,0.0403,0.0403,0.0403,0.0403,0.0403
0,1,226,0,1,-1,1,2.0,0.0403,0.0,0.0403,0.0403,0.0403,0.0403,0.0403
0,1,241,0,-1,1,1,12.0,0.034499999999999996,7.247438314304709e-18,0.0345,0.0345,0.0345,0.0345,0.0345
0,1,247,0,1,1,1,13.0,0.0378,0.0,0.0378,0.0378,0.0378,0.0378,0.0378
0,1,248,0,1,-1,1,1.0,0.0254,,0.0254,0.0254,0.0254,0.0254,0.0254
0,1,248,0,1,1,-1,1.0,0.0254,,0.0254,0.0254,0.0254,0.0254,0.0254
