antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Cu, %_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.337635279819434,0.9993633890850165,0.337635279819434,1.0,1.0006370164466063,1.0,0.00021494230441654327,inf,0.0009611183923109694,0.33785035904563354,1.0,0.6689251795228167
"frozenset({'Cu, %_Low'})",frozenset({'kind_B 789/BC'}),0.337635279819434,0.9997106314022802,0.337635279819434,1.0,1.000289452356142,1.0,9.77010474620954e-05,inf,0.00043687199650512145,0.33773300914669446,1.0,0.6688665045733472
"frozenset({'Cu, %_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.337635279819434,1.0,0.337635279819434,1.0,1.0,1.0,0.0,inf,0.0,0.337635279819434,0.0,0.668817639909717
"frozenset({'Cu, %_Low'})","frozenset({'residuals_grab2, tonn_4.0'})",0.337635279819434,0.9745355634006597,0.3313270443891429,0.9813164209804595,1.0069580401521088,1.0,0.002289456746371432,1.362931404775705,0.010432259086079313,0.33779797026197783,0.2662873593667261,0.6606504903168228
"frozenset({'Cu, %_Low'})",frozenset({'alloy_type_open'}),0.337635279819434,0.989698477921176,0.3292435904855605,0.9751456976345562,0.9852957434902927,1.0,-0.0049135320442236785,0.41447641246799466,-0.022034480421705797,0.32987359387684095,-1.4126825313062146,0.6539081508463992
"frozenset({'Cu, %_Low'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.337635279819434,0.7953006539730308,0.23357833207940273,0.691806650668495,0.8698680772013481,1.0,-0.03494322676536035,0.6641913151954049,-0.18424406378519195,0.25971685971685965,-0.5055902977379346,0.4927524011601826
"frozenset({'Cu, %_Low'})","frozenset({'Ti, %_Low'})",0.337635279819434,0.4000231494878176,0.17854042479310145,0.5287967089475488,1.3219152682153785,1.0,0.0434784967815309,1.273286630006574,0.3676552435614486,0.31932512162302035,0.2146308800911253,0.48756097021451517
"frozenset({'Cu, %_Low'})","frozenset({'Al, %_Low'})",0.337635279819434,0.37328549105851033,0.16887551362926095,0.5001714089818307,1.3399165543871399,1.0,0.042841162403186,1.2538588632251888,0.38299876244553704,0.311552423660047,0.20246207182538112,0.4762872548785122
"frozenset({'Cu, %_Low'})","frozenset({'Mo, %_Low'})",0.337635279819434,0.3599166618438567,0.2623994444122924,0.7771683236201579,2.159300766012656,1.0,0.14087888157896528,2.8724970729253405,0.8105611637175401,0.6030057188455913,0.6518708375978941,0.7531122209835796
"frozenset({'Mo, %_Low'})","frozenset({'Cu, %_Low'})",0.3599166618438567,0.337635279819434,0.2623994444122924,0.7290561183470012,2.159300766012656,1.0,0.14087888157896528,2.444656495432013,0.8387769004292266,0.6030057188455913,0.5909445757027378,0.7531122209835796
"frozenset({'S, %_Low'})","frozenset({'Cu, %_Low'})",0.3400659760402801,0.337635279819434,0.1704959777764917,0.501361470388019,1.4849202685695202,1.0,0.055677706799062796,1.3283464490720156,0.4948421465057939,0.33614787768142407,0.24718434659978866,0.5031661654305539
"frozenset({'Cu, %_Low'})","frozenset({'S, %_Low'})",0.337635279819434,0.3400659760402801,0.1704959777764917,0.5049708604730888,1.4849202685695204,1.0,0.055677706799062796,1.3331215705612902,0.49302621202320385,0.33614787768142407,0.24988086451938102,0.5031661654305539
"frozenset({'Cu, %_Low'})","frozenset({'N, %_Low'})",0.337635279819434,0.34608484287285146,0.17871404595173332,0.5293109358930408,1.529425361420711,1.0,0.06186359318709328,1.3892720417624853,0.5226118607351673,0.35388494155397665,0.28019857166969214,0.5228494478796307
"frozenset({'N, %_Low'})","frozenset({'Cu, %_Low'})",0.34608484287285146,0.337635279819434,0.17871404595173332,0.5163879598662207,1.529425361420711,1.0,0.06186359318709328,1.3696199953941162,0.5293647885754483,0.35388494155397665,0.2698704725669224,0.5228494478796307
"frozenset({'Cu, %_Low'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.337635279819434,0.8727935644423868,0.2604317379477979,0.7713404182379157,0.8837604327785256,1.0,-0.034254161407308525,0.556313601981346,-0.1656751642819256,0.2741395065488882,-0.7975472762816455,0.5348645596262186
"frozenset({'Cu, %_Low'})","frozenset({'crystallizer_movement, mm_Low'})",0.337635279819434,0.6223161062561491,0.1988541003530297,0.5889612615701063,0.9464020867357823,1.0,-0.011261772318905794,0.9188523086328717,-0.0787670303854219,0.26127290700326977,-0.08831418347075284,0.4542499974734192
"frozenset({'Cu, %_Low'})",frozenset({'workpiece_slice_geometry_180x180'}),0.337635279819434,0.8681057931593263,0.25614908270154524,0.7586561535824478,0.8739213118500744,1.0,-0.03695405968467558,0.5464991496509164,-0.1788519313645625,0.2697464651389566,-0.8298290137116652,0.5268614101245572
"frozenset({'Cu, %_Low'})",frozenset({'steel_type_Arm500'}),0.337635279819434,0.7896869031772672,0.22917992939406215,0.6787795680493658,0.859555306436423,1.0,-0.03744622912993675,0.6547313803969174,-0.19786967926432728,0.2551710806108641,-0.5273439305654949,0.48449788222915335
