KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.0273,,0.0273,0.0273,0.0273,0.0273,0.0273
0,0,71,0,1,-1,-1,6.0,0.030799999999999998,3.800588715305073e-18,0.0308,0.0308,0.0308,0.0308,0.0308
0,0,153,0,-1,-1,-1,2.0,0.0273,0.0,0.0273,0.0273,0.0273,0.0273,0.0273
0,0,153,0,1,-1,-1,3.0,0.0273,0.0,0.0273,0.0273,0.0273,0.0273,0.0273
0,1,-1,0,-1,-1,-1,4.0,0.035075,0.014150000000000001,0.028,0.028,0.028,0.035075,0.0563
0,1,-1,0,-1,-1,1,1.0,0.0326,,0.0326,0.0326,0.0326,0.0326,0.0326
0,1,-1,0,-1,1,1,2.0,0.03285,0.0034648232278140815,0.0304,0.031625,0.03285,0.034075,0.0353
0,1,-1,0,1,-1,1,13.0,0.032838461538461546,0.00251248166213489,0.0265,0.0318,0.0326,0.0341,0.0356
0,1,-1,0,1,1,1,8.0,0.028675,0.007517930946363215,0.0108,0.029175,0.0311,0.031525,0.035
0,1,0,0,-1,1,-1,2.0,0.0131,0.0,0.0131,0.0131,0.0131,0.0131,0.0131
0,1,0,0,-1,1,1,44.0,0.02305,0.007868881898057777,0.0118,0.014825,0.0265,0.0294,0.037
0,1,0,0,1,-1,1,4.0,0.0247,0.0,0.0247,0.0247,0.0247,0.0247,0.0247
0,1,0,0,1,1,-1,1.0,0.0131,,0.0131,0.0131,0.0131,0.0131,0.0131
0,1,0,0,1,1,1,1500.0,0.029282533333333333,0.0069154564038635975,0.0118,0.0276,0.0307,0.0332,0.0502
0,1,1,0,1,1,1,13.0,0.033346153846153845,0.0016711350357443615,0.0291,0.0329,0.0335,0.0343,0.0356
0,1,151,0,1,-1,1,4.0,0.0296,0.0,0.0296,0.0296,0.0296,0.0296,0.0296
0,1,151,0,1,1,1,1.0,0.0296,,0.0296,0.0296,0.0296,0.0296,0.0296
0,1,152,0,1,-1,1,5.0,0.026500000000000003,3.878959614448864e-18,0.0265,0.0265,0.0265,0.0265,0.0265
0,1,154,0,-1,1,1,5.0,0.0353,0.0,0.0353,0.0353,0.0353,0.0353,0.0353
0,1,155,0,-1,-1,-1,2.0,0.0563,0.0,0.0563,0.0563,0.0563,0.0563,0.0563
0,1,155,0,-1,-1,1,3.0,0.056299999999999996,8.498374721940739e-18,0.0563,0.0563,0.0563,0.0563,0.0563
0,1,156,0,1,1,1,5.0,0.0328,0.0,0.0328,0.0328,0.0328,0.0328,0.0328
0,1,157,0,1,-1,1,1.0,0.0108,,0.0108,0.0108,0.0108,0.0108,0.0108
0,1,157,0,1,1,1,4.0,0.0108,0.0,0.0108,0.0108,0.0108,0.0108,0.0108
0,1,158,0,-1,-1,1,1.0,0.035,,0.035,0.035,0.035,0.035,0.035
