KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.7097,,0.7097,0.7097,0.7097,0.7097,0.7097
0,0,71,0,1,-1,-1,6.0,0.6845,0.0,0.6845,0.6845,0.6845,0.6845,0.6845
0,0,153,0,-1,-1,-1,2.0,0.7097,0.0,0.7097,0.7097,0.7097,0.7097,0.7097
0,0,153,0,1,-1,-1,3.0,0.7097000000000001,1.3597399555105182e-16,0.7097,0.7097,0.7097,0.7097,0.7097
0,1,-1,0,-1,-1,-1,4.0,0.567275,0.08615,0.5242,0.5242,0.5242,0.567275,0.6965
0,1,-1,0,-1,-1,1,1.0,0.509,,0.509,0.509,0.509,0.509,0.509
0,1,-1,0,-1,1,1,2.0,0.7122999999999999,0.020930360723121776,0.6975,0.7049,0.7122999999999999,0.7197,0.7271
0,1,-1,0,1,-1,1,13.0,0.5419307692307691,0.082465582564439,0.5003,0.509,0.5118,0.5122,0.7391
0,1,-1,0,1,1,1,8.0,0.637325,0.06008614648985241,0.5448,0.612325,0.6231,0.69,0.7163
0,1,0,0,-1,1,-1,2.0,0.6842,0.0,0.6842,0.6842,0.6842,0.6842,0.6842
0,1,0,0,-1,1,1,44.0,0.6996659090909091,0.007249216258578323,0.6794,0.6961,0.69835,0.7043,0.7139
0,1,0,0,1,-1,1,4.0,0.7067,0.0,0.7067,0.7067,0.7067,0.7067,0.7067
0,1,0,0,1,1,-1,1.0,0.6842,,0.6842,0.6842,0.6842,0.6842,0.6842
0,1,0,0,1,1,1,1500.0,0.7010776,0.01036931338196229,0.652,0.694925,0.7013,0.7081,0.7255
0,1,1,0,1,1,1,13.0,0.6973384615384616,0.010901799428040784,0.6812,0.6893,0.7017,0.7041,0.7124
0,1,151,0,1,-1,1,4.0,0.5448,0.0,0.5448,0.5448,0.5448,0.5448,0.5448
0,1,151,0,1,1,1,1.0,0.5448,,0.5448,0.5448,0.5448,0.5448,0.5448
0,1,152,0,1,-1,1,5.0,0.7151,0.0,0.7151,0.7151,0.7151,0.7151,0.7151
0,1,154,0,-1,1,1,5.0,0.6975,0.0,0.6975,0.6975,0.6975,0.6975,0.6975
0,1,155,0,-1,-1,-1,2.0,0.6965,0.0,0.6965,0.6965,0.6965,0.6965,0.6965
0,1,155,0,-1,-1,1,3.0,0.6965,0.0,0.6965,0.6965,0.6965,0.6965,0.6965
0,1,156,0,1,1,1,5.0,0.7023,0.0,0.7023,0.7023,0.7023,0.7023,0.7023
0,1,157,0,1,-1,1,1.0,0.6859,,0.6859,0.6859,0.6859,0.6859,0.6859
0,1,157,0,1,1,1,4.0,0.6859,0.0,0.6859,0.6859,0.6859,0.6859,0.6859
0,1,158,0,-1,-1,1,1.0,0.58,,0.58,0.58,0.58,0.58,0.58
0,1,158,0,1,-1,1,3.0,0.58,0.0,0.58,0.58,0.58,0.58,0.58
0,1,158,0,1,1,1,1.0,0.58,,0.58,0.58,0.58,0.58,0.58
0,1,159,0,-1,1,1,3.0,0.7271,0.0,0.7271,0.7271,0.7271,0.7271,0.7271
0,1,159,0,1,1,1,2.0,0.7271,0.0,0.7271,0.7271,0.7271,0.7271,0.7271
0,1,160,0,1,-1,1,3.0,0.7391,0.0,0.7391,0.7391,0.7391,0.7391,0.7391
0,1,160,0,1,1,1,2.0,0.7391,0.0,0.7391,0.7391,0.7391,0.7391,0.7391
0,1,161,0,1,1,1,5.0,0.7163,0.0,0.7163,0.7163,0.7163,0.7163,0.7163
0,1,222,0,-1,-1,1,4.0,0.6879,0.0,0.6879,0.6879,0.6879,0.6879,0.6879
0,1,222,0,1,-1,1,7.0,0.6879,0.0,0.6879,0.6879,0.6879,0.6879,0.6879
0,1,225,0,-1,-1,1,7.0,0.7073,0.0,0.7073,0.7073,0.7073,0.7073,0.7073
0,1,225,0,1,-1,1,4.0,0.7073,0.0,0.7073,0.7073,0.7073,0.7073,0.7073
0,1,226,0,1,-1,-1,5.0,0.6989,0.0,0.6989,0.6989,0.6989,0.6989,0.6989
0,1,226,0,1,-1,1,2.0,0.6989,0.0,0.6989,0.6989,0.6989,0.6989,0.6989
0,1,241,0,-1,1,1,12.0,0.6955,0.0,0.6955,0.6955,0.6955,0.6955,0.6955
0,1,247,0,1,1,1,13.0,0.6851000000000002,1.1555567610933196e-16,0.6851,0.6851,0.6851,0.6851,0.6851
0,1,248,0,1,-1,1,1.0,0.7125,,0.7125,0.7125,0.7125,0.7125,0.7125
0,1,248,0,1,1,-1,1.0,0.7125,,0.7125,0.7125,0.7125,0.7125,0.7125
0,1,248,0,1,1,1,11.0,0.7125000000000001,1.1644117316690923e-16,0.7125,0.7125,0.7125,0.7125,0.7125
0,1,250,0,-1,1,-1,1.0,0.7069,,0.7069,0.7069,0.7069,0.7069,0.7069
0,1,250,0,1,1,-1,12.0,0.7069,0.0,0.7069,0.7069,0.7069,0.7069,0.7069
0,1,251,0,1,1,-1,9.0,0.6996,0.0,0.6996,0.6996,0.6996,0.6996,0.6996
0,1,251,0,1,1,1,4.0,0.6996,0.0,0.6996,0.6996,0.6996,0.6996,0.6996
0,1,252,0,-1,1,1,1.0,0.7148,,0.7148,0.7148,0.7148,0.7148,0.7148
0,1,252,0,1,1,1,12.0,0.7148,0.0,0.7148,0.7148,0.7148,0.7148,0.7148
0,1,265,0,-1,1,-1,1.0,0.7018,,0.7018,0.7018,0.7018,0.7018,0.7018
0,1,265,0,1,1,1,12.0,0.7018000000000001,1.1595901302887535e-16,0.7018,0.7018,0.7018,0.7018,0.7018
0,1,267,0,1,1,1,42.0,0.7059333333333333,0.011532809330640608,0.6918,0.6938,0.70445,0.7203,0.7208
0,1,268,0,-1,1,-1,7.0,0.7235000000000001,1.199177923332954e-16,0.7235,0.7235,0.7235,0.7235,0.7235
0,1,269,0,-1,1,-1,2.0,0.7054,0.0,0.7054,0.7054,0.7054,0.7054,0.7054
0,1,269,0,1,1,-1,3.0,0.7054,0.0,0.7054,0.7054,0.7054,0.7054,0.7054
0,1,269,0,1,1,1,2.0,0.7054,0.0,0.7054,0.7054,0.7054,0.7054,0.7054
0,1,270,0,-1,1,-1,3.0,0.6925,0.0,0.6925,0.6925,0.6925,0.6925,0.6925
0,1,270,0,1,1,-1,2.0,0.6925,0.0,0.6925,0.6925,0.6925,0.6925,0.6925
0,1,270,0,1,1,1,2.0,0.6925,0.0,0.6925,0.6925,0.6925,0.6925,0.6925
0,1,271,0,-1,1,-1,6.0,0.6967,0.0,0.6967,0.6967,0.6967,0.6967,0.6967
0,1,271,0,1,1,-1,1.0,0.6967,,0.6967,0.6967,0.6967,0.6967,0.6967
0,1,272,0,1,1,1,7.0,0.7008,0.0,0.7008,0.7008,0.7008,0.7008,0.7008
0,1,273,0,-1,1,1,1.0,0.698,,0.698,0.698,0.698,0.698,0.698
0,1,273,0,1,1,1,6.0,0.698,0.0,0.698,0.698,0.698,0.698,0.698
0,1,274,0,-1,1,-1,6.0,0.6992000000000002,1.2161883888976234e-16,0.6992,0.6992,0.6992,0.6992,0.6992
0,1,274,0,-1,1,1,7.0,0.6992000000000002,1.199177923332954e-16,0.6992,0.6992,0.6992,0.6992,0.6992
0,1,276,0,-1,1,1,13.0,0.7007,0.0,0.7007,0.7007,0.7007,0.7007,0.7007
0,1,310,0,1,1,1,13.0,0.7020999999999998,1.1555567610933196e-16,0.7021,0.7021,0.7021,0.7021,0.7021
0,1,311,0,1,1,1,13.0,0.5082000000000002,2.3111135221866393e-16,0.5082,0.5082,0.5082,0.5082,0.5082
0,1,312,0,-1,-1,-1,2.0,0.699,0.0,0.699,0.699,0.699,0.699,0.699
0,1,312,0,-1,-1,1,11.0,0.699,0.0,0.699,0.699,0.699,0.699,0.699
0,1,313,0,-1,1,-1,12.0,0.6975999999999999,1.1595901302887535e-16,0.6976,0.6976,0.6976,0.6976,0.6976
0,1,313,0,-1,1,1,1.0,0.6976,,0.6976,0.6976,0.6976,0.6976,0.6976
0,1,314,0,1,1,-1,9.0,0.5228,0.0,0.5228,0.5228,0.5228,0.5228,0.5228
0,1,314,0,1,1,1,4.0,0.5228,0.0,0.5228,0.5228,0.5228,0.5228,0.5228
0,1,315,0,1,1,1,10.0,0.5341000000000001,1.1702778228589004e-16,0.5341,0.5341,0.5341,0.5341,0.5341
0,1,316,0,1,1,1,10.0,0.6662,0.0,0.6662,0.6662,0.6662,0.6662,0.6662
0,1,348,0,1,1,1,72.0,0.7139083333333333,0.019639553005440853,0.6944,0.7013499999999999,0.71,0.7174,0.7671
0,1,349,0,1,-1,1,9.0,0.7243,0.0,0.7243,0.7243,0.7243,0.7243,0.7243
0,1,353,0,1,-1,1,5.0,0.6998,0.0,0.6998,0.6998,0.6998,0.6998,0.6998
0,1,353,0,1,1,1,4.0,0.6998,0.0,0.6998,0.6998,0.6998,0.6998,0.6998
0,1,355,0,1,-1,1,5.0,0.7001,0.0,0.7001,0.7001,0.7001,0.7001,0.7001
0,1,355,0,1,1,1,4.0,0.7001,0.0,0.7001,0.7001,0.7001,0.7001,0.7001
0,1,526,0,1,-1,-1,7.0,0.7294,0.0,0.7294,0.7294,0.7294,0.7294,0.7294
0,1,556,0,-1,1,1,7.0,0.5758857142857143,0.003220470240730184,0.574,0.574,0.574,0.5772999999999999,0.5806
0,1,556,0,1,1,1,5.0,0.57928,0.0029516097302997447,0.574,0.5806,0.5806,0.5806,0.5806
0,1,557,0,-1,1,-1,6.0,0.5803000000000001,1.2161883888976234e-16,0.5803,0.5803,0.5803,0.5803,0.5803
0,1,558,0,-1,1,-1,5.0,0.5638,0.0,0.5638,0.5638,0.5638,0.5638,0.5638
0,1,558,0,1,1,-1,1.0,0.5638,,0.5638,0.5638,0.5638,0.5638,0.5638
0,1,559,0,-1,1,1,1.0,0.6889,,0.6889,0.6889,0.6889,0.6889,0.6889
0,1,559,0,1,1,1,5.0,0.6889,0.0,0.6889,0.6889,0.6889,0.6889,0.6889
0,1,560,0,1,-1,1,6.0,0.7153999999999999,1.2161883888976234e-16,0.7154,0.7154,0.7154,0.7154,0.7154
0,1,561,0,-1,1,1,1.0,0.6999,,0.6999,0.6999,0.6999,0.6999,0.6999
0,1,561,0,1,1,1,5.0,0.6999,0.0,0.6999,0.6999,0.6999,0.6999,0.6999
0,1,562,0,-1,1,1,6.0,0.5654,0.0,0.5654,0.5654,0.5654,0.5654,0.5654
0,1,563,0,1,-1,1,6.0,0.657,0.0,0.657,0.657,0.657,0.657,0.657
0,1,564,0,1,-1,1,2.0,0.6855,0.0,0.6855,0.6855,0.6855,0.6855,0.6855
0,1,564,0,1,1,1,4.0,0.6855,0.0,0.6855,0.6855,0.6855,0.6855,0.6855
0,1,565,0,1,1,1,6.0,0.6977000000000001,1.2161883888976234e-16,0.6977,0.6977,0.6977,0.6977,0.6977
1,0,-1,1,1,-1,-1,16.0,0.9108,0.41041847586741675,0.5034,0.5159,0.9069499999999999,1.3124,1.3124
1,0,-1,1,1,-1,1,21.0,0.6696714285714286,0.16982757768647924,0.5049,0.5113,0.6874,0.7161,1.2904
1,0,-1,1,1,1,-1,6.0,0.6667166666666665,0.07380906222589924,0.5171,0.6923,0.6923,0.6923,0.714
