antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Cu, %_Low'})","frozenset({'Mo, %_Low'})",0.337635279819434,0.3599166618438567,0.2623994444122924,0.7771683236201579,2.159300766012656,1.0,0.14087888157896528,2.8724970729253405,0.8105611637175401,0.6030057188455913,0.6518708375978941,0.7531122209835796
"frozenset({'Mo, %_Low'})","frozenset({'Cu, %_Low'})",0.3599166618438567,0.337635279819434,0.2623994444122924,0.7290561183470012,2.159300766012656,1.0,0.14087888157896528,2.444656495432013,0.8387769004292266,0.6030057188455913,0.5909445757027378,0.7531122209835796
"frozenset({'Cu, %_Low', 'Mo, %_Low'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.2623994444122924,0.7953006539730308,0.18114474217257942,0.6903396559329509,0.868023498389278,1.0,-0.02754170757067667,0.6610447541925054,-0.17090285385738224,0.2066552225009903,-0.5127568801624376,0.4590542698235559
"frozenset({'Cu, %_Low', 'doc_requirement_DOC 34028-2016'})","frozenset({'Mo, %_Low'})",0.23357833207940273,0.3599166618438567,0.18114474217257942,0.7755203171456888,2.1547219102685893,1.0,0.09707600861150496,2.851408777922952,0.6992273451354974,0.4392982456140351,0.6492961627450594,0.6394083335205851
"frozenset({'doc_requirement_DOC 34028-2016', 'Mo, %_Low'})","frozenset({'Cu, %_Low'})",0.23936570403379825,0.337635279819434,0.18114474217257942,0.7567698259187621,2.2413825543452677,1.0,0.10032643571195213,2.7232012750167205,0.728138084899966,0.45760233918128657,0.6327851308038698,0.646639969524345
"frozenset({'Cu, %_Low'})","frozenset({'doc_requirement_DOC 34028-2016', 'Mo, %_Low'})",0.337635279819434,0.23936570403379825,0.18114474217257942,0.536510113129928,2.2413825543452677,1.0,0.10032643571195213,1.6411022495069605,0.8361659108641551,0.45760233918128657,0.39065344630389,0.646639969524345
"frozenset({'Mo, %_Low'})","frozenset({'Cu, %_Low', 'doc_requirement_DOC 34028-2016'})",0.3599166618438567,0.23357833207940273,0.18114474217257942,0.5032963498954816,2.1547219102685893,1.0,0.09707600861150496,1.5430159769498848,0.8372393970731821,0.4392982456140351,0.351918570553804,0.6394083335205851
"frozenset({'Cu, %_Low', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'Mo, %_Low'})",0.337635279819434,0.3599166618438567,0.2623994444122924,0.7771683236201579,2.159300766012656,1.0,0.14087888157896528,2.8724970729253405,0.8105611637175401,0.6030057188455913,0.6518708375978941,0.7531122209835796
"frozenset({'Cu, %_Low', 'Mo, %_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.2623994444122924,1.0,0.2623994444122924,1.0,1.0,1.0,0.0,inf,0.0,0.2623994444122924,0.0,0.6311997222061462
"frozenset({'slag_weight_close_grab1, tonn_1.8', 'Mo, %_Low'})","frozenset({'Cu, %_Low'})",0.3599166618438567,0.337635279819434,0.2623994444122924,0.7290561183470012,2.159300766012656,1.0,0.14087888157896528,2.444656495432013,0.8387769004292266,0.6030057188455913,0.5909445757027378,0.7531122209835796
