KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.0015,,0.0015,0.0015,0.0015,0.0015,0.0015
0,0,71,0,1,-1,-1,6.0,0.002,0.0,0.002,0.002,0.002,0.002,0.002
0,0,153,0,-1,-1,-1,2.0,0.0015,0.0,0.0015,0.0015,0.0015,0.0015,0.0015
0,0,153,0,1,-1,-1,3.0,0.0015000000000000002,2.655742100606481e-19,0.0015,0.0015,0.0015,0.0015,0.0015
0,1,-1,0,-1,-1,-1,4.0,0.002875,0.0009500000000000001,0.0024,0.0024,0.0024,0.002875,0.0043
0,1,-1,0,-1,-1,1,1.0,0.002,,0.002,0.002,0.002,0.002,0.002
0,1,-1,0,-1,1,1,2.0,0.00735,0.002333452377915606,0.0057,0.0065249999999999996,0.00735,0.008175,0.009
0,1,-1,0,1,-1,1,13.0,0.002361538461538462,0.00032796966714027467,0.002,0.0022,0.0023,0.0025,0.0033
0,1,-1,0,1,1,1,8.0,0.0022125,0.001272160704134056,0.0006,0.0016,0.00165,0.00275,0.0044
0,1,0,0,-1,1,-1,2.0,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0002
0,1,0,0,-1,1,1,44.0,0.0011545454545454548,0.0008940252702985228,0.0003,0.000475,0.0011,0.0013,0.0038
0,1,0,0,1,-1,1,4.0,0.0021,0.0,0.0021,0.0021,0.0021,0.0021,0.0021
0,1,0,0,1,1,-1,1.0,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
0,1,0,0,1,1,1,1500.0,0.0015514666666666666,0.0007900341457957609,0.0002,0.0011,0.0014,0.0018,0.0046
0,1,1,0,1,1,1,13.0,0.0019076923076923077,0.0004480727962834061,0.0014,0.0016,0.0017,0.0021,0.0027
0,1,151,0,1,-1,1,4.0,0.0017,0.0,0.0017,0.0017,0.0017,0.0017,0.0017
0,1,151,0,1,1,1,1.0,0.0017,,0.0017,0.0017,0.0017,0.0017,0.0017
0,1,152,0,1,-1,1,5.0,0.0033,0.0,0.0033,0.0033,0.0033,0.0033,0.0033
0,1,154,0,-1,1,1,5.0,0.009,0.0,0.009,0.009,0.009,0.009,0.009
0,1,155,0,-1,-1,-1,2.0,0.0043,0.0,0.0043,0.0043,0.0043,0.0043,0.0043
0,1,155,0,-1,-1,1,3.0,0.0043,0.0,0.0043,0.0043,0.0043,0.0043,0.0043
0,1,156,0,1,1,1,5.0,0.0038,0.0,0.0038,0.0038,0.0038,0.0038,0.0038
0,1,157,0,1,-1,1,1.0,0.0006,,0.0006,0.0006,0.0006,0.0006,0.0006
0,1,157,0,1,1,1,4.0,0.0006,0.0,0.0006,0.0006,0.0006,0.0006,0.0006
0,1,158,0,-1,-1,1,1.0,0.0024,,0.0024,0.0024,0.0024,0.0024,0.0024
0,1,158,0,1,-1,1,3.0,0.0024,0.0,0.0024,0.0024,0.0024,0.0024,0.0024
0,1,158,0,1,1,1,1.0,0.0024,,0.0024,0.0024,0.0024,0.0024,0.0024
0,1,159,0,-1,1,1,3.0,0.0057,0.0,0.0057,0.0057,0.0057,0.0057,0.0057
0,1,159,0,1,1,1,2.0,0.0057,0.0,0.0057,0.0057,0.0057,0.0057,0.0057
0,1,160,0,1,-1,1,3.0,0.0024,0.0,0.0024,0.0024,0.0024,0.0024,0.0024
0,1,160,0,1,1,1,2.0,0.0024,0.0,0.0024,0.0024,0.0024,0.0024,0.0024
0,1,161,0,1,1,1,5.0,0.0044,0.0,0.0044,0.0044,0.0044,0.0044,0.0044
0,1,222,0,-1,-1,1,4.0,0.0017,0.0,0.0017,0.0017,0.0017,0.0017,0.0017
0,1,222,0,1,-1,1,7.0,0.0017,0.0,0.0017,0.0017,0.0017,0.0017,0.0017
0,1,225,0,-1,-1,1,7.0,0.0017999999999999997,2.342144381509676e-19,0.0018,0.0018,0.0018,0.0018,0.0018
0,1,225,0,1,-1,1,4.0,0.0018,0.0,0.0018,0.0018,0.0018,0.0018,0.0018
0,1,226,0,1,-1,-1,5.0,0.0012,0.0,0.0012,0.0012,0.0012,0.0012,0.0012
0,1,226,0,1,-1,1,2.0,0.0012,0.0,0.0012,0.0012,0.0012,0.0012,0.0012
0,1,241,0,-1,1,1,12.0,0.0011,0.0,0.0011,0.0011,0.0011,0.0011,0.0011
0,1,247,0,1,1,1,13.0,0.0011,0.0,0.0011,0.0011,0.0011,0.0011,0.0011
