antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Cu, %_Low'})","frozenset({'N, %_Low'})",0.337635279819434,0.34608484287285146,0.17871404595173332,0.5293109358930408,1.529425361420711,1.0,0.06186359318709328,1.3892720417624853,0.5226118607351673,0.35388494155397665,0.28019857166969214,0.5228494478796307
"frozenset({'N, %_Low'})","frozenset({'Cu, %_Low'})",0.34608484287285146,0.337635279819434,0.17871404595173332,0.5163879598662207,1.529425361420711,1.0,0.06186359318709328,1.3696199953941162,0.5293647885754483,0.35388494155397665,0.2698704725669224,0.5228494478796307
"frozenset({'Cu, %_Low', 'N, %_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.17871404595173332,1.0,0.17871404595173332,1.0,1.0,1.0,0.0,inf,0.0,0.17871404595173332,0.0,0.5893570229758667
"frozenset({'Cu, %_Low', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'N, %_Low'})",0.337635279819434,0.34608484287285146,0.17871404595173332,0.5293109358930408,1.529425361420711,1.0,0.06186359318709328,1.3892720417624853,0.5226118607351673,0.35388494155397665,0.28019857166969214,0.5228494478796307
"frozenset({'N, %_Low', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'Cu, %_Low'})",0.34608484287285146,0.337635279819434,0.17871404595173332,0.5163879598662207,1.529425361420711,1.0,0.06186359318709328,1.3696199953941162,0.5293647885754483,0.35388494155397665,0.2698704725669224,0.5228494478796307
"frozenset({'Cu, %_Low'})","frozenset({'N, %_Low', 'slag_weight_close_grab1, tonn_1.8'})",0.337635279819434,0.34608484287285146,0.17871404595173332,0.5293109358930408,1.529425361420711,1.0,0.06186359318709328,1.3892720417624853,0.5226118607351673,0.35388494155397665,0.28019857166969214,0.5228494478796307
"frozenset({'N, %_Low'})","frozenset({'Cu, %_Low', 'slag_weight_close_grab1, tonn_1.8'})",0.34608484287285146,0.337635279819434,0.17871404595173332,0.5163879598662207,1.529425361420711,1.0,0.06186359318709328,1.3696199953941162,0.5293647885754483,0.35388494155397665,0.2698704725669224,0.5228494478796307
"frozenset({'Cu, %_Low', 'N, %_Low'})",frozenset({'kind_B 789/BC'}),0.17871404595173332,0.9997106314022802,0.17871404595173332,1.0,1.000289452356142,1.0,5.1714232869870536e-05,inf,0.0003523359875977048,0.17876577515340977,1.0,0.5893828875767049
"frozenset({'Cu, %_Low', 'kind_B 789/BC'})","frozenset({'N, %_Low'})",0.337635279819434,0.34608484287285146,0.17871404595173332,0.5293109358930408,1.529425361420711,1.0,0.06186359318709328,1.3892720417624853,0.5226118607351673,0.35388494155397665,0.28019857166969214,0.5228494478796307
"frozenset({'N, %_Low', 'kind_B 789/BC'})","frozenset({'Cu, %_Low'})",0.34608484287285146,0.337635279819434,0.17871404595173332,0.5163879598662207,1.529425361420711,1.0,0.06186359318709328,1.3696199953941162,0.5293647885754483,0.35388494155397665,0.2698704725669224,0.5228494478796307
"frozenset({'Cu, %_Low'})","frozenset({'N, %_Low', 'kind_B 789/BC'})",0.337635279819434,0.34608484287285146,0.17871404595173332,0.5293109358930408,1.529425361420711,1.0,0.06186359318709328,1.3892720417624853,0.5226118607351673,0.35388494155397665,0.28019857166969214,0.5228494478796307
"frozenset({'N, %_Low'})","frozenset({'Cu, %_Low', 'kind_B 789/BC'})",0.34608484287285146,0.337635279819434,0.17871404595173332,0.5163879598662207,1.529425361420711,1.0,0.06186359318709328,1.3696199953941162,0.5293647885754483,0.35388494155397665,0.2698704725669224,0.5228494478796307
