KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.0046,,0.0046,0.0046,0.0046,0.0046,0.0046
0,0,71,0,1,-1,-1,6.0,0.004900000000000001,9.501471788262683e-19,0.0049,0.0049,0.0049,0.0049,0.0049
0,0,153,0,-1,-1,-1,2.0,0.0046,0.0,0.0046,0.0046,0.0046,0.0046,0.0046
0,0,153,0,1,-1,-1,3.0,0.0046,0.0,0.0046,0.0046,0.0046,0.0046,0.0046
0,1,-1,0,-1,-1,-1,4.0,0.007675,0.0016500000000000004,0.0052,0.007675,0.0085,0.0085,0.0085
0,1,-1,0,-1,-1,1,1.0,0.004,,0.004,0.004,0.004,0.004,0.004
0,1,-1,0,-1,1,1,2.0,0.0042,0.0005656854249492379,0.0038,0.004,0.0042,0.0044,0.0046
0,1,-1,0,1,-1,1,13.0,0.005684615384615386,0.0018040907930987264,0.0035,0.004,0.0046,0.0071,0.0079
0,1,-1,0,1,1,1,8.0,0.0052375,0.0015765581861402116,0.0028,0.003975,0.0055,0.0068,0.0068
0,1,0,0,-1,1,-1,2.0,0.0029,0.0,0.0029,0.0029,0.0029,0.0029,0.0029
0,1,0,0,-1,1,1,44.0,0.004631818181818182,0.0006551309925016158,0.0028,0.0044,0.0045,0.0051,0.0059
0,1,0,0,1,-1,1,4.0,0.0042,0.0,0.0042,0.0042,0.0042,0.0042,0.0042
0,1,0,0,1,1,-1,1.0,0.0029,,0.0029,0.0029,0.0029,0.0029,0.0029
0,1,0,0,1,1,1,1500.0,0.004729,0.0009522588222623008,0.0023,0.0041,0.0046,0.0055,0.0078
0,1,1,0,1,1,1,13.0,0.0047076923076923086,0.0008864362530770222,0.0035,0.0038,0.0051,0.0054,0.0059
0,1,151,0,1,-1,1,4.0,0.0054,0.0,0.0054,0.0054,0.0054,0.0054,0.0054
0,1,151,0,1,1,1,1.0,0.0054,,0.0054,0.0054,0.0054,0.0054,0.0054
0,1,152,0,1,-1,1,5.0,0.0035000000000000005,4.84869951806108e-19,0.0035,0.0035,0.0035,0.0035,0.0035
0,1,154,0,-1,1,1,5.0,0.0046,0.0,0.0046,0.0046,0.0046,0.0046,0.0046
0,1,155,0,-1,-1,-1,2.0,0.0052,0.0,0.0052,0.0052,0.0052,0.0052,0.0052
0,1,155,0,-1,-1,1,3.0,0.0052,0.0,0.0052,0.0052,0.0052,0.0052,0.0052
0,1,156,0,1,1,1,5.0,0.0028,0.0,0.0028,0.0028,0.0028,0.0028,0.0028
0,1,157,0,1,-1,1,1.0,0.0036,,0.0036,0.0036,0.0036,0.0036,0.0036
0,1,157,0,1,1,1,4.0,0.0036,0.0,0.0036,0.0036,0.0036,0.0036,0.0036
0,1,158,0,-1,-1,1,1.0,0.0041,,0.0041,0.0041,0.0041,0.0041,0.0041
0,1,158,0,1,-1,1,3.0,0.0041,0.0,0.0041,0.0041,0.0041,0.0041,0.0041
0,1,158,0,1,1,1,1.0,0.0041,,0.0041,0.0041,0.0041,0.0041,0.0041
0,1,159,0,-1,1,1,3.0,0.0038,0.0,0.0038,0.0038,0.0038,0.0038,0.0038
0,1,159,0,1,1,1,2.0,0.0038,0.0,0.0038,0.0038,0.0038,0.0038,0.0038
0,1,160,0,1,-1,1,3.0,0.0036000000000000003,5.311484201212962e-19,0.0036,0.0036,0.0036,0.0036,0.0036
0,1,160,0,1,1,1,2.0,0.0036,0.0,0.0036,0.0036,0.0036,0.0036,0.0036
0,1,161,0,1,1,1,5.0,0.0056,0.0,0.0056,0.0056,0.0056,0.0056,0.0056
0,1,222,0,-1,-1,1,4.0,0.0059,0.0,0.0059,0.0059,0.0059,0.0059,0.0059
0,1,222,0,1,-1,1,7.0,0.005900000000000001,9.368577526038704e-19,0.0059,0.0059,0.0059,0.0059,0.0059
0,1,225,0,-1,-1,1,7.0,0.0034,0.0,0.0034,0.0034,0.0034,0.0034,0.0034
0,1,225,0,1,-1,1,4.0,0.0034,0.0,0.0034,0.0034,0.0034,0.0034,0.0034
0,1,226,0,1,-1,-1,5.0,0.0046,0.0,0.0046,0.0046,0.0046,0.0046,0.0046
0,1,226,0,1,-1,1,2.0,0.0046,0.0,0.0046,0.0046,0.0046,0.0046,0.0046
0,1,241,0,-1,1,1,12.0,0.0046,0.0,0.0046,0.0046,0.0046,0.0046,0.0046
0,1,247,0,1,1,1,13.0,0.003700000000000001,9.02778719604156e-19,0.0037,0.0037,0.0037,0.0037,0.0037
0,1,248,0,1,-1,1,1.0,0.0024,,0.0024,0.0024,0.0024,0.0024,0.0024
0,1,248,0,1,1,-1,1.0,0.0024,,0.0024,0.0024,0.0024,0.0024,0.0024
0,1,248,0,1,1,1,11.0,0.0024,0.0,0.0024,0.0024,0.0024,0.0024,0.0024
0,1,250,0,-1,1,-1,1.0,0.0052,,0.0052,0.0052,0.0052,0.0052,0.0052
0,1,250,0,1,1,-1,12.0,0.005199999999999999,9.059297892880886e-19,0.0052,0.0052,0.0052,0.0052,0.0052
0,1,251,0,1,1,-1,9.0,0.0049,0.0,0.0049,0.0049,0.0049,0.0049,0.0049
0,1,251,0,1,1,1,4.0,0.0049,0.0,0.0049,0.0049,0.0049,0.0049,0.0049
0,1,252,0,-1,1,1,1.0,0.0044,,0.0044,0.0044,0.0044,0.0044,0.0044
0,1,252,0,1,1,1,12.0,0.0044,0.0,0.0044,0.0044,0.0044,0.0044,0.0044
0,1,265,0,-1,1,-1,1.0,0.0057,,0.0057,0.0057,0.0057,0.0057,0.0057
0,1,265,0,1,1,1,12.0,0.005699999999999999,9.059297892880886e-19,0.0057,0.0057,0.0057,0.0057,0.0057
0,1,267,0,1,1,1,42.0,0.004399999999999999,0.000688936968337063,0.0032,0.0041,0.0044,0.0049,0.0054
0,1,268,0,-1,1,-1,7.0,0.0047,0.0,0.0047,0.0047,0.0047,0.0047,0.0047
0,1,269,0,-1,1,-1,2.0,0.0062,0.0,0.0062,0.0062,0.0062,0.0062,0.0062
0,1,269,0,1,1,-1,3.0,0.0062,0.0,0.0062,0.0062,0.0062,0.0062,0.0062
0,1,269,0,1,1,1,2.0,0.0062,0.0,0.0062,0.0062,0.0062,0.0062,0.0062
