antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Cr, %_Low'})","frozenset({'Ni, %_Low'})",0.3336419931709011,0.3370565426239944,0.19711788876671105,0.5908065915004337,1.7528411906826913,1.0,0.08466167207434877,1.6201225230066436,0.6445449084884385,0.4162287669558841,0.38276273195425525,0.5878140100359311
"frozenset({'Ni, %_Low'})","frozenset({'Cr, %_Low'})",0.3370565426239944,0.3336419931709011,0.19711788876671105,0.5848214285714286,1.7528411906826913,1.0,0.08466167207434877,1.6049913282765393,0.647864694573189,0.4162287669558841,0.3769436741606492,0.5878140100359311
"frozenset({'Cu, %_Low', 'Ni, %_Low'})","frozenset({'Cr, %_Low'})",0.23624052317842467,0.3336419931709011,0.15596967417095897,0.6602155805977462,1.9788144001992118,1.0,0.07714991514997291,1.9611199595359636,0.6476474737118391,0.3768176733780761,0.49008728653365097,0.5638458648869044
"frozenset({'Cu, %_Low', 'Cr, %_Low'})","frozenset({'Ni, %_Low'})",0.19596041437583195,0.3370565426239944,0.15596967417095897,0.7959243945658594,2.3613972551001865,1.0,0.08991993441027576,3.248518880861295,0.7170317482129186,0.4136607828089025,0.6921674040771265,0.629332389590622
"frozenset({'Cr, %_Low', 'Ni, %_Low'})","frozenset({'Cu, %_Low'})",0.19711788876671105,0.337635279819434,0.15596967417095897,0.7912507339988256,2.3435072733571665,1.0,0.08941572063979443,3.173015804409294,0.7140390023626733,0.4117647058823529,0.6848424143963048,0.6265989700162109
"frozenset({'Cr, %_Low', 'Ni, %_Low'})","frozenset({'Mo, %_Low'})",0.19711788876671105,0.3599166618438567,0.1590369813067886,0.8068115091015854,2.2416620141126056,1.0,0.0880909687921653,3.313258130334078,0.6898925908357065,0.3995928457176094,0.6981822844273322,0.6243415963259977
"frozenset({'Cr, %_Low', 'Mo, %_Low'})","frozenset({'Ni, %_Low'})",0.1943399502286012,0.3370565426239944,0.1590369813067886,0.8183442525312685,2.4279138632362276,1.0,0.09353342958901711,3.649449393227255,0.7299899923952242,0.4271059993783028,0.7259860619369524,0.645092455935964
"frozenset({'Ni, %_Low', 'Mo, %_Low'})","frozenset({'Cr, %_Low'})",0.24642629781816078,0.3336419931709011,0.1590369813067886,0.6453734147487084,1.9343290951332057,1.0,0.07681882013301135,1.879041319919406,0.6409789605348073,0.37773195876288657,0.46781372532941917,0.5610214862121685
"frozenset({'Cr, %_Low', 'Ni, %_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.19711788876671105,1.0,0.19711788876671105,1.0,1.0,1.0,0.0,inf,0.0,0.19711788876671105,0.0,0.5985589443833556
"frozenset({'Cr, %_Low', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'Ni, %_Low'})",0.3336419931709011,0.3370565426239944,0.19711788876671105,0.5908065915004337,1.7528411906826913,1.0,0.08466167207434877,1.6201225230066436,0.6445449084884385,0.4162287669558841,0.38276273195425525,0.5878140100359311
"frozenset({'Ni, %_Low', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'Cr, %_Low'})",0.3370565426239944,0.3336419931709011,0.19711788876671105,0.5848214285714286,1.7528411906826913,1.0,0.08466167207434877,1.6049913282765393,0.647864694573189,0.4162287669558841,0.3769436741606492,0.5878140100359311
"frozenset({'Cr, %_Low'})","frozenset({'Ni, %_Low', 'slag_weight_close_grab1, tonn_1.8'})",0.3336419931709011,0.3370565426239944,0.19711788876671105,0.5908065915004337,1.7528411906826913,1.0,0.08466167207434877,1.6201225230066436,0.6445449084884385,0.4162287669558841,0.38276273195425525,0.5878140100359311
"frozenset({'Ni, %_Low'})","frozenset({'Cr, %_Low', 'slag_weight_close_grab1, tonn_1.8'})",0.3370565426239944,0.3336419931709011,0.19711788876671105,0.5848214285714286,1.7528411906826913,1.0,0.08466167207434877,1.6049913282765393,0.647864694573189,0.4162287669558841,0.3769436741606492,0.5878140100359311
"frozenset({'Cr, %_Low', 'Ni, %_Low'})",frozenset({'kind_B 789/BC'}),0.19711788876671105,0.9997106314022802,0.19711788876671105,1.0,1.000289452356142,1.0,5.703972705789484e-05,inf,0.0003604123116844976,0.19717494500405236,1.0,0.5985874725020262
"frozenset({'Cr, %_Low', 'kind_B 789/BC'})","frozenset({'Ni, %_Low'})",0.3336419931709011,0.3370565426239944,0.19711788876671105,0.5908065915004337,1.7528411906826913,1.0,0.08466167207434877,1.6201225230066436,0.6445449084884385,0.4162287669558841,0.38276273195425525,0.5878140100359311
"frozenset({'kind_B 789/BC', 'Ni, %_Low'})","frozenset({'Cr, %_Low'})",0.3370565426239944,0.3336419931709011,0.19711788876671105,0.5848214285714286,1.7528411906826913,1.0,0.08466167207434877,1.6049913282765393,0.647864694573189,0.4162287669558841,0.3769436741606492,0.5878140100359311
"frozenset({'Cr, %_Low'})","frozenset({'kind_B 789/BC', 'Ni, %_Low'})",0.3336419931709011,0.3370565426239944,0.19711788876671105,0.5908065915004337,1.7528411906826913,1.0,0.08466167207434877,1.6201225230066436,0.6445449084884385,0.4162287669558841,0.38276273195425525,0.5878140100359311
"frozenset({'Ni, %_Low'})","frozenset({'Cr, %_Low', 'kind_B 789/BC'})",0.3370565426239944,0.3336419931709011,0.19711788876671105,0.5848214285714286,1.7528411906826913,1.0,0.08466167207434877,1.6049913282765393,0.647864694573189,0.4162287669558841,0.3769436741606492,0.5878140100359311
"frozenset({'Cr, %_Low', 'metal_residue_grab1, tonn_0.4'})","frozenset({'Ni, %_Low'})",0.3336419931709011,0.3370565426239944,0.19711788876671105,0.5908065915004337,1.7528411906826913,1.0,0.08466167207434877,1.6201225230066436,0.6445449084884385,0.4162287669558841,0.38276273195425525,0.5878140100359311
"frozenset({'Cr, %_Low', 'Ni, %_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.19711788876671105,0.9993633890850165,0.19711788876671105,1.0,1.0006370164466063,1.0,0.00012548739952739085,inf,0.000792907085706035,0.1972434561037758,1.0,0.5986217280518878
"frozenset({'metal_residue_grab1, tonn_0.4', 'Ni, %_Low'})","frozenset({'Cr, %_Low'})",0.3370565426239944,0.3336419931709011,0.19711788876671105,0.5848214285714286,1.7528411906826913,1.0,0.08466167207434877,1.6049913282765393,0.647864694573189,0.4162287669558841,0.3769436741606492,0.5878140100359311
"frozenset({'Cr, %_Low'})","frozenset({'metal_residue_grab1, tonn_0.4', 'Ni, %_Low'})",0.3336419931709011,0.3370565426239944,0.19711788876671105,0.5908065915004337,1.7528411906826913,1.0,0.08466167207434877,1.6201225230066436,0.6445449084884385,0.4162287669558841,0.38276273195425525,0.5878140100359311
"frozenset({'Ni, %_Low'})","frozenset({'Cr, %_Low', 'metal_residue_grab1, tonn_0.4'})",0.3370565426239944,0.3336419931709011,0.19711788876671105,0.5848214285714286,1.7528411906826913,1.0,0.08466167207434877,1.6049913282765393,0.647864694573189,0.4162287669558841,0.3769436741606492,0.5878140100359311
"frozenset({'alloy_speed, meter/minute_2.0', 'Ni, %_Low'})","frozenset({'Cr, %_Low'})",0.28300248856994037,0.3336419931709011,0.1663869436888709,0.5879345603271984,1.7621719458618665,1.0,0.07196542933007083,1.6171169495753317,0.6032356894440019,0.3695372750642674,0.3816155348179313,0.5433168031471205
"frozenset({'alloy_speed, meter/minute_2.0', 'Cr, %_Low'})","frozenset({'Ni, %_Low'})",0.2746107992360669,0.3370565426239944,0.1663869436888709,0.6059009483667018,1.7976240533702337,1.0,0.07382757713115033,1.6821747086893832,0.6116856411430476,0.37366779308552117,0.4055314261744427,0.5497739631943399
"frozenset({'Cr, %_Low', 'Ni, %_Low'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.19711788876671105,0.8727935644423868,0.1663869436888709,0.8440986494421608,0.9671229072151115,1.0,-0.005656281063184748,0.8159418446501517,-0.04062095987947751,0.1841532154752754,-0.22557754153271328,0.5173679375451637
"frozenset({'Cr, %_Low', 'alloy_type_open'})","frozenset({'Ni, %_Low'})",0.32519243011748367,0.3370565426239944,0.1916198854100353,0.589250756362342,1.7482252436787273,1.0,0.08201164922714134,1.6139858262546687,0.6342420374312353,0.4071569109690113,0.3804158724735843,0.5788801858734787
"frozenset({'Cr, %_Low', 'Ni, %_Low'})",frozenset({'alloy_type_open'}),0.19711788876671105,0.989698477921176,0.1916198854100353,0.9721080446271285,0.982226472318119,1.0,-0.0034673890734143176,0.3693366757944663,-0.022040978744586496,0.19254477785531518,-1.7075567240890377,0.5828612265706252
"frozenset({'Ni, %_Low', 'alloy_type_open'})","frozenset({'Cr, %_Low'})",0.3315585392673187,0.3336419931709011,0.1916198854100353,0.5779368127072787,1.732206450436959,1.0,0.08099803351605461,1.5788110095632368,0.6323689237370904,0.40461933276304535,0.36661196688979236,0.5761323265617919
"frozenset({'Cr, %_Low'})","frozenset({'Ni, %_Low', 'alloy_type_open'})",0.3336419931709011,0.3315585392673187,0.1916198854100353,0.5743278404163052,1.732206450436959,1.0,0.08099803351605461,1.5703198945085197,0.6343461064064091,0.40461933276304535,0.36318707831630637,0.5761323265617919
"frozenset({'Ni, %_Low'})","frozenset({'Cr, %_Low', 'alloy_type_open'})",0.3370565426239944,0.32519243011748367,0.1916198854100353,0.5685096153846154,1.7482252436787273,1.0,0.08201164922714134,1.563899437722155,0.6455925060190486,0.4071569109690113,0.3605726967607864,0.5788801858734787
"frozenset({'residuals_grab2, tonn_4.0', 'Cr, %_Low'})","frozenset({'Ni, %_Low'})",0.32362983968979686,0.3370565426239944,0.189420684067365,0.5853004291845494,1.73650517099585,1.0,0.08033912921156451,1.598611390102037,0.6270689259110043,0.40194031683654674,0.37445710308859265,0.5736426596472197
"frozenset({'residuals_grab2, tonn_4.0', 'Ni, %_Low'})","frozenset({'Cr, %_Low'})",0.32762312633832974,0.3336419931709011,0.189420684067365,0.5781664016958135,1.7328945802084927,1.0,0.08011185118696273,1.5796703001086803,0.6290086229544567,0.4014473200049062,0.36695650989247536,0.5729513708392338
"frozenset({'Cr, %_Low', 'Ni, %_Low'})","frozenset({'residuals_grab2, tonn_4.0'})",0.19711788876671105,0.9745355634006597,0.189420684067365,0.96095126247798,0.9860607437708306,1.0,-0.002677708718250321,0.6521193312582928,-0.01730230986606102,0.19284704218713175,-0.5334616719158687,0.5776607372429095
"frozenset({'Cr, %_Low'})","frozenset({'residuals_grab2, tonn_4.0', 'Ni, %_Low'})",0.3336419931709011,0.32762312633832974,0.189420684067365,0.5677363399826539,1.732894580208493,1.0,0.08011185118696273,1.555478602190822,0.6346901321421641,0.4014473200049062,0.35711105341369237,0.5729513708392338
"frozenset({'Ni, %_Low'})","frozenset({'residuals_grab2, tonn_4.0', 'Cr, %_Low'})",0.3370565426239944,0.32362983968979686,0.189420684067365,0.5619848901098902,1.73650517099585,1.0,0.08033912921156451,1.544170840316199,0.6397690560560373,0.40194031683654674,0.35240326141942263,0.5736426596472197
"frozenset({'Cr, %_Low', 'Ni, %_Low'})",frozenset({'workpiece_slice_geometry_180x180'}),0.19711788876671105,0.8681057931593263,0.1640719949071127,0.8323546682325308,0.9588170874926599,1.0,-0.00704718626660486,0.7867454789830725,-0.05078040999672002,0.18206923126324578,-0.2710590994340063,0.5106773341162654
"frozenset({'Cr, %_Low', 'workpiece_slice_geometry_180x180'})","frozenset({'Ni, %_Low'})",0.27038601770935816,0.3370565426239944,0.1640719949071127,0.6068065068493151,1.800310719754347,1.0,0.0729366186041263,1.6860489019383227,0.6092815376916804,0.37005612844276203,0.40689739256650514,0.5467926765015807
"frozenset({'workpiece_slice_geometry_180x180', 'Ni, %_Low'})","frozenset({'Cr, %_Low'})",0.2799351814341108,0.3336419931709011,0.1640719949071127,0.5861070911722142,1.7566946102974308,1.0,0.07067386301477814,1.609976862653522,0.5982087751363859,0.3650057937427579,0.3788730613483315,0.538933857815075
"frozenset({'Ni, %_High'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.32843335841194515,0.9993633890850165,0.32843335841194515,1.0,1.0006370164466063,1.0,0.0002090842608097332,inf,0.0009479489831092683,0.32864257586286777,1.0,0.6643212879314339
"frozenset({'Ni, %_High'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.32843335841194515,1.0,0.32843335841194515,1.0,1.0,1.0,0.0,inf,0.0,0.32843335841194515,0.0,0.6642166792059726
"frozenset({'Ni, %_High'})",frozenset({'kind_B 789/BC'}),0.32843335841194515,0.9997106314022802,0.3281439898142254,0.9991189427312775,0.9994081400633174,1.0,-0.00019433029735171914,0.3284333584119499,-0.0008810572687224881,0.3281439898142254,-2.0447577092510567,0.6636789572982542
"frozenset({'Ni, %_High'})",frozenset({'alloy_type_open'}),0.32843335841194515,0.989698477921176,0.32617628334973087,0.9931277533039646,1.0034649698461613,1.0,0.001126288430888689,1.4990035332647407,0.005141716507535366,0.32882147024504077,0.33289016482699046,0.6613495616996403
"frozenset({'Ni, %_High'})","frozenset({'residuals_grab2, tonn_4.0'})",0.32843335841194515,0.9745355634006597,0.32119914346895073,0.9779735682819383,1.003527839322027,1.0,0.0011291554893949618,1.1560854216100456,0.005234681423926428,0.32716340485734496,0.13501201441729974,0.6537827934051772
"frozenset({'Ni, %_High'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.32843335841194515,0.7953006539730308,0.28554893222987443,0.8694273127753304,1.0932058315707271,1.0,0.024345667498295642,1.5677041682902155,0.12695564910804014,0.3406752744597114,0.36212455115774195,0.6142362877368138
"frozenset({'Ni, %_High'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.32843335841194515,0.8727935644423868,0.3106661265119509,0.9459030837004404,1.0837649614256288,1.0,0.024011604941805376,2.3514544683695555,0.11509015404524153,0.34884325448401343,0.5747312935668377,0.650923824855326
"frozenset({'Ni, %_High'})",frozenset({'workpiece_slice_geometry_180x180'}),0.32843335841194515,0.8681057931593263,0.3088720412060883,0.9404405286343611,1.0833247929515417,1.0,0.023757140101905327,2.214495928463969,0.11453189466368015,0.34795931672969094,0.5484299667718849,0.6481202643171806
"frozenset({'Ni, %_High'})",frozenset({'steel_type_Arm500'}),0.32843335841194515,0.7896869031772672,0.2852016899126107,0.8683700440528634,1.0996384016994818,1.0,0.025842168208172256,1.5977601398514174,0.13492354363363276,0.3424124513618677,0.374123828065335,0.6147639886808839
"frozenset({'Ni, %_High'})","frozenset({'Nb, %_Low'})",0.32843335841194515,0.5151339776607442,0.19075177961687598,0.5807929515418502,1.1274599943480093,1.0,0.02156459730165383,1.156626598056022,0.1683385719437222,0.29219858156028367,0.13541673546092503,0.4755442119803398
"frozenset({'Ni, %_High'})","frozenset({'Mo, %_High'})",0.32843335841194515,0.33126917066959893,0.20574107297876035,0.626431718061674,1.8910051810600392,1.0,0.09694122671740413,1.790116724740578,0.7016142403972441,0.45321264660887295,0.44137720955323795,0.6237504502258056
"frozenset({'Mo, %_High'})","frozenset({'Ni, %_High'})",0.33126917066959893,0.32843335841194515,0.20574107297876035,0.6210691823899371,1.8910051810600392,1.0,0.09694122671740413,1.7722671537344519,0.7045894976693743,0.45321264660887295,0.43575098263665324,0.6237504502258056
"frozenset({'Ni, %_High'})","frozenset({'Cr, %_High'})",0.32843335841194515,0.3322530239018462,0.16731292320157418,0.5094273127753304,1.5332510951828833,1.0,0.058189946718966545,1.3611580780736432,0.5178802595653094,0.33912023460410556,0.26533147317082106,0.506499059627519
"frozenset({'Cr, %_High'})","frozenset({'Ni, %_High'})",0.3322530239018462,0.32843335841194515,0.16731292320157418,0.5035708064797074,1.5332510951828835,1.0,0.058189946718966545,1.3527944173182538,0.520842653145766,0.33912023460410556,0.2607893799692231,0.506499059627519
"frozenset({'Ni, %_High'})","frozenset({'crystallizer_movement, mm_Low'})",0.32843335841194515,0.6223161062561491,0.19775449968169453,0.6021145374449338,0.9675380909988851,1.0,-0.006634869089857415,0.9492276780320431,-0.047582184772217484,0.26262393359465064,-0.05348803363300468,0.45994316103158994
"frozenset({'metal_residue_grab1, tonn_0.4', 'Ni, %_High'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.32843335841194515,1.0,0.32843335841194515,1.0,1.0,1.0,0.0,inf,0.0,0.32843335841194515,0.0,0.6642166792059726
"frozenset({'Ni, %_High', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.32843335841194515,0.9993633890850165,0.32843335841194515,1.0,1.0006370164466063,1.0,0.0002090842608097332,inf,0.0009479489831092683,0.32864257586286777,1.0,0.6643212879314339
