KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.0139,,0.0139,0.0139,0.0139,0.0139,0.0139
0,0,71,0,1,-1,-1,6.0,0.014800000000000002,1.9002943576525366e-18,0.0148,0.0148,0.0148,0.0148,0.0148
0,0,153,0,-1,-1,-1,2.0,0.0139,0.0,0.0139,0.0139,0.0139,0.0139,0.0139
0,0,153,0,1,-1,-1,3.0,0.013900000000000001,2.1245936804851847e-18,0.0139,0.0139,0.0139,0.0139,0.0139
0,1,-1,0,-1,-1,-1,4.0,0.01975,0.0002999999999999999,0.0196,0.0196,0.0196,0.01975,0.0202
0,1,-1,0,-1,-1,1,1.0,0.0157,,0.0157,0.0157,0.0157,0.0157,0.0157
0,1,-1,0,-1,1,1,2.0,0.03025,0.010677312395916867,0.0227,0.026475000000000002,0.03025,0.034025,0.0378
0,1,-1,0,1,-1,1,13.0,0.017146153846153846,0.0017309031287237433,0.0146,0.016,0.0173,0.0174,0.0198
0,1,-1,0,1,1,1,8.0,0.0169,0.005411891668222067,0.0058,0.0163,0.017,0.018625,0.0255
0,1,0,0,-1,1,-1,2.0,0.006,0.0,0.006,0.006,0.006,0.006,0.006
0,1,0,0,-1,1,1,44.0,0.011945454545454547,0.0051258330937382825,0.0042,0.006225,0.0134,0.01515,0.0201
0,1,0,0,1,-1,1,4.0,0.0155,0.0,0.0155,0.0155,0.0155,0.0155,0.0155
0,1,0,0,1,1,-1,1.0,0.006,,0.006,0.006,0.006,0.006,0.006
0,1,0,0,1,1,1,1500.0,0.014889866666666668,0.004159094776726872,0.0042,0.0137,0.0158,0.017,0.0279
0,1,1,0,1,1,1,13.0,0.016838461538461538,0.0013143683283479185,0.0146,0.0158,0.0171,0.018,0.0182
0,1,151,0,1,-1,1,4.0,0.0177,0.0,0.0177,0.0177,0.0177,0.0177,0.0177
0,1,151,0,1,1,1,1.0,0.0177,,0.0177,0.0177,0.0177,0.0177,0.0177
0,1,152,0,1,-1,1,5.0,0.014599999999999998,1.939479807224432e-18,0.0146,0.0146,0.0146,0.0146,0.0146
0,1,154,0,-1,1,1,5.0,0.0378,0.0,0.0378,0.0378,0.0378,0.0378,0.0378
0,1,155,0,-1,-1,-1,2.0,0.0202,0.0,0.0202,0.0202,0.0202,0.0202,0.0202
0,1,155,0,-1,-1,1,3.0,0.0202,0.0,0.0202,0.0202,0.0202,0.0202,0.0202
0,1,156,0,1,1,1,5.0,0.0187,0.0,0.0187,0.0187,0.0187,0.0187,0.0187
0,1,157,0,1,-1,1,1.0,0.0058,,0.0058,0.0058,0.0058,0.0058,0.0058
0,1,157,0,1,1,1,4.0,0.0058,0.0,0.0058,0.0058,0.0058,0.0058,0.0058
0,1,158,0,-1,-1,1,1.0,0.0255,,0.0255,0.0255,0.0255,0.0255,0.0255
0,1,158,0,1,-1,1,3.0,0.0255,0.0,0.0255,0.0255,0.0255,0.0255,0.0255
0,1,158,0,1,1,1,1.0,0.0255,,0.0255,0.0255,0.0255,0.0255,0.0255
0,1,159,0,-1,1,1,3.0,0.0227,0.0,0.0227,0.0227,0.0227,0.0227,0.0227
0,1,159,0,1,1,1,2.0,0.0227,0.0,0.0227,0.0227,0.0227,0.0227,0.0227
0,1,160,0,1,-1,1,3.0,0.0173,0.0,0.0173,0.0173,0.0173,0.0173,0.0173
0,1,160,0,1,1,1,2.0,0.0173,0.0,0.0173,0.0173,0.0173,0.0173,0.0173
0,1,161,0,1,1,1,5.0,0.0186,0.0,0.0186,0.0186,0.0186,0.0186,0.0186
0,1,222,0,-1,-1,1,4.0,0.0155,0.0,0.0155,0.0155,0.0155,0.0155,0.0155
0,1,222,0,1,-1,1,7.0,0.0155,0.0,0.0155,0.0155,0.0155,0.0155,0.0155
0,1,225,0,-1,-1,1,7.0,0.0165,0.0,0.0165,0.0165,0.0165,0.0165,0.0165
0,1,225,0,1,-1,1,4.0,0.0165,0.0,0.0165,0.0165,0.0165,0.0165,0.0165
0,1,226,0,1,-1,-1,5.0,0.013599999999999998,1.939479807224432e-18,0.0136,0.0136,0.0136,0.0136,0.0136
0,1,226,0,1,-1,1,2.0,0.0136,0.0,0.0136,0.0136,0.0136,0.0136,0.0136
0,1,241,0,-1,1,1,12.0,0.0129,0.0,0.0129,0.0129,0.0129,0.0129,0.0129
0,1,247,0,1,1,1,13.0,0.012500000000000002,1.805557439208312e-18,0.0125,0.0125,0.0125,0.0125,0.0125
0,1,248,0,1,-1,1,1.0,0.006,,0.006,0.006,0.006,0.006,0.006
0,1,248,0,1,1,-1,1.0,0.006,,0.006,0.006,0.006,0.006,0.006
0,1,248,0,1,1,1,11.0,0.006,0.0,0.006,0.006,0.006,0.006,0.006
0,1,250,0,-1,1,-1,1.0,0.017,,0.017,0.017,0.017,0.017,0.017
0,1,250,0,1,1,-1,12.0,0.017000000000000005,3.6237191571523546e-18,0.017,0.017,0.017,0.017,0.017
0,1,251,0,1,1,-1,9.0,0.0149,0.0,0.0149,0.0149,0.0149,0.0149,0.0149
0,1,251,0,1,1,1,4.0,0.0149,0.0,0.0149,0.0149,0.0149,0.0149,0.0149
0,1,252,0,-1,1,1,1.0,0.0195,,0.0195,0.0195,0.0195,0.0195,0.0195
0,1,252,0,1,1,1,12.0,0.019499999999999997,3.6237191571523546e-18,0.0195,0.0195,0.0195,0.0195,0.0195
0,1,265,0,-1,1,-1,1.0,0.0143,,0.0143,0.0143,0.0143,0.0143,0.0143
0,1,265,0,1,1,1,12.0,0.014300000000000002,1.8118595785761773e-18,0.0143,0.0143,0.0143,0.0143,0.0143
0,1,267,0,1,1,1,42.0,0.021450000000000004,0.0019553865565063743,0.0196,0.0198,0.020749999999999998,0.0228,0.025
0,1,268,0,-1,1,-1,7.0,0.0489,0.0,0.0489,0.0489,0.0489,0.0489,0.0489
0,1,269,0,-1,1,-1,2.0,0.0333,0.0,0.0333,0.0333,0.0333,0.0333,0.0333
0,1,269,0,1,1,-1,3.0,0.0333,0.0,0.0333,0.0333,0.0333,0.0333,0.0333
0,1,269,0,1,1,1,2.0,0.0333,0.0,0.0333,0.0333,0.0333,0.0333,0.0333
0,1,270,0,-1,1,-1,3.0,0.0047,0.0,0.0047,0.0047,0.0047,0.0047,0.0047
0,1,270,0,1,1,-1,2.0,0.0047,0.0,0.0047,0.0047,0.0047,0.0047,0.0047
0,1,270,0,1,1,1,2.0,0.0047,0.0,0.0047,0.0047,0.0047,0.0047,0.0047
0,1,271,0,-1,1,-1,6.0,0.0367,0.0,0.0367,0.0367,0.0367,0.0367,0.0367
0,1,271,0,1,1,-1,1.0,0.0367,,0.0367,0.0367,0.0367,0.0367,0.0367
0,1,272,0,1,1,1,7.0,0.0141,0.0,0.0141,0.0141,0.0141,0.0141,0.0141
0,1,273,0,-1,1,1,1.0,0.0324,,0.0324,0.0324,0.0324,0.0324,0.0324
0,1,273,0,1,1,1,6.0,0.03239999999999999,7.601177430610146e-18,0.0324,0.0324,0.0324,0.0324,0.0324
0,1,274,0,-1,1,-1,6.0,0.0168,0.0,0.0168,0.0168,0.0168,0.0168,0.0168
0,1,274,0,-1,1,1,7.0,0.0168,0.0,0.0168,0.0168,0.0168,0.0168,0.0168
0,1,276,0,-1,1,1,13.0,0.028100000000000007,7.222229756833248e-18,0.0281,0.0281,0.0281,0.0281,0.0281
0,1,310,0,1,1,1,13.0,0.0176,0.0,0.0176,0.0176,0.0176,0.0176,0.0176
0,1,311,0,1,1,1,13.0,0.014800000000000004,3.611114878416624e-18,0.0148,0.0148,0.0148,0.0148,0.0148
0,1,312,0,-1,-1,-1,2.0,0.0178,0.0,0.0178,0.0178,0.0178,0.0178,0.0178
0,1,312,0,-1,-1,1,11.0,0.017800000000000003,3.6387866614659135e-18,0.0178,0.0178,0.0178,0.0178,0.0178
0,1,313,0,-1,1,-1,12.0,0.0164,0.0,0.0164,0.0164,0.0164,0.0164,0.0164
0,1,313,0,-1,1,1,1.0,0.0164,,0.0164,0.0164,0.0164,0.0164,0.0164
0,1,314,0,1,1,-1,9.0,0.0070999999999999995,9.199760500100244e-19,0.0071,0.0071,0.0071,0.0071,0.0071
0,1,314,0,1,1,1,4.0,0.0071,0.0,0.0071,0.0071,0.0071,0.0071,0.0071
0,1,315,0,1,1,1,10.0,0.0162,0.0,0.0162,0.0162,0.0162,0.0162,0.0162
0,1,316,0,1,1,1,10.0,0.0186,0.0,0.0186,0.0186,0.0186,0.0186,0.0186
0,1,348,0,1,1,1,72.0,0.017304166666666666,0.00261396237459047,0.0121,0.016,0.0176,0.019674999999999998,0.0207
0,1,349,0,1,-1,1,9.0,0.0197,0.0,0.0197,0.0197,0.0197,0.0197,0.0197
0,1,353,0,1,-1,1,5.0,0.006,0.0,0.006,0.006,0.006,0.006,0.006
0,1,353,0,1,1,1,4.0,0.006,0.0,0.006,0.006,0.006,0.006,0.006
0,1,355,0,1,-1,1,5.0,0.013300000000000001,1.939479807224432e-18,0.0133,0.0133,0.0133,0.0133,0.0133
0,1,355,0,1,1,1,4.0,0.0133,0.0,0.0133,0.0133,0.0133,0.0133,0.0133
0,1,526,0,1,-1,-1,7.0,0.020999999999999998,3.7474310104154816e-18,0.021,0.021,0.021,0.021,0.021
0,1,556,0,-1,1,1,7.0,0.018199999999999997,0.00034156502553198625,0.0177,0.01805,0.0184,0.0184,0.0184
0,1,556,0,1,1,1,5.0,0.01784,0.00031304951684997024,0.0177,0.0177,0.0177,0.0177,0.0184
0,1,557,0,-1,1,-1,6.0,0.0175,0.0,0.0175,0.0175,0.0175,0.0175,0.0175
0,1,558,0,-1,1,-1,5.0,0.0124,0.0,0.0124,0.0124,0.0124,0.0124,0.0124
0,1,558,0,1,1,-1,1.0,0.0124,,0.0124,0.0124,0.0124,0.0124,0.0124
0,1,559,0,-1,1,1,1.0,0.0216,,0.0216,0.0216,0.0216,0.0216,0.0216
