KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.0183,,0.0183,0.0183,0.0183,0.0183,0.0183
0,0,71,0,1,-1,-1,6.0,0.0105,0.0,0.0105,0.0105,0.0105,0.0105,0.0105
0,0,153,0,-1,-1,-1,2.0,0.0183,0.0,0.0183,0.0183,0.0183,0.0183,0.0183
0,0,153,0,1,-1,-1,3.0,0.0183,0.0,0.0183,0.0183,0.0183,0.0183,0.0183
0,1,-1,0,-1,-1,-1,4.0,0.014074999999999999,0.0009500000000000003,0.0136,0.0136,0.0136,0.014074999999999999,0.0155
0,1,-1,0,-1,-1,1,1.0,0.0233,,0.0233,0.0233,0.0233,0.0233,0.0233
0,1,-1,0,-1,1,1,2.0,0.01325,0.00417193000900063,0.0103,0.011775,0.01325,0.014724999999999999,0.0162
0,1,-1,0,1,-1,1,13.0,0.01576153846153846,0.008657033601022395,0.0059,0.0079,0.0222,0.0225,0.0272
0,1,-1,0,1,1,1,8.0,0.0116125,0.0023098778570058015,0.008,0.011325,0.0124,0.012525000000000001,0.0145
0,1,0,0,-1,1,-1,2.0,0.0098,0.0,0.0098,0.0098,0.0098,0.0098,0.0098
0,1,0,0,-1,1,1,44.0,0.01418863636363636,0.0037380019478817647,0.0089,0.0107,0.013049999999999999,0.01585,0.0205
0,1,0,0,1,-1,1,4.0,0.0144,0.0,0.0144,0.0144,0.0144,0.0144,0.0144
0,1,0,0,1,1,-1,1.0,0.0098,,0.0098,0.0098,0.0098,0.0098,0.0098
0,1,0,0,1,1,1,1500.0,0.013564066666666666,0.0030299960472338996,0.0082,0.0114,0.0133,0.015,0.0228
0,1,1,0,1,1,1,13.0,0.011699999999999997,0.0030495901363953807,0.0088,0.0102,0.0106,0.0133,0.0191
0,1,151,0,1,-1,1,4.0,0.0125,0.0,0.0125,0.0125,0.0125,0.0125,0.0125
0,1,151,0,1,1,1,1.0,0.0125,,0.0125,0.0125,0.0125,0.0125,0.0125
0,1,152,0,1,-1,1,5.0,0.027199999999999995,3.878959614448864e-18,0.0272,0.0272,0.0272,0.0272,0.0272
0,1,154,0,-1,1,1,5.0,0.0103,0.0,0.0103,0.0103,0.0103,0.0103,0.0103
0,1,155,0,-1,-1,-1,2.0,0.0155,0.0,0.0155,0.0155,0.0155,0.0155,0.0155
0,1,155,0,-1,-1,1,3.0,0.0155,0.0,0.0155,0.0155,0.0155,0.0155,0.0155
0,1,156,0,1,1,1,5.0,0.014500000000000002,1.939479807224432e-18,0.0145,0.0145,0.0145,0.0145,0.0145
0,1,157,0,1,-1,1,1.0,0.008,,0.008,0.008,0.008,0.008,0.008
0,1,157,0,1,1,1,4.0,0.008,0.0,0.008,0.008,0.008,0.008,0.008
0,1,158,0,-1,-1,1,1.0,0.0081,,0.0081,0.0081,0.0081,0.0081,0.0081
0,1,158,0,1,-1,1,3.0,0.0081,0.0,0.0081,0.0081,0.0081,0.0081,0.0081
0,1,158,0,1,1,1,1.0,0.0081,,0.0081,0.0081,0.0081,0.0081,0.0081
0,1,159,0,-1,1,1,3.0,0.0162,0.0,0.0162,0.0162,0.0162,0.0162,0.0162
0,1,159,0,1,1,1,2.0,0.0162,0.0,0.0162,0.0162,0.0162,0.0162,0.0162
0,1,160,0,1,-1,1,3.0,0.0222,0.0,0.0222,0.0222,0.0222,0.0222,0.0222
0,1,160,0,1,1,1,2.0,0.0222,0.0,0.0222,0.0222,0.0222,0.0222,0.0222
0,1,161,0,1,1,1,5.0,0.0126,0.0,0.0126,0.0126,0.0126,0.0126,0.0126
0,1,222,0,-1,-1,1,4.0,0.0177,0.0,0.0177,0.0177,0.0177,0.0177,0.0177
0,1,222,0,1,-1,1,7.0,0.017699999999999997,3.7474310104154816e-18,0.0177,0.0177,0.0177,0.0177,0.0177
0,1,225,0,-1,-1,1,7.0,0.0101,0.0,0.0101,0.0101,0.0101,0.0101,0.0101
0,1,225,0,1,-1,1,4.0,0.0101,0.0,0.0101,0.0101,0.0101,0.0101,0.0101
0,1,226,0,1,-1,-1,5.0,0.0108,0.0,0.0108,0.0108,0.0108,0.0108,0.0108
0,1,226,0,1,-1,1,2.0,0.0108,0.0,0.0108,0.0108,0.0108,0.0108,0.0108
0,1,241,0,-1,1,1,12.0,0.0129,0.0,0.0129,0.0129,0.0129,0.0129,0.0129
0,1,247,0,1,1,1,13.0,0.012500000000000002,1.805557439208312e-18,0.0125,0.0125,0.0125,0.0125,0.0125
0,1,248,0,1,-1,1,1.0,0.0091,,0.0091,0.0091,0.0091,0.0091,0.0091
0,1,248,0,1,1,-1,1.0,0.0091,,0.0091,0.0091,0.0091,0.0091,0.0091
0,1,248,0,1,1,1,11.0,0.009099999999999999,1.8193933307329568e-18,0.0091,0.0091,0.0091,0.0091,0.0091
0,1,250,0,-1,1,-1,1.0,0.0109,,0.0109,0.0109,0.0109,0.0109,0.0109
0,1,250,0,1,1,-1,12.0,0.010899999999999998,1.8118595785761773e-18,0.0109,0.0109,0.0109,0.0109,0.0109
0,1,251,0,1,1,-1,9.0,0.0112,0.0,0.0112,0.0112,0.0112,0.0112,0.0112
0,1,251,0,1,1,1,4.0,0.0112,0.0,0.0112,0.0112,0.0112,0.0112,0.0112
0,1,252,0,-1,1,1,1.0,0.0156,,0.0156,0.0156,0.0156,0.0156,0.0156
0,1,252,0,1,1,1,12.0,0.015600000000000001,1.8118595785761773e-18,0.0156,0.0156,0.0156,0.0156,0.0156
0,1,265,0,-1,1,-1,1.0,0.0261,,0.0261,0.0261,0.0261,0.0261,0.0261
0,1,265,0,1,1,1,12.0,0.0261,0.0,0.0261,0.0261,0.0261,0.0261,0.0261
0,1,267,0,1,1,1,42.0,0.013466666666666668,0.003216926776626857,0.0077,0.0124,0.013600000000000001,0.0157,0.0178
0,1,268,0,-1,1,-1,7.0,0.0121,0.0,0.0121,0.0121,0.0121,0.0121,0.0121
0,1,269,0,-1,1,-1,2.0,0.0153,0.0,0.0153,0.0153,0.0153,0.0153,0.0153
0,1,269,0,1,1,-1,3.0,0.0153,0.0,0.0153,0.0153,0.0153,0.0153,0.0153
0,1,269,0,1,1,1,2.0,0.0153,0.0,0.0153,0.0153,0.0153,0.0153,0.0153
0,1,270,0,-1,1,-1,3.0,0.0055000000000000005,1.0622968402425924e-18,0.0055,0.0055,0.0055,0.0055,0.0055
0,1,270,0,1,1,-1,2.0,0.0055,0.0,0.0055,0.0055,0.0055,0.0055,0.0055
0,1,270,0,1,1,1,2.0,0.0055,0.0,0.0055,0.0055,0.0055,0.0055,0.0055
0,1,271,0,-1,1,-1,6.0,0.0136,0.0,0.0136,0.0136,0.0136,0.0136,0.0136
0,1,271,0,1,1,-1,1.0,0.0136,,0.0136,0.0136,0.0136,0.0136,0.0136
0,1,272,0,1,1,1,7.0,0.016,0.0,0.016,0.016,0.016,0.016,0.016
0,1,273,0,-1,1,1,1.0,0.0164,,0.0164,0.0164,0.0164,0.0164,0.0164
0,1,273,0,1,1,1,6.0,0.0164,0.0,0.0164,0.0164,0.0164,0.0164,0.0164
0,1,274,0,-1,1,-1,6.0,0.0233,0.0,0.0233,0.0233,0.0233,0.0233,0.0233
0,1,274,0,-1,1,1,7.0,0.023300000000000005,3.7474310104154816e-18,0.0233,0.0233,0.0233,0.0233,0.0233
