antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'S, %_Low'})","frozenset({'Cu, %_Low'})",0.3400659760402801,0.337635279819434,0.1704959777764917,0.501361470388019,1.4849202685695202,1.0,0.055677706799062796,1.3283464490720156,0.4948421465057939,0.33614787768142407,0.24718434659978866,0.5031661654305539
"frozenset({'Cu, %_Low'})","frozenset({'S, %_Low'})",0.337635279819434,0.3400659760402801,0.1704959777764917,0.5049708604730888,1.4849202685695204,1.0,0.055677706799062796,1.3331215705612902,0.49302621202320385,0.33614787768142407,0.24988086451938102,0.5031661654305539
"frozenset({'S, %_Low', 'Cu, %_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.1704959777764917,1.0,0.1704959777764917,1.0,1.0,1.0,0.0,inf,0.0,0.17049597777649173,0.0,0.5852479888882458
"frozenset({'S, %_Low', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'Cu, %_Low'})",0.3400659760402801,0.337635279819434,0.1704959777764917,0.501361470388019,1.4849202685695202,1.0,0.055677706799062796,1.3283464490720156,0.4948421465057939,0.33614787768142407,0.24718434659978866,0.5031661654305539
"frozenset({'Cu, %_Low', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'S, %_Low'})",0.337635279819434,0.3400659760402801,0.1704959777764917,0.5049708604730888,1.4849202685695204,1.0,0.055677706799062796,1.3331215705612902,0.49302621202320385,0.33614787768142407,0.24988086451938102,0.5031661654305539
"frozenset({'S, %_Low'})","frozenset({'Cu, %_Low', 'slag_weight_close_grab1, tonn_1.8'})",0.3400659760402801,0.337635279819434,0.1704959777764917,0.501361470388019,1.4849202685695202,1.0,0.055677706799062796,1.3283464490720156,0.4948421465057939,0.33614787768142407,0.24718434659978866,0.5031661654305539
"frozenset({'Cu, %_Low'})","frozenset({'S, %_Low', 'slag_weight_close_grab1, tonn_1.8'})",0.337635279819434,0.3400659760402801,0.1704959777764917,0.5049708604730888,1.4849202685695204,1.0,0.055677706799062796,1.3331215705612902,0.49302621202320385,0.33614787768142407,0.24988086451938102,0.5031661654305539
"frozenset({'S, %_Low', 'Cu, %_Low'})",frozenset({'kind_B 789/BC'}),0.1704959777764917,0.9997106314022802,0.1704959777764917,1.0,1.000289452356142,1.0,4.933618200603229e-05,inf,0.0003488453219841395,0.17054532823897187,1.0,0.585272664119486
"frozenset({'S, %_Low', 'kind_B 789/BC'})","frozenset({'Cu, %_Low'})",0.33977660744256033,0.337635279819434,0.1704959777764917,0.5017884517118038,1.486184891520099,1.0,0.05577540784652486,1.329484879377813,0.4954932116098183,0.3363397648133349,0.24782897834235537,0.5033796560924463
"frozenset({'Cu, %_Low', 'kind_B 789/BC'})","frozenset({'S, %_Low'})",0.337635279819434,0.3400659760402801,0.1704959777764917,0.5049708604730888,1.4849202685695204,1.0,0.055677706799062796,1.3331215705612902,0.49302621202320385,0.33614787768142407,0.24988086451938102,0.5031661654305539
"frozenset({'S, %_Low'})","frozenset({'Cu, %_Low', 'kind_B 789/BC'})",0.3400659760402801,0.337635279819434,0.1704959777764917,0.501361470388019,1.4849202685695202,1.0,0.055677706799062796,1.3283464490720156,0.4948421465057939,0.33614787768142407,0.24718434659978866,0.5031661654305539
"frozenset({'Cu, %_Low'})","frozenset({'S, %_Low', 'kind_B 789/BC'})",0.337635279819434,0.33977660744256033,0.1704959777764917,0.5049708604730888,1.486184891520099,1.0,0.05577540784652486,1.333706119175936,0.4938913550060994,0.3363397648133349,0.2502096334251842,0.5033796560924463
