KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.0067,,0.0067,0.0067,0.0067,0.0067,0.0067
0,0,71,0,1,-1,-1,6.0,0.0019,0.0,0.0019,0.0019,0.0019,0.0019,0.0019
0,0,153,0,-1,-1,-1,2.0,0.0067,0.0,0.0067,0.0067,0.0067,0.0067,0.0067
0,0,153,0,1,-1,-1,3.0,0.0067,0.0,0.0067,0.0067,0.0067,0.0067,0.0067
0,1,-1,0,-1,-1,-1,4.0,0.0048000000000000004,0.0006000000000000003,0.0039,0.0048000000000000004,0.0051,0.0051,0.0051
0,1,-1,0,-1,-1,1,1.0,0.0076,,0.0076,0.0076,0.0076,0.0076,0.0076
0,1,-1,0,-1,1,1,2.0,0.00455,0.0014849242404917497,0.0035,0.004025,0.00455,0.005075,0.0056
0,1,-1,0,1,-1,1,13.0,0.006015384615384616,0.001114185916447635,0.003,0.0058,0.0061,0.0063,0.0076
0,1,-1,0,1,1,1,8.0,0.0024124999999999997,0.0008114141095290722,0.0014,0.0016,0.0026,0.0028,0.0035
0,1,0,0,-1,1,-1,2.0,0.0013,0.0,0.0013,0.0013,0.0013,0.0013,0.0013
0,1,0,0,-1,1,1,44.0,0.0030522727272727273,0.001722692408177499,0.0012,0.0015,0.0022500000000000003,0.0043,0.0063
0,1,0,0,1,-1,1,4.0,0.0027,0.0,0.0027,0.0027,0.0027,0.0027,0.0027
0,1,0,0,1,1,-1,1.0,0.0013,,0.0013,0.0013,0.0013,0.0013,0.0013
0,1,0,0,1,1,1,1500.0,0.0026656666666666664,0.001293134184672496,0.0011,0.0018,0.0023,0.0033,0.0077
0,1,1,0,1,1,1,13.0,0.0023692307692307693,0.0007565102063473383,0.0014,0.0018,0.0024,0.0031,0.0035
0,1,151,0,1,-1,1,4.0,0.0014,0.0,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,151,0,1,1,1,1.0,0.0014,,0.0014,0.0014,0.0014,0.0014,0.0014
0,1,152,0,1,-1,1,5.0,0.003,0.0,0.003,0.003,0.003,0.003,0.003
0,1,154,0,-1,1,1,5.0,0.0056,0.0,0.0056,0.0056,0.0056,0.0056,0.0056
0,1,155,0,-1,-1,-1,2.0,0.0039,0.0,0.0039,0.0039,0.0039,0.0039,0.0039
0,1,155,0,-1,-1,1,3.0,0.0038999999999999994,5.311484201212962e-19,0.0039,0.0039,0.0039,0.0039,0.0039
0,1,156,0,1,1,1,5.0,0.0033999999999999994,4.84869951806108e-19,0.0034,0.0034,0.0034,0.0034,0.0034
0,1,157,0,1,-1,1,1.0,0.0016,,0.0016,0.0016,0.0016,0.0016,0.0016
0,1,157,0,1,1,1,4.0,0.0016,0.0,0.0016,0.0016,0.0016,0.0016,0.0016
0,1,158,0,-1,-1,1,1.0,0.0016,,0.0016,0.0016,0.0016,0.0016,0.0016
0,1,158,0,1,-1,1,3.0,0.0016,0.0,0.0016,0.0016,0.0016,0.0016,0.0016
0,1,158,0,1,1,1,1.0,0.0016,,0.0016,0.0016,0.0016,0.0016,0.0016
0,1,159,0,-1,1,1,3.0,0.0035,0.0,0.0035,0.0035,0.0035,0.0035,0.0035
0,1,159,0,1,1,1,2.0,0.0035,0.0,0.0035,0.0035,0.0035,0.0035,0.0035
0,1,160,0,1,-1,1,3.0,0.005399999999999999,1.0622968402425924e-18,0.0054,0.0054,0.0054,0.0054,0.0054
0,1,160,0,1,1,1,2.0,0.0054,0.0,0.0054,0.0054,0.0054,0.0054,0.0054
0,1,161,0,1,1,1,5.0,0.0035000000000000005,4.84869951806108e-19,0.0035,0.0035,0.0035,0.0035,0.0035
0,1,222,0,-1,-1,1,4.0,0.0055,0.0,0.0055,0.0055,0.0055,0.0055,0.0055
0,1,222,0,1,-1,1,7.0,0.005499999999999999,9.368577526038704e-19,0.0055,0.0055,0.0055,0.0055,0.0055
0,1,225,0,-1,-1,1,7.0,0.005200000000000001,9.368577526038704e-19,0.0052,0.0052,0.0052,0.0052,0.0052
0,1,225,0,1,-1,1,4.0,0.0052,0.0,0.0052,0.0052,0.0052,0.0052,0.0052
0,1,226,0,1,-1,-1,5.0,0.0042,0.0,0.0042,0.0042,0.0042,0.0042,0.0042
0,1,226,0,1,-1,1,2.0,0.0042,0.0,0.0042,0.0042,0.0042,0.0042,0.0042
0,1,241,0,-1,1,1,12.0,0.0035999999999999995,4.529648946440443e-19,0.0036,0.0036,0.0036,0.0036,0.0036
0,1,247,0,1,1,1,13.0,0.0027000000000000006,4.51389359802078e-19,0.0027,0.0027,0.0027,0.0027,0.0027
0,1,248,0,1,-1,1,1.0,0.0033,,0.0033,0.0033,0.0033,0.0033,0.0033
0,1,248,0,1,1,-1,1.0,0.0033,,0.0033,0.0033,0.0033,0.0033,0.0033
0,1,248,0,1,1,1,11.0,0.0033,0.0,0.0033,0.0033,0.0033,0.0033,0.0033
0,1,250,0,-1,1,-1,1.0,0.0025,,0.0025,0.0025,0.0025,0.0025,0.0025
0,1,250,0,1,1,-1,12.0,0.0024999999999999996,4.529648946440443e-19,0.0025,0.0025,0.0025,0.0025,0.0025
0,1,251,0,1,1,-1,9.0,0.0028,0.0,0.0028,0.0028,0.0028,0.0028,0.0028
0,1,251,0,1,1,1,4.0,0.0028,0.0,0.0028,0.0028,0.0028,0.0028,0.0028
0,1,252,0,-1,1,1,1.0,0.0019,,0.0019,0.0019,0.0019,0.0019,0.0019
0,1,252,0,1,1,1,12.0,0.0018999999999999998,2.2648244732202216e-19,0.0019,0.0019,0.0019,0.0019,0.0019
0,1,265,0,-1,1,-1,1.0,0.003,,0.003,0.003,0.003,0.003,0.003
0,1,265,0,1,1,1,12.0,0.0030000000000000005,4.529648946440443e-19,0.003,0.003,0.003,0.003,0.003
0,1,267,0,1,1,1,42.0,0.005433333333333333,0.0017912615348348385,0.0034,0.0036,0.0054,0.0071,0.0077
0,1,268,0,-1,1,-1,7.0,0.003700000000000001,9.368577526038704e-19,0.0037,0.0037,0.0037,0.0037,0.0037
0,1,269,0,-1,1,-1,2.0,0.003,0.0,0.003,0.003,0.003,0.003,0.003
0,1,269,0,1,1,-1,3.0,0.0030000000000000005,5.311484201212962e-19,0.003,0.003,0.003,0.003,0.003
0,1,269,0,1,1,1,2.0,0.003,0.0,0.003,0.003,0.003,0.003,0.003
0,1,270,0,-1,1,-1,3.0,0.0021,0.0,0.0021,0.0021,0.0021,0.0021,0.0021
0,1,270,0,1,1,-1,2.0,0.0021,0.0,0.0021,0.0021,0.0021,0.0021,0.0021
0,1,270,0,1,1,1,2.0,0.0021,0.0,0.0021,0.0021,0.0021,0.0021,0.0021
0,1,271,0,-1,1,-1,6.0,0.0026,0.0,0.0026,0.0026,0.0026,0.0026,0.0026
0,1,271,0,1,1,-1,1.0,0.0026,,0.0026,0.0026,0.0026,0.0026,0.0026
0,1,272,0,1,1,1,7.0,0.0041,0.0,0.0041,0.0041,0.0041,0.0041,0.0041
0,1,273,0,-1,1,1,1.0,0.0027,,0.0027,0.0027,0.0027,0.0027,0.0027
0,1,273,0,1,1,1,6.0,0.0027000000000000006,4.7507358941313415e-19,0.0027,0.0027,0.0027,0.0027,0.0027
0,1,274,0,-1,1,-1,6.0,0.0051,0.0,0.0051,0.0051,0.0051,0.0051,0.0051
0,1,274,0,-1,1,1,7.0,0.0051,0.0,0.0051,0.0051,0.0051,0.0051,0.0051
0,1,276,0,-1,1,1,13.0,0.0041,0.0,0.0041,0.0041,0.0041,0.0041,0.0041
0,1,310,0,1,1,1,13.0,0.0041,0.0,0.0041,0.0041,0.0041,0.0041,0.0041
0,1,311,0,1,1,1,13.0,0.0024,0.0,0.0024,0.0024,0.0024,0.0024,0.0024
0,1,312,0,-1,-1,-1,2.0,0.0027,0.0,0.0027,0.0027,0.0027,0.0027,0.0027
0,1,312,0,-1,-1,1,11.0,0.0027000000000000006,4.548483326832392e-19,0.0027,0.0027,0.0027,0.0027,0.0027
0,1,313,0,-1,1,-1,12.0,0.0012,0.0,0.0012,0.0012,0.0012,0.0012,0.0012
0,1,313,0,-1,1,1,1.0,0.0012,,0.0012,0.0012,0.0012,0.0012,0.0012
0,1,314,0,1,1,-1,9.0,0.0039,0.0,0.0039,0.0039,0.0039,0.0039,0.0039
0,1,314,0,1,1,1,4.0,0.0039,0.0,0.0039,0.0039,0.0039,0.0039,0.0039
0,1,315,0,1,1,1,10.0,0.0022,0.0,0.0022,0.0022,0.0022,0.0022,0.0022
0,1,316,0,1,1,1,10.0,0.0027,0.0,0.0027,0.0027,0.0027,0.0027,0.0027
0,1,348,0,1,1,1,72.0,0.002741666666666667,0.00131681968564684,0.0018,0.001875,0.0024,0.0028,0.0067
0,1,349,0,1,-1,1,9.0,0.0033,0.0,0.0033,0.0033,0.0033,0.0033,0.0033
0,1,353,0,1,-1,1,5.0,0.0031,0.0,0.0031,0.0031,0.0031,0.0031,0.0031
0,1,353,0,1,1,1,4.0,0.0031,0.0,0.0031,0.0031,0.0031,0.0031,0.0031
0,1,355,0,1,-1,1,5.0,0.0064,0.0,0.0064,0.0064,0.0064,0.0064,0.0064
0,1,355,0,1,1,1,4.0,0.0064,0.0,0.0064,0.0064,0.0064,0.0064,0.0064
0,1,526,0,1,-1,-1,7.0,0.003700000000000001,9.368577526038704e-19,0.0037,0.0037,0.0037,0.0037,0.0037
0,1,556,0,-1,1,1,7.0,0.002,0.0,0.002,0.002,0.002,0.002,0.002
0,1,556,0,1,1,1,5.0,0.002,0.0,0.002,0.002,0.002,0.002,0.002
0,1,557,0,-1,1,-1,6.0,0.0037000000000000006,4.7507358941313415e-19,0.0037,0.0037,0.0037,0.0037,0.0037
0,1,558,0,-1,1,-1,5.0,0.0035000000000000005,4.84869951806108e-19,0.0035,0.0035,0.0035,0.0035,0.0035
0,1,558,0,1,1,-1,1.0,0.0035,,0.0035,0.0035,0.0035,0.0035,0.0035
0,1,559,0,-1,1,1,1.0,0.0033,,0.0033,0.0033,0.0033,0.0033,0.0033
0,1,559,0,1,1,1,5.0,0.0033,0.0,0.0033,0.0033,0.0033,0.0033,0.0033
0,1,560,0,1,-1,1,6.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0025,0.0025
0,1,561,0,-1,1,1,1.0,0.0031,,0.0031,0.0031,0.0031,0.0031,0.0031
