KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.18,,0.18,0.18,0.18,0.18,0.18
0,0,71,0,1,-1,-1,6.0,0.1852,0.0,0.1852,0.1852,0.1852,0.1852,0.1852
0,0,153,0,-1,-1,-1,2.0,0.18,0.0,0.18,0.18,0.18,0.18,0.18
0,0,153,0,1,-1,-1,3.0,0.18000000000000002,3.3993498887762956e-17,0.18,0.18,0.18,0.18,0.18
0,1,-1,0,-1,-1,-1,4.0,0.154825,0.015850000000000003,0.1469,0.1469,0.1469,0.154825,0.1786
0,1,-1,0,-1,-1,1,1.0,0.154,,0.154,0.154,0.154,0.154,0.154
0,1,-1,0,-1,1,1,2.0,0.19190000000000002,0.00933380951166244,0.1853,0.1886,0.19190000000000002,0.1952,0.1985
0,1,-1,0,1,-1,1,13.0,0.1644307692307692,0.013724029086204036,0.1512,0.154,0.1637,0.1672,0.194
0,1,-1,0,1,1,1,8.0,0.1807875,0.011675424434010337,0.169,0.169,0.1807,0.190125,0.1976
0,1,0,0,-1,1,-1,2.0,0.1932,0.0,0.1932,0.1932,0.1932,0.1932,0.1932
0,1,0,0,-1,1,1,44.0,0.18944545454545458,0.011415034039115474,0.1787,0.18080000000000002,0.18785000000000002,0.18935000000000002,0.2212
0,1,0,0,1,-1,1,4.0,0.2052,0.0,0.2052,0.2052,0.2052,0.2052,0.2052
0,1,0,0,1,1,-1,1.0,0.1932,,0.1932,0.1932,0.1932,0.1932,0.1932
0,1,0,0,1,1,1,1500.0,0.18931739999999997,0.009383450147170973,0.1695,0.1825,0.188,0.1951,0.2212
0,1,1,0,1,1,1,13.0,0.1871692307692308,0.004880639407458927,0.1781,0.1837,0.1861,0.191,0.1943
0,1,151,0,1,-1,1,4.0,0.1744,0.0,0.1744,0.1744,0.1744,0.1744,0.1744
0,1,151,0,1,1,1,1.0,0.1744,,0.1744,0.1744,0.1744,0.1744,0.1744
0,1,152,0,1,-1,1,5.0,0.1893,0.0,0.1893,0.1893,0.1893,0.1893,0.1893
0,1,154,0,-1,1,1,5.0,0.1985,0.0,0.1985,0.1985,0.1985,0.1985,0.1985
0,1,155,0,-1,-1,-1,2.0,0.1786,0.0,0.1786,0.1786,0.1786,0.1786,0.1786
0,1,155,0,-1,-1,1,3.0,0.1786,0.0,0.1786,0.1786,0.1786,0.1786,0.1786
0,1,156,0,1,1,1,5.0,0.187,0.0,0.187,0.187,0.187,0.187,0.187
0,1,157,0,1,-1,1,1.0,0.1902,,0.1902,0.1902,0.1902,0.1902,0.1902
0,1,157,0,1,1,1,4.0,0.1902,0.0,0.1902,0.1902,0.1902,0.1902,0.1902
0,1,158,0,-1,-1,1,1.0,0.1976,,0.1976,0.1976,0.1976,0.1976,0.1976
0,1,158,0,1,-1,1,3.0,0.1976,0.0,0.1976,0.1976,0.1976,0.1976,0.1976
0,1,158,0,1,1,1,1.0,0.1976,,0.1976,0.1976,0.1976,0.1976,0.1976
0,1,159,0,-1,1,1,3.0,0.1853,0.0,0.1853,0.1853,0.1853,0.1853,0.1853
0,1,159,0,1,1,1,2.0,0.1853,0.0,0.1853,0.1853,0.1853,0.1853,0.1853
0,1,160,0,1,-1,1,3.0,0.19400000000000003,3.3993498887762956e-17,0.194,0.194,0.194,0.194,0.194
0,1,160,0,1,1,1,2.0,0.194,0.0,0.194,0.194,0.194,0.194,0.194
0,1,161,0,1,1,1,5.0,0.1901,0.0,0.1901,0.1901,0.1901,0.1901,0.1901
0,1,222,0,-1,-1,1,4.0,0.1778,0.0,0.1778,0.1778,0.1778,0.1778,0.1778
0,1,222,0,1,-1,1,7.0,0.17779999999999999,2.997944808332385e-17,0.1778,0.1778,0.1778,0.1778,0.1778
0,1,225,0,-1,-1,1,7.0,0.1995,0.0,0.1995,0.1995,0.1995,0.1995,0.1995
0,1,225,0,1,-1,1,4.0,0.1995,0.0,0.1995,0.1995,0.1995,0.1995,0.1995
0,1,226,0,1,-1,-1,5.0,0.1948,0.0,0.1948,0.1948,0.1948,0.1948,0.1948
0,1,226,0,1,-1,1,2.0,0.1948,0.0,0.1948,0.1948,0.1948,0.1948,0.1948
0,1,241,0,-1,1,1,12.0,0.1828,0.0,0.1828,0.1828,0.1828,0.1828,0.1828
0,1,247,0,1,1,1,13.0,0.21019999999999997,2.888891902733299e-17,0.2102,0.2102,0.2102,0.2102,0.2102
0,1,248,0,1,-1,1,1.0,0.1822,,0.1822,0.1822,0.1822,0.1822,0.1822
0,1,248,0,1,1,-1,1.0,0.1822,,0.1822,0.1822,0.1822,0.1822,0.1822
0,1,248,0,1,1,1,11.0,0.1822,0.0,0.1822,0.1822,0.1822,0.1822,0.1822
0,1,250,0,-1,1,-1,1.0,0.1826,,0.1826,0.1826,0.1826,0.1826,0.1826
0,1,250,0,1,1,-1,12.0,0.1826,0.0,0.1826,0.1826,0.1826,0.1826,0.1826
0,1,251,0,1,1,-1,9.0,0.1799,0.0,0.1799,0.1799,0.1799,0.1799,0.1799
0,1,251,0,1,1,1,4.0,0.1799,0.0,0.1799,0.1799,0.1799,0.1799,0.1799
0,1,252,0,-1,1,1,1.0,0.1741,,0.1741,0.1741,0.1741,0.1741,0.1741
0,1,252,0,1,1,1,12.0,0.1741,0.0,0.1741,0.1741,0.1741,0.1741,0.1741
0,1,265,0,-1,1,-1,1.0,0.1874,,0.1874,0.1874,0.1874,0.1874,0.1874
0,1,265,0,1,1,1,12.0,0.1874,0.0,0.1874,0.1874,0.1874,0.1874,0.1874
0,1,267,0,1,1,1,42.0,0.17656666666666665,0.004725523156825181,0.1685,0.1727,0.17775000000000002,0.1809,0.1818
0,1,268,0,-1,1,-1,7.0,0.1817,0.0,0.1817,0.1817,0.1817,0.1817,0.1817
0,1,269,0,-1,1,-1,2.0,0.179,0.0,0.179,0.179,0.179,0.179,0.179
0,1,269,0,1,1,-1,3.0,0.17899999999999996,3.3993498887762956e-17,0.179,0.179,0.179,0.179,0.179
0,1,269,0,1,1,1,2.0,0.179,0.0,0.179,0.179,0.179,0.179,0.179
0,1,270,0,-1,1,-1,3.0,0.1692,0.0,0.1692,0.1692,0.1692,0.1692,0.1692
0,1,270,0,1,1,-1,2.0,0.1692,0.0,0.1692,0.1692,0.1692,0.1692,0.1692
0,1,270,0,1,1,1,2.0,0.1692,0.0,0.1692,0.1692,0.1692,0.1692,0.1692
0,1,271,0,-1,1,-1,6.0,0.1928,0.0,0.1928,0.1928,0.1928,0.1928,0.1928
0,1,271,0,1,1,-1,1.0,0.1928,,0.1928,0.1928,0.1928,0.1928,0.1928
0,1,272,0,1,1,1,7.0,0.17849999999999996,2.997944808332385e-17,0.1785,0.1785,0.1785,0.1785,0.1785
0,1,273,0,-1,1,1,1.0,0.1713,,0.1713,0.1713,0.1713,0.1713,0.1713
0,1,273,0,1,1,1,6.0,0.1713,0.0,0.1713,0.1713,0.1713,0.1713,0.1713
0,1,274,0,-1,1,-1,6.0,0.1836,0.0,0.1836,0.1836,0.1836,0.1836,0.1836
0,1,274,0,-1,1,1,7.0,0.1836,0.0,0.1836,0.1836,0.1836,0.1836,0.1836
0,1,276,0,-1,1,1,13.0,0.1856,0.0,0.1856,0.1856,0.1856,0.1856,0.1856
0,1,310,0,1,1,1,13.0,0.1762,0.0,0.1762,0.1762,0.1762,0.1762,0.1762
0,1,311,0,1,1,1,13.0,0.1809,0.0,0.1809,0.1809,0.1809,0.1809,0.1809
0,1,312,0,-1,-1,-1,2.0,0.2019,0.0,0.2019,0.2019,0.2019,0.2019,0.2019
0,1,312,0,-1,-1,1,11.0,0.20190000000000002,2.911029329172731e-17,0.2019,0.2019,0.2019,0.2019,0.2019
0,1,313,0,-1,1,-1,12.0,0.1672,0.0,0.1672,0.1672,0.1672,0.1672,0.1672
0,1,313,0,-1,1,1,1.0,0.1672,,0.1672,0.1672,0.1672,0.1672,0.1672
0,1,314,0,1,1,-1,9.0,0.1845,0.0,0.1845,0.1845,0.1845,0.1845,0.1845
0,1,314,0,1,1,1,4.0,0.1845,0.0,0.1845,0.1845,0.1845,0.1845,0.1845
0,1,315,0,1,1,1,10.0,0.1833,0.0,0.1833,0.1833,0.1833,0.1833,0.1833
0,1,316,0,1,1,1,10.0,0.2052,0.0,0.2052,0.2052,0.2052,0.2052,0.2052
0,1,348,0,1,1,1,72.0,0.186025,0.006832972050451657,0.1775,0.180175,0.1844,0.189775,0.2024
0,1,349,0,1,-1,1,9.0,0.1785,0.0,0.1785,0.1785,0.1785,0.1785,0.1785
0,1,353,0,1,-1,1,5.0,0.1824,0.0,0.1824,0.1824,0.1824,0.1824,0.1824
0,1,353,0,1,1,1,4.0,0.1824,0.0,0.1824,0.1824,0.1824,0.1824,0.1824
