KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.004,,0.004,0.004,0.004,0.004,0.004
0,0,71,0,1,-1,-1,6.0,0.0008,0.0,0.0008,0.0008,0.0008,0.0008,0.0008
0,0,153,0,-1,-1,-1,2.0,0.004,0.0,0.004,0.004,0.004,0.004,0.004
0,0,153,0,1,-1,-1,3.0,0.004,0.0,0.004,0.004,0.004,0.004,0.004
0,1,-1,0,-1,-1,-1,4.0,0.0007750000000000001,0.00075,0.0004,0.0004,0.0004,0.0007750000000000001,0.0019
0,1,-1,0,-1,-1,1,1.0,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
0,1,-1,0,-1,1,1,2.0,0.00055,0.00021213203435596425,0.0004,0.000475,0.00055,0.000625,0.0007
0,1,-1,0,1,-1,1,13.0,0.00046153846153846164,0.00022188007849009166,0.0001,0.0003,0.0004,0.0006,0.0008
0,1,-1,0,1,1,1,8.0,0.0006125,0.0002695896352395088,0.0004,0.000475,0.0005,0.00065,0.0012
0,1,0,0,-1,1,-1,2.0,0.0004,0.0,0.0004,0.0004,0.0004,0.0004,0.0004
0,1,0,0,-1,1,1,44.0,0.00035,0.00028160668596713986,0.0001,0.0001,0.0004,0.0004,0.0011
0,1,0,0,1,-1,1,4.0,0.0003,0.0,0.0003,0.0003,0.0003,0.0003,0.0003
0,1,0,0,1,1,-1,1.0,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
0,1,0,0,1,1,1,1500.0,0.0004731333333333333,0.0002905072205396612,0.0001,0.0004,0.0004,0.0004,0.0016
0,1,1,0,1,1,1,13.0,0.0007076923076923077,0.00011151635501529557,0.0005,0.0007,0.0007,0.0007,0.0009
0,1,151,0,1,-1,1,4.0,0.0008,0.0,0.0008,0.0008,0.0008,0.0008,0.0008
0,1,151,0,1,1,1,1.0,0.0008,,0.0008,0.0008,0.0008,0.0008,0.0008
0,1,152,0,1,-1,1,5.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001
0,1,154,0,-1,1,1,5.0,0.0007,0.0,0.0007,0.0007,0.0007,0.0007,0.0007
0,1,155,0,-1,-1,-1,2.0,0.0019,0.0,0.0019,0.0019,0.0019,0.0019,0.0019
0,1,155,0,-1,-1,1,3.0,0.0019,0.0,0.0019,0.0019,0.0019,0.0019,0.0019
0,1,156,0,1,1,1,5.0,0.0004,0.0,0.0004,0.0004,0.0004,0.0004,0.0004
0,1,157,0,1,-1,1,1.0,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
0,1,157,0,1,1,1,4.0,0.0004,0.0,0.0004,0.0004,0.0004,0.0004,0.0004
0,1,158,0,-1,-1,1,1.0,0.0012,,0.0012,0.0012,0.0012,0.0012,0.0012
0,1,158,0,1,-1,1,3.0,0.0012,0.0,0.0012,0.0012,0.0012,0.0012,0.0012
0,1,158,0,1,1,1,1.0,0.0012,,0.0012,0.0012,0.0012,0.0012,0.0012
0,1,159,0,-1,1,1,3.0,0.0004,0.0,0.0004,0.0004,0.0004,0.0004,0.0004
0,1,159,0,1,1,1,2.0,0.0004,0.0,0.0004,0.0004,0.0004,0.0004,0.0004
0,1,160,0,1,-1,1,3.0,0.0006,0.0,0.0006,0.0006,0.0006,0.0006,0.0006
0,1,160,0,1,1,1,2.0,0.0006,0.0,0.0006,0.0006,0.0006,0.0006,0.0006
0,1,161,0,1,1,1,5.0,0.0006,0.0,0.0006,0.0006,0.0006,0.0006,0.0006
