antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'C, %_Low', 'V, %_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.1570692748422941,1.0,0.1570692748422941,1.0,1.0,1.0,0.0,inf,0.0,0.1570692748422941,0.0,0.5785346374211471
"frozenset({'C, %_Low', 'V, %_Low'})",frozenset({'kind_B 789/BC'}),0.1570692748422941,0.9997106314022802,0.1570692748422941,1.0,1.000289452356142,1.0,4.5450915805989034e-05,inf,0.00034328870580167266,0.15711473891397476,1.0,0.5785573694569874
"frozenset({'C, %_Low', 'V, %_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.1570692748422941,0.9993633890850165,0.1570692748422941,1.0,1.0006370164466063,1.0,9.999201477314812e-05,inf,0.0007552351527634703,0.1571693305536252,1.0,0.5785846652768126
"frozenset({'Mn,%_Low'})","frozenset({'V, %_Low'})",0.33393136176862087,0.35083048787545573,0.2684183112448637,0.8038128249566724,2.291171527948918,1.0,0.15126500867866316,3.308929403673692,0.8460720561754715,0.6447039199332778,0.6977874478404513,0.7844534266650733
"frozenset({'V, %_Low'})","frozenset({'Mn,%_Low'})",0.35083048787545573,0.33393136176862087,0.2684183112448637,0.7650940283734742,2.2911715279489187,1.0,0.15126500867866316,2.835469160785549,0.868096932738121,0.6447039199332778,0.6473246777535199,0.7844534266650733
"frozenset({'Mn,%_Low', 'V, %_Low'})","frozenset({'Ti, %_Low'})",0.2684183112448637,0.4000231494878176,0.18727935644423868,0.6977145321259164,1.7441853878188236,1.0,0.07990581819986702,1.984802163106635,0.583210947875089,0.38922299735386096,0.49617144792164647,0.5829429142111063
"frozenset({'Mn,%_Low', 'Ti, %_Low'})","frozenset({'V, %_Low'})",0.22038312402338098,0.35083048787545573,0.18727935644423868,0.8497899159663866,2.4222236816204545,1.0,0.10996223752359886,4.321743884913052,0.7531343024189949,0.487790171842026,0.7686119245772662,0.6918035690026589
"frozenset({'Ti, %_Low', 'V, %_Low'})","frozenset({'Mn,%_Low'})",0.2411019156201169,0.33393136176862087,0.18727935644423868,0.7767642822851657,2.3261195898796148,1.0,0.10676786543618992,2.9837010181418564,0.7512200924982493,0.4829850746268657,0.664845775793325,0.6687980856833108
"frozenset({'Mn,%_Low'})","frozenset({'Ti, %_Low', 'V, %_Low'})",0.33393136176862087,0.2411019156201169,0.18727935644423868,0.5608318890814559,2.326119589879615,1.0,0.10676786543618992,1.7280354960031281,0.8559170277982051,0.4829850746268657,0.42130818359173916,0.6687980856833108
"frozenset({'V, %_Low'})","frozenset({'Mn,%_Low', 'Ti, %_Low'})",0.35083048787545573,0.22038312402338098,0.18727935644423868,0.5338172220389311,2.4222236816204545,1.0,0.10996223752359886,1.6723416497417782,0.9044728704543354,0.487790171842026,0.4020360611395361,0.6918035690026589
"frozenset({'Mn,%_Low', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'V, %_Low'})",0.33393136176862087,0.35083048787545573,0.2684183112448637,0.8038128249566724,2.291171527948918,1.0,0.15126500867866316,3.308929403673692,0.8460720561754715,0.6447039199332778,0.6977874478404513,0.7844534266650733
"frozenset({'Mn,%_Low', 'V, %_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.2684183112448637,1.0,0.2684183112448637,1.0,1.0,1.0,0.0,inf,0.0,0.2684183112448637,0.0,0.6342091556224319
"frozenset({'slag_weight_close_grab1, tonn_1.8', 'V, %_Low'})","frozenset({'Mn,%_Low'})",0.35083048787545573,0.33393136176862087,0.2684183112448637,0.7650940283734742,2.2911715279489187,1.0,0.15126500867866316,2.835469160785549,0.868096932738121,0.6447039199332778,0.6473246777535199,0.7844534266650733
"frozenset({'Mn,%_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8', 'V, %_Low'})",0.33393136176862087,0.35083048787545573,0.2684183112448637,0.8038128249566724,2.291171527948918,1.0,0.15126500867866316,3.308929403673692,0.8460720561754715,0.6447039199332778,0.6977874478404513,0.7844534266650733
"frozenset({'V, %_Low'})","frozenset({'Mn,%_Low', 'slag_weight_close_grab1, tonn_1.8'})",0.35083048787545573,0.33393136176862087,0.2684183112448637,0.7650940283734742,2.2911715279489187,1.0,0.15126500867866316,2.835469160785549,0.868096932738121,0.6447039199332778,0.6473246777535199,0.7844534266650733
"frozenset({'Mn,%_Low', 'kind_B 789/BC'})","frozenset({'V, %_Low'})",0.33393136176862087,0.35083048787545573,0.2684183112448637,0.8038128249566724,2.291171527948918,1.0,0.15126500867866316,3.308929403673692,0.8460720561754715,0.6447039199332778,0.6977874478404513,0.7844534266650733
"frozenset({'Mn,%_Low', 'V, %_Low'})",frozenset({'kind_B 789/BC'}),0.2684183112448637,0.9997106314022802,0.2684183112448637,1.0,1.000289452356142,1.0,7.767183032725278e-05,inf,0.0003955383276640338,0.26849600555748526,1.0,0.6342480027787426
"frozenset({'kind_B 789/BC', 'V, %_Low'})","frozenset({'Mn,%_Low'})",0.35083048787545573,0.33393136176862087,0.2684183112448637,0.7650940283734742,2.2911715279489187,1.0,0.15126500867866316,2.835469160785549,0.868096932738121,0.6447039199332778,0.6473246777535199,0.7844534266650733
"frozenset({'Mn,%_Low'})","frozenset({'kind_B 789/BC', 'V, %_Low'})",0.33393136176862087,0.35083048787545573,0.2684183112448637,0.8038128249566724,2.291171527948918,1.0,0.15126500867866316,3.308929403673692,0.8460720561754715,0.6447039199332778,0.6977874478404513,0.7844534266650733
"frozenset({'V, %_Low'})","frozenset({'Mn,%_Low', 'kind_B 789/BC'})",0.35083048787545573,0.33393136176862087,0.2684183112448637,0.7650940283734742,2.2911715279489187,1.0,0.15126500867866316,2.835469160785549,0.868096932738121,0.6447039199332778,0.6473246777535199,0.7844534266650733
"frozenset({'metal_residue_grab1, tonn_0.4', 'Mn,%_Low'})","frozenset({'V, %_Low'})",0.33393136176862087,0.35083048787545573,0.2684183112448637,0.8038128249566724,2.291171527948918,1.0,0.15126500867866316,3.308929403673692,0.8460720561754715,0.6447039199332778,0.6977874478404513,0.7844534266650733
"frozenset({'metal_residue_grab1, tonn_0.4', 'V, %_Low'})","frozenset({'Mn,%_Low'})",0.35083048787545573,0.33393136176862087,0.2684183112448637,0.7650940283734742,2.2911715279489187,1.0,0.15126500867866316,2.835469160785549,0.868096932738121,0.6447039199332778,0.6473246777535199,0.7844534266650733
"frozenset({'Mn,%_Low', 'V, %_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.2684183112448637,0.9993633890850165,0.2684183112448637,1.0,1.0006370164466063,1.0,0.0001708780267198895,inf,0.0008701843208605352,0.26858929812369703,1.0,0.6342946490618485
