KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.0025,,0.0025,0.0025,0.0025,0.0025,0.0025
0,0,71,0,1,-1,-1,6.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0025,0.0025
0,0,153,0,-1,-1,-1,2.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0025,0.0025
0,0,153,0,1,-1,-1,3.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0025,0.0025
0,1,-1,0,-1,-1,-1,4.0,0.0029000000000000002,0.0002000000000000001,0.0026,0.0029,0.003,0.003,0.003
0,1,-1,0,-1,-1,1,1.0,0.0022,,0.0022,0.0022,0.0022,0.0022,0.0022
0,1,-1,0,-1,1,1,2.0,0.00245,0.0003535533905932738,0.0022,0.0023250000000000002,0.00245,0.002575,0.0027
0,1,-1,0,1,-1,1,13.0,0.002169230769230769,0.0003425021055522029,0.0019,0.002,0.0021,0.0022,0.003
0,1,-1,0,1,1,1,8.0,0.002425,0.00048032726938441225,0.0018,0.00195,0.00265,0.0028,0.0029
0,1,0,0,-1,1,-1,2.0,0.0022,0.0,0.0022,0.0022,0.0022,0.0022,0.0022
0,1,0,0,-1,1,1,44.0,0.002290909090909091,0.00019862103897808948,0.0018,0.0022,0.0023,0.0025,0.0027
0,1,0,0,1,-1,1,4.0,0.0024,0.0,0.0024,0.0024,0.0024,0.0024,0.0024
0,1,0,0,1,1,-1,1.0,0.0022,,0.0022,0.0022,0.0022,0.0022,0.0022
0,1,0,0,1,1,1,1500.0,0.0023442000000000003,0.0002456554315717589,0.0017,0.0022,0.0023,0.0025,0.003
0,1,1,0,1,1,1,13.0,0.0026692307692307692,0.00017974340685458345,0.0024,0.0025,0.0027,0.0028,0.003
0,1,151,0,1,-1,1,4.0,0.0018,0.0,0.0018,0.0018,0.0018,0.0018,0.0018
0,1,151,0,1,1,1,1.0,0.0018,,0.0018,0.0018,0.0018,0.0018,0.0018
0,1,152,0,1,-1,1,5.0,0.0028,0.0,0.0028,0.0028,0.0028,0.0028,0.0028
0,1,154,0,-1,1,1,5.0,0.0022,0.0,0.0022,0.0022,0.0022,0.0022,0.0022
0,1,155,0,-1,-1,-1,2.0,0.0026,0.0,0.0026,0.0026,0.0026,0.0026,0.0026
0,1,155,0,-1,-1,1,3.0,0.0026,0.0,0.0026,0.0026,0.0026,0.0026,0.0026
