KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0,0,71,0,1,-1,-1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,153,0,-1,-1,-1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,153,0,1,-1,-1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,-1,0,-1,-1,-1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,-1,0,-1,-1,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0,1,-1,0,-1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,-1,0,1,-1,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,-1,0,1,1,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,-1,1,-1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,-1,1,1,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,1,-1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,1,1,-1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0,1,0,0,1,1,1,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,1,1,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,151,0,1,-1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,151,0,1,1,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0,1,152,0,1,-1,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,154,0,-1,1,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,155,0,-1,-1,-1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,155,0,-1,-1,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,156,0,1,1,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,157,0,1,-1,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0,1,157,0,1,1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,158,0,-1,-1,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0,1,158,0,1,-1,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,158,0,1,1,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0,1,159,0,-1,1,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,159,0,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,160,0,1,-1,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,160,0,1,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,161,0,1,1,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,222,0,-1,-1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,222,0,1,-1,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,225,0,-1,-1,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,225,0,1,-1,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,226,0,1,-1,-1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,226,0,1,-1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,241,0,-1,1,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,247,0,1,1,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,248,0,1,-1,1,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
