antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'alloy_speed, meter/minute_2.0'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.8727935644423868,0.7953006539730308,0.7928120840326408,0.9083615144884292,1.1421611562251177,1.0,0.09867879144815794,2.233770504654647,0.9784631570179634,0.9057788944723617,0.5523264373326456,0.9526162105988937
frozenset({'doc_requirement_DOC 34028-2016'}),"frozenset({'alloy_speed, meter/minute_2.0'})",0.7953006539730308,0.8727935644423868,0.7928120840326408,0.9968709067093582,1.1421611562251177,1.0,0.09867879144815794,40.65281017285414,0.6080469378358729,0.9057788944723617,0.9754014545181984,0.9526162105988937
"frozenset({'residuals_grab2, tonn_4.0', 'alloy_speed, meter/minute_2.0'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.8502228138202442,0.7953006539730308,0.7736558828635917,0.909944864202573,1.1441520381717551,1.0,0.09747312300956101,2.2730446655194294,0.8411847319072425,0.8873547958845005,0.5600614386644782,0.9413645147675651
"frozenset({'residuals_grab2, tonn_4.0', 'doc_requirement_DOC 34028-2016'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.7756235893280862,0.8727935644423868,0.7736558828635917,0.9974630652141471,1.1428396196429444,1.0,0.09669660566833338,50.14178380420837,0.5570397672782773,0.8844194508766124,0.9800565531552535,0.9419382165139762
"frozenset({'alloy_speed, meter/minute_2.0', 'doc_requirement_DOC 34028-2016'})","frozenset({'residuals_grab2, tonn_4.0'})",0.7928120840326408,0.9745355634006597,0.7736558828635917,0.9758376523833856,1.0013361123304543,1.0,0.001032311879990866,1.0538891751491293,0.006440189863895855,0.7785672684915551,0.05113362621027373,0.8848545112086178
"frozenset({'residuals_grab2, tonn_4.0'})","frozenset({'alloy_speed, meter/minute_2.0', 'doc_requirement_DOC 34028-2016'})",0.9745355634006597,0.7928120840326408,0.7736558828635917,0.79387137003385,1.0013361123304543,1.0,0.001032311879990866,1.005138956201199,0.05239972661987982,0.7785672684915551,0.005112682350528947,0.8848545112086178
"frozenset({'alloy_speed, meter/minute_2.0'})","frozenset({'residuals_grab2, tonn_4.0', 'doc_requirement_DOC 34028-2016'})",0.8727935644423868,0.7756235893280862,0.7736558828635917,0.8864133678138054,1.1428396196429444,1.0,0.09669660566833338,1.9753769114670936,0.9825492164412563,0.8844194508766124,0.49376749611935605,0.9419382165139762
frozenset({'doc_requirement_DOC 34028-2016'}),"frozenset({'residuals_grab2, tonn_4.0', 'alloy_speed, meter/minute_2.0'})",0.7953006539730308,0.8502228138202442,0.7736558828635917,0.9727841653325572,1.1441520381717551,1.0,0.09747312300956101,5.503310407706439,0.6154894221588758,0.8873547958845005,0.8182911873188777,0.9413645147675651
"frozenset({'alloy_speed, meter/minute_2.0', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.8727935644423868,0.7953006539730308,0.7928120840326408,0.9083615144884292,1.1421611562251177,1.0,0.09867879144815794,2.233770504654647,0.9784631570179634,0.9057788944723617,0.5523264373326456,0.9526162105988937
"frozenset({'alloy_speed, meter/minute_2.0', 'doc_requirement_DOC 34028-2016'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.7928120840326408,1.0,0.7928120840326408,1.0,1.0,1.0,0.0,inf,0.0,0.7928120840326408,0.0,0.8964060420163205
"frozenset({'slag_weight_close_grab1, tonn_1.8', 'doc_requirement_DOC 34028-2016'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.7953006539730308,0.8727935644423868,0.7928120840326408,0.9968709067093582,1.1421611562251177,1.0,0.09867879144815794,40.65281017285414,0.6080469378358729,0.9057788944723617,0.9754014545181984,0.9526162105988937
