antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'alloy_type_open'}),"frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.989698477921176,1.0,0.989698477921176,1.0,1.0,1.0,0.0,inf,0.0,0.989698477921176,0.0,0.9948492389605881
"frozenset({'slag_weight_close_grab1, tonn_1.8'})",frozenset({'alloy_type_open'}),1.0,0.989698477921176,0.989698477921176,0.989698477921176,1.0,1.0,0.0,1.0,0.0,0.989698477921176,0.0,0.9948492389605881
frozenset({'alloy_type_open'}),frozenset({'kind_B 789/BC'}),0.989698477921176,0.9997106314022802,0.9894091093234563,0.9997076194374598,0.9999969871633593,1.0,-2.980936998353556e-06,0.9896984779211215,-0.00029238056254265066,0.9894091093234563,-0.010408748026486843,0.9947015577793992
frozenset({'kind_B 789/BC'}),frozenset({'alloy_type_open'}),0.9997106314022802,0.989698477921176,0.9894091093234563,0.9896954961213384,0.9999969871633593,1.0,-2.980936998353556e-06,0.9997106314022771,-0.01030450387874784,0.9894091093234563,-0.0002894523561452642,0.9947015577793992
"frozenset({'metal_residue_grab1, tonn_0.4'})",frozenset({'alloy_type_open'}),0.9993633890850165,0.989698477921176,0.9890618670061925,0.9896919156821866,0.9999933694563184,1.0,-6.558061396488846e-06,0.9993633890850032,-0.010308084318073021,0.9890618670061925,-0.0006370164466197265,0.9945243392222991
frozenset({'alloy_type_open'}),"frozenset({'metal_residue_grab1, tonn_0.4'})",0.989698477921176,0.9993633890850165,0.9890618670061925,0.9993567627624115,0.9999933694563184,1.0,-6.558061396488846e-06,0.9896984779209841,-0.0006432372376047141,0.9890618670061925,-0.010408748026627087,0.9945243392222991
"frozenset({'kind_B 789/BC', 'alloy_type_open'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.9894091093234563,1.0,0.9894091093234563,1.0,1.0,1.0,0.0,inf,0.0,0.9894091093234563,0.0,0.9947045546617281
"frozenset({'alloy_type_open', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'kind_B 789/BC'}),0.989698477921176,0.9997106314022802,0.9894091093234563,0.9997076194374598,0.9999969871633593,1.0,-2.980936998353556e-06,0.9896984779211215,-0.00029238056254265066,0.9894091093234563,-0.010408748026486843,0.9947015577793992
"frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'alloy_type_open'}),0.9997106314022802,0.989698477921176,0.9894091093234563,0.9896954961213384,0.9999969871633593,1.0,-2.980936998353556e-06,0.9997106314022771,-0.01030450387874784,0.9894091093234563,-0.0002894523561452642,0.9947015577793992
frozenset({'alloy_type_open'}),"frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})",0.989698477921176,0.9997106314022802,0.9894091093234563,0.9997076194374598,0.9999969871633593,1.0,-2.980936998353556e-06,0.9896984779211215,-0.00029238056254265066,0.9894091093234563,-0.010408748026486843,0.9947015577793992
frozenset({'kind_B 789/BC'}),"frozenset({'alloy_type_open', 'slag_weight_close_grab1, tonn_1.8'})",0.9997106314022802,0.989698477921176,0.9894091093234563,0.9896954961213384,0.9999969871633593,1.0,-2.980936998353556e-06,0.9997106314022771,-0.01030450387874784,0.9894091093234563,-0.0002894523561452642,0.9947015577793992
"frozenset({'slag_weight_close_grab1, tonn_1.8'})","frozenset({'kind_B 789/BC', 'alloy_type_open'})",1.0,0.9894091093234563,0.9894091093234563,0.9894091093234563,1.0,1.0,0.0,1.0,0.0,0.9894091093234563,0.0,0.9947045546617281
"frozenset({'metal_residue_grab1, tonn_0.4', 'alloy_type_open'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.9890618670061925,1.0,0.9890618670061925,1.0,1.0,1.0,0.0,inf,0.0,0.9890618670061925,0.0,0.9945309335030963
