KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,11.0,,11.0,11.0,11.0,11.0,11.0
0,0,71,0,1,-1,-1,6.0,19.0,0.0,19.0,19.0,19.0,19.0,19.0
0,0,153,0,-1,-1,-1,2.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0
0,0,153,0,1,-1,-1,3.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0
0,1,-1,0,-1,-1,-1,4.0,4.25,0.5,4.0,4.0,4.0,4.25,5.0
0,1,-1,0,-1,-1,1,1.0,6.0,,6.0,6.0,6.0,6.0,6.0
0,1,-1,0,-1,1,1,2.0,7.5,2.1213203435596424,6.0,6.75,7.5,8.25,9.0
0,1,-1,0,1,-1,1,13.0,4.769230769230769,3.0042704647952427,2.0,3.0,5.0,6.0,13.0
0,1,-1,0,1,1,1,8.0,15.25,13.687846538339874,4.0,5.0,6.5,30.25,34.0
0,1,0,0,-1,1,-1,2.0,16.0,0.0,16.0,16.0,16.0,16.0,16.0
0,1,0,0,-1,1,1,44.0,30.954545454545453,14.444689287962992,10.0,18.0,26.0,48.0,52.0
0,1,0,0,1,-1,1,4.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
0,1,0,0,1,1,-1,1.0,16.0,,16.0,16.0,16.0,16.0,16.0
0,1,0,0,1,1,1,1500.0,20.280666666666665,12.445018221812683,2.0,10.0,18.0,28.0,53.0
0,1,1,0,1,1,1,13.0,12.0,3.8944404818493075,6.0,9.0,12.0,15.0,18.0
0,1,151,0,1,-1,1,4.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0
0,1,151,0,1,1,1,1.0,30.0,,30.0,30.0,30.0,30.0,30.0
0,1,152,0,1,-1,1,5.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0
0,1,154,0,-1,1,1,5.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
0,1,155,0,-1,-1,-1,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
0,1,155,0,-1,-1,1,3.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
0,1,156,0,1,1,1,5.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
0,1,157,0,1,-1,1,1.0,34.0,,34.0,34.0,34.0,34.0,34.0
0,1,157,0,1,1,1,4.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0
0,1,158,0,-1,-1,1,1.0,31.0,,31.0,31.0,31.0,31.0,31.0
0,1,158,0,1,-1,1,3.0,31.0,0.0,31.0,31.0,31.0,31.0,31.0
0,1,158,0,1,1,1,1.0,31.0,,31.0,31.0,31.0,31.0,31.0
0,1,159,0,-1,1,1,3.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0
0,1,159,0,1,1,1,2.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0
0,1,160,0,1,-1,1,3.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0
0,1,160,0,1,1,1,2.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0
0,1,161,0,1,1,1,5.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0
0,1,222,0,-1,-1,1,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0,1,222,0,1,-1,1,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0,1,225,0,-1,-1,1,7.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
0,1,225,0,1,-1,1,4.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
0,1,226,0,1,-1,-1,5.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0
0,1,226,0,1,-1,1,2.0,40.0,0.0,40.0,40.0,40.0,40.0,40.0
0,1,241,0,-1,1,1,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0,1,247,0,1,1,1,13.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0
0,1,248,0,1,-1,1,1.0,35.0,,35.0,35.0,35.0,35.0,35.0
0,1,248,0,1,1,-1,1.0,35.0,,35.0,35.0,35.0,35.0,35.0
0,1,248,0,1,1,1,11.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0
0,1,250,0,-1,1,-1,1.0,23.0,,23.0,23.0,23.0,23.0,23.0
0,1,250,0,1,1,-1,12.0,23.0,0.0,23.0,23.0,23.0,23.0,23.0
0,1,251,0,1,1,-1,9.0,22.0,0.0,22.0,22.0,22.0,22.0,22.0
0,1,251,0,1,1,1,4.0,22.0,0.0,22.0,22.0,22.0,22.0,22.0
0,1,252,0,-1,1,1,1.0,31.0,,31.0,31.0,31.0,31.0,31.0
0,1,252,0,1,1,1,12.0,31.0,0.0,31.0,31.0,31.0,31.0,31.0
0,1,265,0,-1,1,-1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
0,1,265,0,1,1,1,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0,1,267,0,1,1,1,42.0,29.0,2.4093314526607763,25.0,27.0,29.5,31.0,32.0
0,1,268,0,-1,1,-1,7.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0
0,1,269,0,-1,1,-1,2.0,26.0,0.0,26.0,26.0,26.0,26.0,26.0
0,1,269,0,1,1,-1,3.0,26.0,0.0,26.0,26.0,26.0,26.0,26.0
0,1,269,0,1,1,1,2.0,26.0,0.0,26.0,26.0,26.0,26.0,26.0
0,1,270,0,-1,1,-1,3.0,38.0,0.0,38.0,38.0,38.0,38.0,38.0
0,1,270,0,1,1,-1,2.0,38.0,0.0,38.0,38.0,38.0,38.0,38.0
0,1,270,0,1,1,1,2.0,38.0,0.0,38.0,38.0,38.0,38.0,38.0
0,1,271,0,-1,1,-1,6.0,24.0,0.0,24.0,24.0,24.0,24.0,24.0
0,1,271,0,1,1,-1,1.0,24.0,,24.0,24.0,24.0,24.0,24.0
0,1,272,0,1,1,1,7.0,23.0,0.0,23.0,23.0,23.0,23.0,23.0
0,1,273,0,-1,1,1,1.0,34.0,,34.0,34.0,34.0,34.0,34.0
0,1,273,0,1,1,1,6.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0
0,1,274,0,-1,1,-1,6.0,54.0,0.0,54.0,54.0,54.0,54.0,54.0
0,1,274,0,-1,1,1,7.0,54.0,0.0,54.0,54.0,54.0,54.0,54.0
0,1,276,0,-1,1,1,13.0,49.0,0.0,49.0,49.0,49.0,49.0,49.0
0,1,310,0,1,1,1,13.0,23.0,0.0,23.0,23.0,23.0,23.0,23.0
0,1,311,0,1,1,1,13.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0
0,1,312,0,-1,-1,-1,2.0,39.0,0.0,39.0,39.0,39.0,39.0,39.0
0,1,312,0,-1,-1,1,11.0,39.0,0.0,39.0,39.0,39.0,39.0,39.0
0,1,313,0,-1,1,-1,12.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0,1,313,0,-1,1,1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
0,1,314,0,1,1,-1,9.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
0,1,314,0,1,1,1,4.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
0,1,315,0,1,1,1,10.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
0,1,316,0,1,1,1,10.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
0,1,348,0,1,1,1,72.0,6.625,3.299327716411586,2.0,3.75,6.5,9.25,12.0
0,1,349,0,1,-1,1,9.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0,1,353,0,1,-1,1,5.0,29.0,0.0,29.0,29.0,29.0,29.0,29.0
0,1,353,0,1,1,1,4.0,29.0,0.0,29.0,29.0,29.0,29.0,29.0
0,1,355,0,1,-1,1,5.0,26.0,0.0,26.0,26.0,26.0,26.0,26.0
0,1,355,0,1,1,1,4.0,26.0,0.0,26.0,26.0,26.0,26.0,26.0
0,1,526,0,1,-1,-1,7.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0
0,1,556,0,-1,1,1,7.0,31.714285714285715,0.4879500364742666,31.0,31.5,32.0,32.0,32.0
0,1,556,0,1,1,1,5.0,31.2,0.4472135954999579,31.0,31.0,31.0,31.0,32.0
0,1,557,0,-1,1,-1,6.0,33.0,0.0,33.0,33.0,33.0,33.0,33.0
0,1,558,0,-1,1,-1,5.0,35.0,0.0,35.0,35.0,35.0,35.0,35.0
0,1,558,0,1,1,-1,1.0,35.0,,35.0,35.0,35.0,35.0,35.0
0,1,559,0,-1,1,1,1.0,29.0,,29.0,29.0,29.0,29.0,29.0
0,1,559,0,1,1,1,5.0,29.0,0.0,29.0,29.0,29.0,29.0,29.0
0,1,560,0,1,-1,1,6.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0
0,1,561,0,-1,1,1,1.0,18.0,,18.0,18.0,18.0,18.0,18.0
0,1,561,0,1,1,1,5.0,18.0,0.0,18.0,18.0,18.0,18.0,18.0
0,1,562,0,-1,1,1,6.0,34.0,0.0,34.0,34.0,34.0,34.0,34.0
0,1,563,0,1,-1,1,6.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0
0,1,564,0,1,-1,1,2.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0
0,1,564,0,1,1,1,4.0,25.0,0.0,25.0,25.0,25.0,25.0,25.0
0,1,565,0,1,1,1,6.0,24.0,0.0,24.0,24.0,24.0,24.0,24.0
1,0,-1,1,1,-1,-1,16.0,22.5625,11.230724227166593,8.0,17.0,17.0,26.25,51.0
1,0,-1,1,1,-1,1,21.0,12.095238095238095,16.19229681640243,1.0,1.0,1.0,19.0,56.0
1,0,-1,1,1,1,-1,6.0,5.5,11.022703842524301,1.0,1.0,1.0,1.0,28.0
1,0,-1,1,1,1,1,206.0,15.737864077669903,13.9315127363434,1.0,3.0,12.0,24.0,57.0
1,0,-1,2,-1,-1,-1,11.0,13.181818181818182,16.509501396578774,1.0,1.0,2.0,34.0,34.0
1,0,-1,2,1,-1,-1,11.0,15.363636363636363,12.862913567871994,1.0,9.0,9.0,27.0,40.0
1,0,-1,2,1,-1,1,18.0,15.333333333333334,15.800223378912383,1.0,7.0,10.5,22.25,58.0
1,0,-1,2,1,1,-1,11.0,30.363636363636363,12.371521549694098,16.0,23.0,23.0,38.5,49.0
1,0,-1,2,1,1,1,42.0,22.19047619047619,17.63759578665884,1.0,8.0,16.0,30.0,61.0
1,0,2,1,1,1,1,9.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0
1,0,3,1,1,1,-1,1.0,12.0,,12.0,12.0,12.0,12.0,12.0
