antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'steel_weight, tonn_Low'})","frozenset({'crystallizer_movement, mm_Low'})",0.45291972915099254,0.6223161062561491,0.28624341686440186,0.6319959110656784,1.0155544822192744,1.0,0.004384174572566513,1.0263035251525614,0.027996341232159997,0.3627961563852417,0.025629382056980933,0.5459802860452543
"frozenset({'steel_weight, tonn_Low', 'crystallizer_movement, mm_Low'})",frozenset({'kind_B 789/BC'}),0.28624341686440186,0.9997106314022802,0.28624341686440186,1.0,1.000289452356142,1.0,8.282985614455063e-05,inf,0.0004054163626043044,0.2863262706958435,1.0,0.6431631353479217
"frozenset({'steel_weight, tonn_Low', 'kind_B 789/BC'})","frozenset({'crystallizer_movement, mm_Low'})",0.45263036055327277,0.6223161062561491,0.28624341686440186,0.632399948855645,1.0162037307055416,1.0,0.004564253311572286,1.0274315592941416,0.029130874814030688,0.36292926328147923,0.02669915971141431,0.5461823049402377
"frozenset({'steel_weight, tonn_Low'})","frozenset({'crystallizer_movement, mm_Low', 'kind_B 789/BC'})",0.45291972915099254,0.6223161062561491,0.28624341686440186,0.6319959110656784,1.0155544822192744,1.0,0.004384174572566513,1.0263035251525614,0.027996341232159997,0.3627961563852417,0.025629382056980933,0.5459802860452543
"frozenset({'steel_weight, tonn_Low', 'crystallizer_movement, mm_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.28624341686440186,1.0,0.28624341686440186,1.0,1.0,1.0,0.0,inf,0.0,0.28624341686440186,0.0,0.643121708432201
"frozenset({'steel_weight, tonn_Low', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'crystallizer_movement, mm_Low'})",0.45291972915099254,0.6223161062561491,0.28624341686440186,0.6319959110656784,1.0155544822192744,1.0,0.004384174572566513,1.0263035251525614,0.027996341232159997,0.3627961563852417,0.025629382056980933,0.5459802860452543
"frozenset({'steel_weight, tonn_Low'})","frozenset({'crystallizer_movement, mm_Low', 'slag_weight_close_grab1, tonn_1.8'})",0.45291972915099254,0.6223161062561491,0.28624341686440186,0.6319959110656784,1.0155544822192744,1.0,0.004384174572566513,1.0263035251525614,0.027996341232159997,0.3627961563852417,0.025629382056980933,0.5459802860452543
"frozenset({'steel_weight, tonn_Low', 'crystallizer_movement, mm_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.28624341686440186,0.9993633890850165,0.28589617454713817,0.9987868985038416,0.9994231421848435,1.0,-0.00016501663374562936,0.524779597584753,-0.0008080127151297825,0.2859789278684729,-0.9055618865565709,0.6424325968080941
"frozenset({'steel_weight, tonn_Low', 'metal_residue_grab1, tonn_0.4'})","frozenset({'crystallizer_movement, mm_Low'})",0.45228311823600903,0.6223161062561491,0.28589617454713817,0.6321177223288548,1.0157502207867835,1.0,0.004433105481115529,1.0266433494289373,0.028310242778087795,0.3624889932491929,0.02595190378796837,0.5457621997676079
"frozenset({'steel_weight, tonn_Low'})","frozenset({'metal_residue_grab1, tonn_0.4', 'crystallizer_movement, mm_Low'})",0.45291972915099254,0.6219688639388854,0.28589617454713817,0.6312292358803987,1.0148888030871321,1.0,0.004194205151587638,1.0251114590486081,0.026815769986693005,0.36235604782513026,0.024496320694643043,0.5454461988464988
"frozenset({'steel_weight, tonn_Low', 'alloy_speed, meter/minute_2.0'})","frozenset({'crystallizer_movement, mm_Low'})",0.42027895132820187,0.6223161062561491,0.28190288789860524,0.6707518589920132,1.0778314304401557,1.0,0.02035652736662108,1.1471101783219761,0.12456186421084577,0.37058734023128415,0.12824415745065823,0.5618708611429888
"frozenset({'steel_weight, tonn_Low', 'crystallizer_movement, mm_Low'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.28624341686440186,0.8727935644423868,0.28190288789860524,0.9848362312980187,1.1283724713612138,1.0,0.032071475795355936,8.388840403572773,0.15939301771315773,0.32139086830298225,0.8807940130111304,0.6539127114980909
"frozenset({'steel_weight, tonn_Low'})","frozenset({'alloy_speed, meter/minute_2.0', 'crystallizer_movement, mm_Low'})",0.45291972915099254,0.6138665432027316,0.28190288789860524,0.6224124712496806,1.013921475508931,1.0,0.0038706194163679597,1.0226329722150331,0.025097467045847532,0.3591653148503171,0.02213205796211502,0.5408187556587801
"frozenset({'steel_weight, tonn_Low', 'crystallizer_movement, mm_Low'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.28624341686440186,0.7953006539730308,0.25018808958851785,0.8740396279822079,1.0990052926724327,1.0,0.022538512960784157,1.6251090938192456,0.126214282026003,0.30093978419770273,0.3846566954776846,0.5943113290544135
"frozenset({'steel_weight, tonn_Low', 'doc_requirement_DOC 34028-2016'})","frozenset({'crystallizer_movement, mm_Low'})",0.38127206435557615,0.6223161062561491,0.25018808958851785,0.6561930783242258,1.0544369199632007,1.0,0.01291634307451181,1.0985348750483397,0.0834397926330142,0.33207866031648475,0.08969662892496132,0.5291102097656654
"frozenset({'steel_weight, tonn_Low'})","frozenset({'crystallizer_movement, mm_Low', 'doc_requirement_DOC 34028-2016'})",0.45291972915099254,0.5543144857920018,0.25018808958851785,0.5523894709941222,0.9965272154215324,1.0,-0.000871877180867342,0.9956993531806434,-0.00632965379496935,0.330479321152817,-0.004319222268869307,0.5018681537472177
"frozenset({'steel_weight, tonn_Low', 'residuals_grab2, tonn_4.0'})","frozenset({'crystallizer_movement, mm_Low'})",0.4498524220151629,0.6223161062561491,0.2836390994849239,0.6305158883314036,1.0131762330957241,1.0,0.0036886918265497393,1.0221925160414183,0.02363888948154301,0.35970642201834857,0.021710700962047615,0.5431478353588572
"frozenset({'steel_weight, tonn_Low', 'crystallizer_movement, mm_Low'})","frozenset({'residuals_grab2, tonn_4.0'})",0.28624341686440186,0.9745355634006597,0.2836390994849239,0.9909017387788112,1.0167938205569855,1.0,0.0046847099612440934,2.7988245204519333,0.023140166705950906,0.29027481639421937,0.6427071462706324,0.6409761381108261
"frozenset({'steel_weight, tonn_Low'})","frozenset({'residuals_grab2, tonn_4.0', 'crystallizer_movement, mm_Low'})",0.45291972915099254,0.6033335262457318,0.2836390994849239,0.6262458471760797,1.037976210393811,1.0,0.010377442189993813,1.061303187555864,0.06687644386678092,0.36711610486891383,0.05776218169761909,0.5481828756264091
"frozenset({'steel_weight, tonn_Low', 'crystallizer_movement, mm_Low'})",frozenset({'alloy_type_open'}),0.28624341686440186,0.989698477921176,0.28097690838590195,0.9816012939749292,0.9918185345063331,1.0,-0.0023177655997532742,0.5599047055149811,-0.011425056459839865,0.28239879013494645,-0.7860182101528053,0.6327514101007328
"frozenset({'steel_weight, tonn_Low', 'alloy_type_open'})","frozenset({'crystallizer_movement, mm_Low'})",0.4475374732334047,0.6223161062561491,0.28097690838590195,0.6278287857235225,1.008858326840579,1.0,0.002467130639573989,1.014812213454204,0.0158934687327856,0.3561734282150979,0.014596014176638927,0.5396653460841178
"frozenset({'steel_weight, tonn_Low'})","frozenset({'crystallizer_movement, mm_Low', 'alloy_type_open'})",0.45291972915099254,0.612130331616413,0.28097690838590195,0.6203680040889342,1.0134573832516494,1.0,0.003731004385088943,1.021699099552323,0.024271916902997636,0.3583554768231473,0.021238248679900786,0.5396914238086725
"frozenset({'steel_weight, tonn_Low', 'workpiece_slice_geometry_180x180'})","frozenset({'crystallizer_movement, mm_Low'})",0.4179061288268997,0.6223161062561491,0.280919034666358,0.6722060656418778,1.0801681956873437,1.0,0.02084931979422111,1.152199153664701,0.12750220537938026,0.36996951219512186,0.1320944848645428,0.5618074873917563
"frozenset({'steel_weight, tonn_Low', 'crystallizer_movement, mm_Low'})",frozenset({'workpiece_slice_geometry_180x180'}),0.28624341686440186,0.8681057931593263,0.280919034666358,0.9813991103922362,1.1305063485644966,1.0,0.03242946623265072,7.09074725036926,0.16173667340289258,0.32162735223959704,0.8589711401787838,0.6524995551961181
"frozenset({'steel_weight, tonn_Low'})","frozenset({'workpiece_slice_geometry_180x180', 'crystallizer_movement, mm_Low'})",0.45291972915099254,0.6114937207014295,0.280919034666358,0.6202402248913876,1.0143035061421812,1.0,0.003961464308733842,1.0230316762417941,0.025776475038760842,0.358546314078889,0.02251316041982524,0.5398191470851033
