IsolationForest,LOF,OneClassSVM,date,count
-1,-1,-1,2020-05-30,26
-1,-1,-1,2020-05-15,15
-1,-1,-1,2020-01-05,10
-1,-1,-1,2020-07-05,9
-1,-1,-1,2020-07-09,9
-1,-1,-1,2020-03-05,8
-1,-1,-1,2020-08-07,7
-1,-1,-1,2020-01-09,6
-1,-1,-1,2020-02-05,6
-1,-1,-1,2020-07-07,6
-1,-1,-1,2020-05-05,5
-1,-1,-1,2020-05-16,4
-1,-1,-1,2020-08-25,4
-1,-1,-1,2020-06-05,2
-1,-1,-1,2020-04-07,1
-1,-1,1,2020-05-17,11
-1,-1,1,2020-06-05,11
-1,-1,1,2020-05-05,4
-1,-1,1,2020-07-07,4
-1,-1,1,2020-01-05,1
-1,-1,1,2020-05-16,1
-1,1,-1,2020-07-05,55
-1,1,-1,2020-02-05,24
-1,1,-1,2020-02-07,24
-1,1,-1,2020-05-21,24
-1,1,-1,2020-03-07,22
-1,1,-1,2020-05-26,20
-1,1,-1,2020-08-07,15
-1,1,-1,2020-05-15,12
-1,1,-1,2020-06-05,12
-1,1,-1,2020-08-08,12
-1,1,-1,2020-01-09,11
-1,1,-1,2020-08-05,11
-1,1,-1,2020-05-27,6
-1,1,-1,2020-05-22,1
-1,1,-1,2020-05-25,1
-1,1,-1,2020-05-30,1
-1,1,-1,2020-08-14,1
-1,1,1,2020-08-07,118
-1,1,1,2020-05-15,83
-1,1,1,2020-07-05,45
-1,1,1,2020-03-07,44
-1,1,1,2020-02-07,37
-1,1,1,2020-05-27,32
-1,1,1,2020-07-07,20
-1,1,1,2020-05-05,16
-1,1,1,2020-08-05,16
-1,1,1,2020-05-26,15
-1,1,1,2020-05-21,12
-1,1,1,2020-05-18,8
-1,1,1,2020-05-30,6
-1,1,1,2020-01-09,4
-1,1,1,2020-05-22,3
-1,1,1,2020-05-25,2
-1,1,1,2020-06-05,1
1,-1,-1,2020-04-07,23
1,-1,-1,2020-02-09,14
1,-1,-1,2020-08-09,14
1,-1,-1,2020-03-05,12
1,-1,-1,2020-07-16,12
1,-1,-1,2020-04-08,11
1,-1,-1,2020-05-17,11
1,-1,-1,2020-05-08,9
1,-1,-1,2020-07-09,9
1,-1,-1,2020-07-17,9
1,-1,-1,2020-07-26,8
1,-1,-1,2020-01-09,7
1,-1,-1,2020-05-28,7
1,-1,-1,2020-07-29,7
1,-1,-1,2020-01-07,6
1,-1,-1,2020-02-05,6
1,-1,-1,2020-03-07,6
1,-1,-1,2020-04-09,6
1,-1,-1,2020-05-20,6
1,-1,-1,2020-07-23,6
1,-1,-1,2020-08-08,6
1,-1,-1,2020-08-13,6
1,-1,-1,2020-05-18,5
1,-1,-1,2020-07-07,5
1,-1,-1,2020-08-14,5
1,-1,-1,2020-08-25,5
1,-1,-1,2020-08-26,5
1,-1,-1,2020-02-08,4
1,-1,-1,2020-05-05,4
1,-1,-1,2020-08-23,3
1,-1,-1,2020-05-30,2
1,-1,-1,2020-07-21,2
1,-1,-1,2020-08-19,2
1,-1,-1,2020-08-24,2
1,-1,-1,2020-05-09,1
1,-1,-1,2020-05-15,1
1,-1,1,2020-07-31,38
1,-1,1,2020-05-05,22
1,-1,1,2020-05-17,22
1,-1,1,2020-05-29,21
1,-1,1,2020-07-05,19
1,-1,1,2020-05-08,17
1,-1,1,2020-05-13,16
1,-1,1,2020-07-18,14
1,-1,1,2020-08-05,14
1,-1,1,2020-01-09,13
1,-1,1,2020-05-20,12
1,-1,1,2020-06-09,12
1,-1,1,2020-07-30,12
1,-1,1,2020-08-20,12
1,-1,1,2020-01-05,11
1,-1,1,2020-01-08,11
1,-1,1,2020-05-09,11
1,-1,1,2020-05-14,11
1,-1,1,2020-05-07,10
1,-1,1,2020-02-08,9
1,-1,1,2020-03-05,9
1,-1,1,2020-05-15,9
1,-1,1,2020-05-31,9
1,-1,1,2020-07-07,9
1,-1,1,2020-07-17,9
1,-1,1,2020-07-19,9
1,-1,1,2020-07-28,9
1,-1,1,2020-05-30,8
1,-1,1,2020-04-08,7
1,-1,1,2020-05-28,7
1,-1,1,2020-06-08,7
1,-1,1,2020-01-07,6
1,-1,1,2020-07-25,6
1,-1,1,2020-08-13,6
1,-1,1,2020-05-16,5
1,-1,1,2020-07-22,5
1,-1,1,2020-08-23,5
1,-1,1,2020-02-05,4
1,-1,1,2020-07-21,4
1,-1,1,2020-08-16,4
1,-1,1,2020-06-07,3
1,-1,1,2020-08-22,3
1,-1,1,2020-02-07,2
1,-1,1,2020-02-09,2
1,-1,1,2020-04-07,2
1,-1,1,2020-05-18,2
1,-1,1,2020-08-14,2
1,-1,1,2020-08-19,2
1,-1,1,2020-05-22,1
1,-1,1,2020-07-09,1
1,-1,1,2020-07-13,1
1,-1,1,2020-07-14,1
1,-1,1,2020-08-09,1
1,1,-1,2020-03-08,29
