KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,date,count
0,0,-1,0,1,-1,-1,2020-05-05,1
0,0,71,0,1,-1,-1,2020-02-05,6
0,0,153,0,-1,-1,-1,2020-05-05,2
0,0,153,0,1,-1,-1,2020-05-05,3
0,1,-1,0,-1,-1,-1,2020-01-05,3
0,1,-1,0,-1,-1,-1,2020-05-05,1
0,1,-1,0,-1,-1,1,2020-01-05,1
0,1,-1,0,-1,1,1,2020-05-05,2
0,1,-1,0,1,-1,1,2020-01-05,11
0,1,-1,0,1,-1,1,2020-05-05,2
0,1,-1,0,1,1,1,2020-05-05,5
0,1,-1,0,1,1,1,2020-01-05,3
0,1,0,0,-1,1,-1,2020-05-26,2
0,1,0,0,-1,1,1,2020-05-26,14
0,1,0,0,-1,1,1,2020-05-27,12
0,1,0,0,-1,1,1,2020-05-18,8
0,1,0,0,-1,1,1,2020-05-05,6
0,1,0,0,-1,1,1,2020-05-25,2
0,1,0,0,-1,1,1,2020-05-22,1
0,1,0,0,-1,1,1,2020-08-05,1
0,1,0,0,1,-1,1,2020-05-05,4
0,1,0,0,1,1,-1,2020-05-26,1
0,1,0,0,1,1,1,2020-05-22,272
0,1,0,0,1,1,1,2020-06-05,267
0,1,0,0,1,1,1,2020-05-18,209
0,1,0,0,1,1,1,2020-05-25,141
0,1,0,0,1,1,1,2020-05-26,130
0,1,0,0,1,1,1,2020-05-05,116
0,1,0,0,1,1,1,2020-05-21,96
0,1,0,0,1,1,1,2020-05-27,79
0,1,0,0,1,1,1,2020-08-05,71
0,1,0,0,1,1,1,2020-05-17,66
0,1,0,0,1,1,1,2020-07-05,27
0,1,0,0,1,1,1,2020-01-05,26
0,1,1,0,1,1,1,2020-01-05,13
0,1,151,0,1,-1,1,2020-05-05,4
0,1,151,0,1,1,1,2020-05-05,1
0,1,152,0,1,-1,1,2020-05-05,5
0,1,154,0,-1,1,1,2020-05-05,5
0,1,155,0,-1,-1,-1,2020-05-05,2
