antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'slag_weight_close_grab1, tonn_1.8'})",frozenset({'doc_requirement_DOC 34028-2016'}),1.0,0.7953006539730308,0.7953006539730308,0.7953006539730308,1.0,1.0,0.0,1.0,0.0,0.7953006539730308,0.0,0.8976503269865155
frozenset({'doc_requirement_DOC 34028-2016'}),"frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.7953006539730308,1.0,0.7953006539730308,1.0,1.0,1.0,0.0,inf,0.0,0.7953006539730308,0.0,0.8976503269865155
frozenset({'kind_B 789/BC'}),frozenset({'doc_requirement_DOC 34028-2016'}),0.9997106314022802,0.7953006539730308,0.7950112853753111,0.7952414032650226,0.9999254989824135,1.0,-5.9233562713978394e-05,0.9997106314022802,-0.20475859673497537,0.7950112853753111,-0.0002894523561422005,0.8974387776039856
frozenset({'doc_requirement_DOC 34028-2016'}),frozenset({'kind_B 789/BC'}),0.7953006539730308,0.9997106314022802,0.7950112853753111,0.9996361519429486,0.9999254989824135,1.0,-5.9233562713978394e-05,0.7953006539730543,-0.0003638480570513707,0.7950112853753111,-0.2573861155581058,0.8974387776039856
"frozenset({'metal_residue_grab1, tonn_0.4'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.9993633890850165,0.7953006539730308,0.7946640430580474,0.795170257123002,0.9998360408112613,1.0,-0.00013031383797079688,0.9993633890850163,-0.20482974287707995,0.7946640430580474,-0.0006370164466066365,0.8971848956987445
frozenset({'doc_requirement_DOC 34028-2016'}),"frozenset({'metal_residue_grab1, tonn_0.4'})",0.7953006539730308,0.9993633890850165,0.7946640430580474,0.999199534274487,0.9998360408112613,1.0,-0.00013031383797079688,0.795300653973043,-0.0008004657255132883,0.7946640430580474,-0.2573861155581238,0.8971848956987445
frozenset({'alloy_type_open'}),frozenset({'doc_requirement_DOC 34028-2016'}),0.989698477921176,0.7953006539730308,0.7944325481798715,0.8027015963978714,1.0093058422470398,1.0,0.007324701453046978,1.0375114156512149,0.8950174469572384,0.8019981304043,0.036155183533734876,0.9008050261133587
frozenset({'doc_requirement_DOC 34028-2016'}),frozenset({'alloy_type_open'}),0.7953006539730308,0.989698477921176,0.7944325481798715,0.9989084558288459,1.0093058422470398,1.0,0.007324701453046978,9.437567760480224,0.04504187321413277,0.8019981304043,0.8940404958799347,0.9008050261133587
"frozenset({'residuals_grab2, tonn_4.0'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.9745355634006597,0.7953006539730308,0.7756235893280862,0.7958904923095197,1.000741654534725,1.0,0.000574818435565394,1.0028898131359139,0.029103525932359958,0.7801385412422145,0.0028814861793018858,0.8855744122150131
frozenset({'doc_requirement_DOC 34028-2016'}),"frozenset({'residuals_grab2, tonn_4.0'})",0.7953006539730308,0.9745355634006597,0.7756235893280862,0.9752583321205065,1.000741654534725,1.0,0.000574818435565394,1.0292126110239248,0.0036204555867227596,0.7801385412422145,0.028383456159619225,0.8855744122150131
