RUL_class,doc_requirement,count
Critical,DOC 34028-2016,4922
Critical,Contract,470
Critical,ASTM A510/A510M-18,273
Critical,DOC 380-2005,26
Critical,ТУ 24.10.61-022-24688283-2020,23
Critical,DOC 10702-2016,18
Critical,DIN 488-2009,17
Critical,ASTM A510/A510М-18 / Contract,10
Critical,DOC 5781-82,3
Low,DOC 34028-2016,3979
Low,Contract,1251
Low,ASTM A510/A510M-18,244
Low,DOC 5781-82,140
Low,ASTM/Contract 4.13.2,55
Low,DOC 380-2005,54
Low,ASTM A510/A510М-18 / Contract,15
Low,ТУ 24.10.61-022-24688283-2020,12
Low,DOC 10702-2016,6
Low,DIN 488-2009,1
Healthy,DOC 34028-2016,4841
Healthy,Contract,306
Healthy,DOC 5781-82,276
Healthy,ASTM A510/A510M-18,244
Healthy,ASTM/Contract 4.13.2,37
Healthy,DOC 380-2005,35
Healthy,ТУ 24.10.61-022-24688283-2020,10
Healthy,DIN 488-2009,6
Healthy,ASTM A510/A510М-18 / Contract,5
