KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
0,0,71,0,1,-1,-1,6.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
0,0,153,0,-1,-1,-1,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
0,0,153,0,1,-1,-1,3.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
0,1,-1,0,-1,-1,-1,4.0,4.5,1.0,4.0,4.0,4.0,4.5,6.0
0,1,-1,0,-1,-1,1,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
0,1,-1,0,-1,1,1,2.0,8.0,5.656854249492381,4.0,6.0,8.0,10.0,12.0
0,1,-1,0,1,-1,1,13.0,6.538461538461538,3.454836817549772,2.0,4.0,5.0,7.0,12.0
0,1,-1,0,1,1,1,8.0,7.0,3.5050983275386565,3.0,4.5,7.0,8.25,12.0
0,1,0,0,-1,1,-1,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
0,1,0,0,-1,1,1,44.0,6.659090909090909,4.3878435759900665,1.0,2.0,6.0,11.0,12.0
0,1,0,0,1,-1,1,4.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0
0,1,0,0,1,1,-1,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
0,1,0,0,1,1,1,1500.0,5.672,3.382707664099945,1.0,3.0,5.0,9.0,12.0
0,1,1,0,1,1,1,13.0,6.384615384615385,3.4529808749943753,3.0,4.0,5.0,7.0,12.0
0,1,151,0,1,-1,1,4.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
0,1,151,0,1,1,1,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
0,1,152,0,1,-1,1,5.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
0,1,154,0,-1,1,1,5.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
0,1,155,0,-1,-1,-1,2.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
0,1,155,0,-1,-1,1,3.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
0,1,156,0,1,1,1,5.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0
0,1,157,0,1,-1,1,1.0,12.0,,12.0,12.0,12.0,12.0,12.0
0,1,157,0,1,1,1,4.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0
0,1,158,0,-1,-1,1,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
0,1,158,0,1,-1,1,3.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
0,1,158,0,1,1,1,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
0,1,159,0,-1,1,1,3.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0
0,1,159,0,1,1,1,2.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0
0,1,160,0,1,-1,1,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
0,1,160,0,1,1,1,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
0,1,161,0,1,1,1,5.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
0,1,222,0,-1,-1,1,4.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
0,1,222,0,1,-1,1,7.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
0,1,225,0,-1,-1,1,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0,1,225,0,1,-1,1,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0,1,226,0,1,-1,-1,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0,1,226,0,1,-1,1,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0,1,241,0,-1,1,1,12.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0
0,1,247,0,1,1,1,13.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0
0,1,248,0,1,-1,1,1.0,9.0,,9.0,9.0,9.0,9.0,9.0
0,1,248,0,1,1,-1,1.0,9.0,,9.0,9.0,9.0,9.0,9.0
0,1,248,0,1,1,1,11.0,9.0,0.0,9.0,9.0,9.0,9.0,9.0
0,1,250,0,-1,1,-1,1.0,12.0,,12.0,12.0,12.0,12.0,12.0
0,1,250,0,1,1,-1,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0
0,1,251,0,1,1,-1,9.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
0,1,251,0,1,1,1,4.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0
0,1,252,0,-1,1,1,1.0,9.0,,9.0,9.0,9.0,9.0,9.0
