IsolationForest,LOF,OneClassSVM,grab2_num,count
-1,-1,-1,7.0,44
-1,-1,-1,3.0,21
-1,-1,-1,4.0,17
-1,-1,-1,6.0,15
-1,-1,-1,5.0,13
-1,-1,-1,1.0,8
-1,-1,1,5.0,15
-1,-1,1,1.0,11
-1,-1,1,4.0,4
-1,-1,1,3.0,1
-1,-1,1,7.0,1
-1,1,-1,3.0,105
-1,1,-1,6.0,51
-1,1,-1,7.0,48
-1,1,-1,4.0,37
-1,1,-1,1.0,11
-1,1,1,4.0,179
-1,1,1,6.0,132
-1,1,1,3.0,101
-1,1,1,1.0,24
-1,1,1,5.0,16
-1,1,1,7.0,10
1,-1,-1,7.0,80
1,-1,-1,6.0,50
1,-1,-1,4.0,40
1,-1,-1,1.0,29
1,-1,-1,5.0,17
1,-1,-1,2.0,17
1,-1,-1,3.0,14
1,-1,1,1.0,121
1,-1,1,6.0,88
1,-1,1,7.0,80
1,-1,1,4.0,55
1,-1,1,3.0,50
1,-1,1,5.0,44
1,-1,1,2.0,29
1,1,-1,7.0,58
1,1,-1,3.0,53
1,1,-1,4.0,50
1,1,-1,1.0,33
1,1,-1,6.0,26
1,1,-1,2.0,15
1,1,-1,5.0,12
1,1,1,6.0,3252
1,1,1,1.0,2912
1,1,1,7.0,2662
1,1,1,4.0,2442
1,1,1,2.0,2121
1,1,1,3.0,1467
1,1,1,5.0,581
1,1,1,35581.0,17
