antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'metal_residue_grab1, tonn_0.4'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.9993633890850165,1.0,0.9993633890850165,1.0,1.0,1.0,0.0,inf,0.0,0.9993633890850167,0.0,0.9996816945425082
"frozenset({'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4'})",1.0,0.9993633890850165,0.9993633890850165,0.9993633890850165,1.0,1.0,0.0,1.0,0.0,0.9993633890850167,0.0,0.9996816945425082
"frozenset({'metal_residue_grab1, tonn_0.4'})",frozenset({'kind_B 789/BC'}),0.9993633890850165,0.9997106314022802,0.9990740204872968,0.9997104470697243,0.9999998156140886,1.0,-1.8421520775468991e-07,0.9993633890849924,-0.0002895529302643734,0.9990740204872968,-0.0006370164466305025,0.9995368259431058
frozenset({'kind_B 789/BC'}),"frozenset({'metal_residue_grab1, tonn_0.4'})",0.9997106314022802,0.9993633890850165,0.9990740204872968,0.9993632048164872,0.9999998156140886,1.0,-1.8421520775468991e-07,0.9997106314022233,-0.0006367951834879398,0.9990740204872968,-0.00028945235619917014,0.9995368259431058
"frozenset({'metal_residue_grab1, tonn_0.4', 'kind_B 789/BC'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.9990740204872968,1.0,0.9990740204872968,1.0,1.0,1.0,0.0,inf,0.0,0.9990740204872968,0.0,0.9995370102436484
"frozenset({'metal_residue_grab1, tonn_0.4', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'kind_B 789/BC'}),0.9993633890850165,0.9997106314022802,0.9990740204872968,0.9997104470697243,0.9999998156140886,1.0,-1.8421520775468991e-07,0.9993633890849924,-0.0002895529302643734,0.9990740204872968,-0.0006370164466305025,0.9995368259431058
"frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.9997106314022802,0.9993633890850165,0.9990740204872968,0.9993632048164872,0.9999998156140886,1.0,-1.8421520775468991e-07,0.9997106314022233,-0.0006367951834879398,0.9990740204872968,-0.00028945235619917014,0.9995368259431058
"frozenset({'metal_residue_grab1, tonn_0.4'})","frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})",0.9993633890850165,0.9997106314022802,0.9990740204872968,0.9997104470697243,0.9999998156140886,1.0,-1.8421520775468991e-07,0.9993633890849924,-0.0002895529302643734,0.9990740204872968,-0.0006370164466305025,0.9995368259431058
frozenset({'kind_B 789/BC'}),"frozenset({'metal_residue_grab1, tonn_0.4', 'slag_weight_close_grab1, tonn_1.8'})",0.9997106314022802,0.9993633890850165,0.9990740204872968,0.9993632048164872,0.9999998156140886,1.0,-1.8421520775468991e-07,0.9997106314022233,-0.0006367951834879398,0.9990740204872968,-0.00028945235619917014,0.9995368259431058
"frozenset({'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4', 'kind_B 789/BC'})",1.0,0.9990740204872968,0.9990740204872968,0.9990740204872968,1.0,1.0,0.0,1.0,0.0,0.9990740204872968,0.0,0.9995370102436484
"frozenset({'metal_residue_grab1, tonn_0.4'})",frozenset({'alloy_type_open'}),0.9993633890850165,0.989698477921176,0.9890618670061925,0.9896919156821866,0.9999933694563184,1.0,-6.558061396488846e-06,0.9993633890850032,-0.010308084318073021,0.9890618670061925,-0.0006370164466197265,0.9945243392222991
frozenset({'alloy_type_open'}),"frozenset({'metal_residue_grab1, tonn_0.4'})",0.989698477921176,0.9993633890850165,0.9890618670061925,0.9993567627624115,0.9999933694563184,1.0,-6.558061396488846e-06,0.9896984779209841,-0.0006432372376047141,0.9890618670061925,-0.010408748026627087,0.9945243392222991
"frozenset({'metal_residue_grab1, tonn_0.4', 'alloy_type_open'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.9890618670061925,1.0,0.9890618670061925,1.0,1.0,1.0,0.0,inf,0.0,0.9890618670061925,0.0,0.9945309335030963
"frozenset({'metal_residue_grab1, tonn_0.4', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'alloy_type_open'}),0.9993633890850165,0.989698477921176,0.9890618670061925,0.9896919156821866,0.9999933694563184,1.0,-6.558061396488846e-06,0.9993633890850032,-0.010308084318073021,0.9890618670061925,-0.0006370164466197265,0.9945243392222991
"frozenset({'alloy_type_open', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.989698477921176,0.9993633890850165,0.9890618670061925,0.9993567627624115,0.9999933694563184,1.0,-6.558061396488846e-06,0.9896984779209841,-0.0006432372376047141,0.9890618670061925,-0.010408748026627087,0.9945243392222991
"frozenset({'metal_residue_grab1, tonn_0.4'})","frozenset({'alloy_type_open', 'slag_weight_close_grab1, tonn_1.8'})",0.9993633890850165,0.989698477921176,0.9890618670061925,0.9896919156821866,0.9999933694563184,1.0,-6.558061396488846e-06,0.9993633890850032,-0.010308084318073021,0.9890618670061925,-0.0006370164466197265,0.9945243392222991
frozenset({'alloy_type_open'}),"frozenset({'metal_residue_grab1, tonn_0.4', 'slag_weight_close_grab1, tonn_1.8'})",0.989698477921176,0.9993633890850165,0.9890618670061925,0.9993567627624115,0.9999933694563184,1.0,-6.558061396488846e-06,0.9896984779209841,-0.0006432372376047141,0.9890618670061925,-0.010408748026627087,0.9945243392222991
"frozenset({'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4', 'alloy_type_open'})",1.0,0.9890618670061925,0.9890618670061925,0.9890618670061925,1.0,1.0,0.0,1.0,0.0,0.9890618670061925,0.0,0.9945309335030963
"frozenset({'metal_residue_grab1, tonn_0.4', 'alloy_type_open'})",frozenset({'kind_B 789/BC'}),0.9890618670061925,0.9997106314022802,0.9887724984084727,0.9997074312463429,0.9999967989177699,1.0,-3.165152206108246e-06,0.989061867006121,-0.0002925687536587504,0.9887724984084727,-0.011059098888311856,0.9943830660920843
