KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
0,0,71,0,1,-1,-1,6.0,11.666666666666666,9.993331109628393,1.0,3.25,11.5,19.75,23.0
0,0,153,0,-1,-1,-1,2.0,22.0,2.8284271247461903,20.0,21.0,22.0,23.0,24.0
0,0,153,0,1,-1,-1,3.0,15.333333333333334,9.073771725877465,5.0,12.0,19.0,20.5,22.0
0,1,-1,0,-1,-1,-1,4.0,7.75,9.604686356149273,2.0,2.0,3.5,9.25,22.0
0,1,-1,0,-1,-1,1,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
0,1,-1,0,-1,1,1,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
0,1,-1,0,1,-1,1,13.0,9.076923076923077,9.05963150889279,2.0,2.0,5.0,22.0,22.0
0,1,-1,0,1,1,1,8.0,4.875,6.998724373565718,2.0,2.0,2.0,2.75,22.0
0,1,0,0,-1,1,-1,2.0,3.5,3.5355339059327378,1.0,2.25,3.5,4.75,6.0
0,1,0,0,-1,1,1,44.0,7.340909090909091,7.763789478167912,1.0,1.0,4.0,12.75,24.0
0,1,0,0,1,-1,1,4.0,16.25,9.742518497116988,2.0,14.75,19.5,21.0,24.0
0,1,0,0,1,1,-1,1.0,23.0,,23.0,23.0,23.0,23.0,23.0
0,1,0,0,1,1,1,1500.0,12.674666666666667,7.193468487557065,1.0,6.0,12.0,20.25,24.0
0,1,1,0,1,1,1,13.0,22.0,0.0,22.0,22.0,22.0,22.0,22.0
0,1,151,0,1,-1,1,4.0,21.25,2.217355782608345,19.0,19.75,21.0,22.5,24.0
0,1,151,0,1,1,1,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
0,1,152,0,1,-1,1,5.0,18.0,7.516648189186454,5.0,19.0,20.0,22.0,24.0
0,1,154,0,-1,1,1,5.0,18.0,7.516648189186454,5.0,19.0,20.0,22.0,24.0
0,1,155,0,-1,-1,-1,2.0,22.0,2.8284271247461903,20.0,21.0,22.0,23.0,24.0
0,1,155,0,-1,-1,1,3.0,15.333333333333334,9.073771725877465,5.0,12.0,19.0,20.5,22.0
0,1,156,0,1,1,1,5.0,18.0,7.516648189186454,5.0,19.0,20.0,22.0,24.0
0,1,157,0,1,-1,1,1.0,24.0,,24.0,24.0,24.0,24.0,24.0
0,1,157,0,1,1,1,4.0,16.5,7.767453465154029,5.0,15.5,19.5,20.5,22.0
0,1,158,0,-1,-1,1,1.0,20.0,,20.0,20.0,20.0,20.0,20.0
0,1,158,0,1,-1,1,3.0,21.666666666666668,2.5166114784235836,19.0,20.5,22.0,23.0,24.0
0,1,158,0,1,1,1,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
0,1,159,0,-1,1,1,3.0,16.333333333333332,10.016652800877813,5.0,12.5,20.0,22.0,24.0
0,1,159,0,1,1,1,2.0,20.5,2.1213203435596424,19.0,19.75,20.5,21.25,22.0
0,1,160,0,1,-1,1,3.0,16.333333333333332,10.016652800877813,5.0,12.5,20.0,22.0,24.0
0,1,160,0,1,1,1,2.0,20.5,2.1213203435596424,19.0,19.75,20.5,21.25,22.0
0,1,161,0,1,1,1,5.0,18.0,7.516648189186454,5.0,19.0,20.0,22.0,24.0
0,1,222,0,-1,-1,1,4.0,4.0,2.943920288775949,1.0,2.5,3.5,5.0,8.0
0,1,222,0,1,-1,1,7.0,14.714285714285714,5.964178784328029,6.0,11.5,13.0,19.0,23.0
0,1,225,0,-1,-1,1,7.0,9.428571428571429,8.885515232803382,1.0,3.5,6.0,14.5,23.0
0,1,225,0,1,-1,1,4.0,13.25,2.6299556396765835,11.0,11.75,12.5,14.0,17.0
0,1,226,0,1,-1,-1,5.0,10.4,10.66770828247567,1.0,3.0,4.0,21.0,23.0
0,1,226,0,1,-1,1,2.0,8.5,3.5355339059327378,6.0,7.25,8.5,9.75,11.0
0,1,241,0,-1,1,1,12.0,12.25,6.995128174795526,3.0,7.5,10.5,18.0,23.0
0,1,247,0,1,1,1,13.0,13.0,6.819090848492928,3.0,7.0,12.0,18.0,23.0
0,1,248,0,1,-1,1,1.0,18.0,,18.0,18.0,18.0,18.0,18.0
0,1,248,0,1,1,-1,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
0,1,248,0,1,1,1,11.0,13.454545454545455,6.562981584061262,4.0,9.0,12.0,18.5,23.0
0,1,250,0,-1,1,-1,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
0,1,250,0,1,1,-1,12.0,13.833333333333334,6.393652154972765,4.0,10.0,13.5,18.75,23.0
0,1,251,0,1,1,-1,9.0,13.222222222222221,8.212456663169945,3.0,6.0,15.0,21.0,23.0
0,1,251,0,1,1,1,4.0,12.5,2.3804761428476167,11.0,11.0,11.5,13.0,16.0
0,1,252,0,-1,1,1,1.0,6.0,,6.0,6.0,6.0,6.0,6.0
0,1,252,0,1,1,1,12.0,13.583333333333334,6.775065693520259,3.0,10.0,13.5,18.75,23.0
0,1,265,0,-1,1,-1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
0,1,265,0,1,1,1,12.0,13.833333333333334,6.393652154972765,4.0,10.0,13.5,18.75,23.0
0,1,267,0,1,1,1,42.0,12.571428571428571,8.737758983615258,1.0,4.0,11.0,22.0,23.0
0,1,268,0,-1,1,-1,7.0,12.571428571428571,9.324826054805577,1.0,5.0,11.0,21.5,23.0
0,1,269,0,-1,1,-1,2.0,3.5,3.5355339059327378,1.0,2.25,3.5,4.75,6.0
0,1,269,0,1,1,-1,3.0,16.0,10.44030650891055,4.0,12.5,21.0,22.0,23.0
0,1,269,0,1,1,1,2.0,16.5,7.7781745930520225,11.0,13.75,16.5,19.25,22.0
0,1,270,0,-1,1,-1,3.0,3.6666666666666665,2.5166114784235836,1.0,2.5,4.0,5.0,6.0
0,1,270,0,1,1,-1,2.0,22.0,1.4142135623730951,21.0,21.5,22.0,22.5,23.0
0,1,270,0,1,1,1,2.0,16.5,7.7781745930520225,11.0,13.75,16.5,19.25,22.0
0,1,271,0,-1,1,-1,6.0,12.833333333333334,10.18659249536697,1.0,4.5,13.5,21.75,23.0
0,1,271,0,1,1,-1,1.0,11.0,,11.0,11.0,11.0,11.0,11.0
0,1,272,0,1,1,1,7.0,12.571428571428571,9.324826054805579,1.0,5.0,11.0,21.5,23.0
0,1,273,0,-1,1,1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
0,1,273,0,1,1,1,6.0,14.5,8.549853799919621,4.0,7.25,16.0,21.75,23.0
0,1,274,0,-1,1,-1,6.0,12.166666666666666,9.579491983746669,1.0,4.5,12.0,20.25,23.0
0,1,274,0,-1,1,1,7.0,14.142857142857142,4.059087394500207,10.0,11.5,13.0,15.5,22.0
0,1,276,0,-1,1,1,13.0,13.23076923076923,6.893884320587416,1.0,10.0,13.0,18.0,23.0
0,1,310,0,1,1,1,13.0,14.307692307692308,6.38206621955376,4.0,11.0,14.0,20.0,23.0
0,1,311,0,1,1,1,13.0,14.307692307692308,6.382066219553761,4.0,11.0,14.0,20.0,23.0
0,1,312,0,-1,-1,-1,2.0,14.5,12.020815280171307,6.0,10.25,14.5,18.75,23.0
0,1,312,0,-1,-1,1,11.0,14.272727272727273,5.866701101827314,4.0,11.0,14.0,19.0,22.0
0,1,313,0,-1,1,-1,12.0,14.333333333333334,6.665151342936064,4.0,10.0,14.5,20.25,23.0
0,1,313,0,-1,1,1,1.0,14.0,,14.0,14.0,14.0,14.0,14.0
0,1,314,0,1,1,-1,9.0,14.666666666666666,7.615773105863909,4.0,7.0,18.0,21.0,23.0
0,1,314,0,1,1,1,4.0,13.5,2.6457513110645907,11.0,11.75,13.0,14.75,17.0
0,1,315,0,1,1,1,10.0,13.6,6.719788356455548,4.0,8.0,13.0,19.5,23.0
0,1,316,0,1,1,1,10.0,13.6,6.719788356455549,4.0,8.0,13.0,19.5,23.0
0,1,348,0,1,1,1,72.0,11.458333333333334,3.6306112471826304,7.0,8.0,11.0,14.0,18.0
0,1,349,0,1,-1,1,9.0,11.333333333333334,3.391164991562634,7.0,9.0,11.0,13.0,18.0
0,1,353,0,1,-1,1,5.0,11.2,4.658325879540846,7.0,8.0,9.0,14.0,18.0
0,1,353,0,1,1,1,4.0,11.5,1.2909944487358056,10.0,10.75,11.5,12.25,13.0
0,1,355,0,1,-1,1,5.0,9.6,2.701851217221259,7.0,8.0,9.0,10.0,14.0
0,1,355,0,1,1,1,4.0,13.5,3.1091263510296048,11.0,11.75,12.5,14.25,18.0
0,1,526,0,1,-1,-1,7.0,11.142857142857142,3.8483144114694956,7.0,8.5,10.0,13.0,18.0
0,1,556,0,-1,1,1,7.0,11.714285714285714,4.923220007078217,7.0,7.5,10.0,16.0,18.0
0,1,556,0,1,1,1,5.0,11.2,2.280350850198276,8.0,10.0,12.0,12.0,14.0
0,1,557,0,-1,1,-1,6.0,11.5,4.08656334834051,7.0,8.5,11.0,13.5,18.0
0,1,558,0,-1,1,-1,5.0,11.4,4.560701700396552,7.0,8.0,10.0,14.0,18.0
0,1,558,0,1,1,-1,1.0,12.0,,12.0,12.0,12.0,12.0,12.0
0,1,559,0,-1,1,1,1.0,7.0,,7.0,7.0,7.0,7.0,7.0
0,1,559,0,1,1,1,5.0,12.4,3.847076812334269,8.0,10.0,12.0,14.0,18.0
0,1,560,0,1,-1,1,6.0,11.5,4.08656334834051,7.0,8.5,11.0,13.5,18.0
0,1,561,0,-1,1,1,1.0,14.0,,14.0,14.0,14.0,14.0,14.0
0,1,561,0,1,1,1,5.0,11.0,4.358898943540674,7.0,8.0,10.0,12.0,18.0
0,1,562,0,-1,1,1,6.0,11.5,4.08656334834051,7.0,8.5,11.0,13.5,18.0
0,1,563,0,1,-1,1,6.0,11.5,4.08656334834051,7.0,8.5,11.0,13.5,18.0
0,1,564,0,1,-1,1,2.0,12.0,2.8284271247461903,10.0,11.0,12.0,13.0,14.0
0,1,564,0,1,1,1,4.0,11.25,4.9916597106239795,7.0,7.75,10.0,13.5,18.0
0,1,565,0,1,1,1,6.0,11.5,4.08656334834051,7.0,8.5,11.0,13.5,18.0
1,0,-1,1,1,-1,-1,16.0,10.3125,10.22883994726023,2.0,2.0,3.5,22.25,24.0
1,0,-1,1,1,-1,1,21.0,11.095238095238095,7.091577835043214,2.0,7.0,10.0,18.0,23.0
1,0,-1,1,1,1,-1,6.0,13.333333333333334,5.988878581726855,2.0,12.5,15.5,17.0,18.0
1,0,-1,1,1,1,1,206.0,11.606796116504855,7.7551400690081715,1.0,5.0,10.0,18.0,24.0
1,0,-1,2,-1,-1,-1,11.0,16.09090909090909,7.516043446582058,5.0,9.5,18.0,22.0,24.0
1,0,-1,2,1,-1,-1,11.0,14.727272727272727,6.182085555715144,2.0,11.5,17.0,18.0,24.0
1,0,-1,2,1,-1,1,18.0,13.055555555555555,8.39798450765716,1.0,4.75,15.5,20.0,23.0
1,0,-1,2,1,1,-1,11.0,11.727272727272727,7.913165094839221,1.0,6.0,12.0,17.5,24.0
1,0,-1,2,1,1,1,42.0,15.0,7.811810945222781,1.0,7.25,17.5,22.0,24.0
1,0,2,1,1,1,1,9.0,12.666666666666666,6.324555320336759,2.0,10.0,13.0,17.0,22.0
1,0,3,1,1,1,-1,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
1,0,3,1,1,1,1,8.0,14.0,5.237229365663817,5.0,11.5,14.0,17.25,22.0
1,0,4,1,1,1,1,9.0,12.666666666666666,6.324555320336759,2.0,10.0,13.0,17.0,22.0
1,0,5,1,1,1,1,18.0,12.38888888888889,4.742038391301273,2.0,10.25,12.5,15.0,22.0
1,0,6,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,7,1,1,1,1,12.0,14.166666666666666,2.9180732539042804,10.0,12.0,14.0,17.0,18.0
1,0,8,1,1,1,1,31.0,13.870967741935484,3.0739977823009887,7.0,12.0,13.0,17.0,18.0
1,0,9,1,1,1,1,103.0,14.96116504854369,6.122799452795965,2.0,11.0,17.0,20.0,24.0
1,0,10,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,11,1,1,1,1,48.0,14.166666666666666,2.8234077292650737,10.0,12.0,14.0,17.0,18.0
1,0,12,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,13,1,1,1,-1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,14,1,1,1,-1,2.0,14.0,5.656854249492381,10.0,12.0,14.0,16.0,18.0
1,0,14,1,1,1,1,4.0,14.25,2.217355782608345,12.0,12.75,14.0,15.5,17.0
1,0,15,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,16,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,17,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,18,2,1,-1,-1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,19,1,1,-1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,20,1,1,1,1,5.0,14.0,3.391164991562634,10.0,12.0,13.0,17.0,18.0
1,0,21,1,1,-1,1,9.0,11.11111111111111,6.050711620223782,2.0,7.0,12.0,17.0,18.0
1,0,21,1,1,1,1,5780.0,12.801903114186851,4.809112360950808,1.0,9.0,12.0,17.0,24.0
1,0,21,2,1,1,1,16.0,13.4375,4.016113378213651,7.0,10.0,13.5,17.0,20.0
1,0,22,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,23,1,1,-1,1,5.0,14.0,3.391164991562634,10.0,12.0,13.0,17.0,18.0
1,0,24,1,1,1,1,5.0,14.0,3.391164991562634,10.0,12.0,13.0,17.0,18.0
1,0,25,1,1,-1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,26,1,1,1,1,5.0,14.0,3.391164991562634,10.0,12.0,13.0,17.0,18.0
1,0,27,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,28,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,29,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,30,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,31,2,1,-1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,32,1,1,-1,1,1.0,18.0,,18.0,18.0,18.0,18.0,18.0
1,0,32,1,1,1,1,5.0,13.4,2.701851217221259,10.0,12.0,13.0,15.0,17.0
1,0,33,2,1,-1,-1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,34,2,-1,1,-1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,35,2,-1,1,-1,5.0,14.4,3.361547262794322,10.0,12.0,15.0,17.0,18.0
1,0,35,2,-1,1,1,1.0,13.0,,13.0,13.0,13.0,13.0,13.0
1,0,36,2,-1,1,1,3.0,16.666666666666668,1.5275252316519468,15.0,16.0,17.0,17.5,18.0
1,0,36,2,1,1,1,3.0,11.666666666666666,1.5275252316519468,10.0,11.0,12.0,12.5,13.0
1,0,37,2,1,1,-1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,38,2,-1,-1,-1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,39,2,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,40,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,41,2,1,1,1,12.0,14.166666666666666,2.9180732539042804,10.0,12.0,14.0,17.0,18.0
1,0,42,1,1,1,1,18.0,14.166666666666666,2.8748401490088002,10.0,12.0,14.0,17.0,18.0
1,0,43,1,1,1,1,102.0,13.382352941176471,6.6660720954044494,1.0,10.0,14.0,18.0,23.0
1,0,44,1,1,-1,-1,1.0,18.0,,18.0,18.0,18.0,18.0,18.0
1,0,44,1,1,1,-1,1.0,10.0,,10.0,10.0,10.0,10.0,10.0
1,0,44,1,1,1,1,4.0,14.25,2.217355782608345,12.0,12.75,14.0,15.5,17.0
1,0,45,1,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,46,2,1,-1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,47,2,1,1,1,6.0,14.166666666666666,3.0605010483034745,10.0,12.25,14.0,16.5,18.0
1,0,48,1,1,1,1,8.0,13.75,2.815771906346718,10.0,11.75,13.5,15.5,18.0
1,0,49,1,1,1,1,8.0,13.75,2.815771906346718,10.0,11.75,13.5,15.5,18.0
1,0,50,2,1,1,-1,1.0,10.0,,10.0,10.0,10.0,10.0,10.0
1,0,50,2,1,1,1,7.0,14.285714285714286,2.563479777846623,11.0,12.5,14.0,16.0,18.0
1,0,51,1,1,1,1,8.0,13.75,2.815771906346718,10.0,11.75,13.5,15.5,18.0
1,0,52,1,1,1,1,8.0,13.75,2.815771906346718,10.0,11.75,13.5,15.5,18.0
1,0,53,1,1,1,1,24.0,13.75,2.6905632188786437,10.0,11.75,13.5,15.5,18.0
1,0,54,1,1,1,1,8.0,13.75,2.815771906346718,10.0,11.75,13.5,15.5,18.0
1,0,55,1,1,1,1,8.0,13.75,2.815771906346718,10.0,11.75,13.5,15.5,18.0
1,0,56,1,1,1,1,52.0,13.653846153846153,2.7359954662889234,10.0,11.0,13.0,17.0,18.0
