KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,0.02,,0.02,0.02,0.02,0.02,0.02
0,0,71,0,1,-1,-1,6.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01
0,0,153,0,-1,-1,-1,2.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,0,153,0,1,-1,-1,3.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,-1,0,-1,-1,-1,4.0,0.0275,0.004999999999999999,0.02,0.0275,0.03,0.03,0.03
0,1,-1,0,-1,-1,1,1.0,0.02,,0.02,0.02,0.02,0.02,0.02
0,1,-1,0,-1,1,1,2.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,-1,0,1,-1,1,13.0,0.02538461538461539,0.005188745216627708,0.02,0.02,0.03,0.03,0.03
0,1,-1,0,1,1,1,8.0,0.02375,0.005175491695067656,0.02,0.02,0.02,0.03,0.03
0,1,0,0,-1,1,-1,2.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01
0,1,0,0,-1,1,1,44.0,0.017727272727272727,0.006773284169110136,0.01,0.01,0.02,0.02,0.03
0,1,0,0,1,-1,1,4.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,0,0,1,1,-1,1.0,0.01,,0.01,0.01,0.01,0.01,0.01
0,1,0,0,1,1,1,1500.0,0.015086666666666667,0.007735139115770043,0.01,0.01,0.01,0.02,0.03
0,1,1,0,1,1,1,13.0,0.02230769230769231,0.010127393670836666,0.01,0.01,0.03,0.03,0.03
0,1,151,0,1,-1,1,4.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,151,0,1,1,1,1.0,0.02,,0.02,0.02,0.02,0.02,0.02
0,1,152,0,1,-1,1,5.0,0.03,0.0,0.03,0.03,0.03,0.03,0.03
0,1,154,0,-1,1,1,5.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,155,0,-1,-1,-1,2.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,155,0,-1,-1,1,3.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,156,0,1,1,1,5.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,157,0,1,-1,1,1.0,0.02,,0.02,0.02,0.02,0.02,0.02
0,1,157,0,1,1,1,4.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,158,0,-1,-1,1,1.0,0.02,,0.02,0.02,0.02,0.02,0.02
0,1,158,0,1,-1,1,3.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,158,0,1,1,1,1.0,0.02,,0.02,0.02,0.02,0.02,0.02
0,1,159,0,-1,1,1,3.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,159,0,1,1,1,2.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,160,0,1,-1,1,3.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,160,0,1,1,1,2.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,161,0,1,1,1,5.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02
0,1,222,0,-1,-1,1,4.0,0.13,0.0,0.13,0.13,0.13,0.13,0.13
0,1,222,0,1,-1,1,7.0,0.13,0.0,0.13,0.13,0.13,0.13,0.13
0,1,225,0,-1,-1,1,7.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01
0,1,225,0,1,-1,1,4.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01
0,1,226,0,1,-1,-1,5.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01
0,1,226,0,1,-1,1,2.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01
0,1,241,0,-1,1,1,12.0,0.14000000000000004,2.8989753257218837e-17,0.14,0.14,0.14,0.14,0.14
0,1,247,0,1,1,1,13.0,0.019999999999999997,3.611114878416624e-18,0.02,0.02,0.02,0.02,0.02
0,1,248,0,1,-1,1,1.0,0.01,,0.01,0.01,0.01,0.01,0.01
0,1,248,0,1,1,-1,1.0,0.01,,0.01,0.01,0.01,0.01,0.01
0,1,248,0,1,1,1,11.0,0.009999999999999998,1.8193933307329568e-18,0.01,0.01,0.01,0.01,0.01
