IsolationForest,LOF,OneClassSVM,"residuals_grab2, tonn",count
-1,-1,-1,4.0,84
-1,-1,-1,20.0,9
-1,-1,-1,5.9,8
-1,-1,-1,5.3,7
-1,-1,-1,5.8,5
-1,-1,-1,27.0,3
-1,-1,-1,17.0,2
-1,-1,1,4.0,32
-1,1,-1,4.0,233
-1,1,-1,5.5,6
-1,1,-1,3.3,6
-1,1,-1,5.0,6
-1,1,-1,6.5,1
-1,1,1,4.0,462
1,-1,-1,4.0,210
1,-1,-1,5.0,7
1,-1,-1,7.6,6
1,-1,-1,5.7,6
1,-1,-1,9.0,6
1,-1,-1,3.0,5
1,-1,-1,30.0,5
1,-1,-1,6.7,2
1,-1,1,4.0,395
1,-1,1,5.0,13
1,-1,1,4.5,9
1,-1,1,3.4,7
1,-1,1,3.5,6
1,-1,1,4.4,6
1,-1,1,3.3,6
1,-1,1,3.6,5
1,-1,1,4.8,5
1,-1,1,3.7,5
1,-1,1,25.63,4
1,-1,1,3.0,3
1,-1,1,4.3,3
1,1,-1,4.0,184
1,1,-1,7.0,12
1,1,-1,2.7,11
1,1,-1,6.5,10
1,1,-1,2.8,8
1,1,-1,6.0,7
1,1,-1,6.1,3
1,1,-1,6.6,3
1,1,-1,5.5,2
1,1,-1,6.7,2
1,1,-1,5.7,1
1,1,-1,3.0,1
1,1,-1,4.4,1
1,1,-1,5.6,1
1,1,-1,5.9,1
1,1,1,4.0,15239
1,1,1,5.5,30
1,1,1,6.0,27
1,1,1,5.2,22
1,1,1,5.0,21
1,1,1,4.2,20
1,1,1,3.0,11
1,1,1,4.5,10
1,1,1,5.4,9
1,1,1,5.6,9
1,1,1,5.7,7
1,1,1,6.1,7
1,1,1,4.4,6
1,1,1,5.3,6
1,1,1,4.3,6
1,1,1,4.7,6
1,1,1,3.8,5
1,1,1,4.8,4
1,1,1,5.1,4
1,1,1,5.9,3
1,1,1,2.8,1
1,1,1,6.5,1
