antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'residuals_grab2, tonn_4.0'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.9745355634006597,1.0,0.9745355634006597,1.0,1.0,1.0,0.0,inf,0.0,0.9745355634006597,0.0,0.9872677817003299
"frozenset({'slag_weight_close_grab1, tonn_1.8'})","frozenset({'residuals_grab2, tonn_4.0'})",1.0,0.9745355634006597,0.9745355634006597,0.9745355634006597,1.0,1.0,0.0,1.0,0.0,0.9745355634006597,0.0,0.9872677817003299
"frozenset({'residuals_grab2, tonn_4.0'})",frozenset({'kind_B 789/BC'}),0.9745355634006597,0.9997106314022802,0.97424619480294,0.999703070253578,0.9999924366627054,1.0,-7.3686083105206635e-06,0.9745355634005255,-0.0002969297464238276,0.97424619480294,-0.026129817685277053,0.987115631456533
frozenset({'kind_B 789/BC'}),"frozenset({'residuals_grab2, tonn_4.0'})",0.9997106314022802,0.9745355634006597,0.97424619480294,0.9745281926594882,0.9999924366627054,1.0,-7.3686083105206635e-06,0.9997106314022799,-0.02547180734066894,0.97424619480294,-0.00028945235614247,0.987115631456533
"frozenset({'residuals_grab2, tonn_4.0'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.9745355634006597,0.9993633890850165,0.974188321083396,0.9996436843042936,1.0002804737719417,1.0,0.0002731576594366958,1.7866485329011728,0.011011244147047421,0.9744703021882598,0.4402928267171872,0.9872262896851558
"frozenset({'metal_residue_grab1, tonn_0.4'})","frozenset({'residuals_grab2, tonn_4.0'})",0.9993633890850165,0.9745355634006597,0.974188321083396,0.974808895066018,1.0002804737719417,1.0,0.0002731576594366958,1.0108503245917388,0.44044976588192947,0.9744703021882598,0.010733858740284779,0.9872262896851558
"frozenset({'residuals_grab2, tonn_4.0'})",frozenset({'alloy_type_open'}),0.9745355634006597,0.989698477921176,0.9650442733954512,0.9902607043173586,1.0005680784690743,1.0,0.0005479096177625209,1.0577276236909614,0.022296033801283876,0.9658268172603535,0.05457702190807859,0.9826749401944667
frozenset({'alloy_type_open'}),"frozenset({'residuals_grab2, tonn_4.0'})",0.989698477921176,0.9745355634006597,0.9650442733954512,0.9750891760715747,1.0005680784690743,1.0,0.0005479096177625209,1.0222237800124832,0.05511379141890432,0.9658268172603535,0.021740621228956213,0.9826749401944667
"frozenset({'residuals_grab2, tonn_4.0', 'kind_B 789/BC'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.97424619480294,1.0,0.97424619480294,1.0,1.0,1.0,0.0,inf,0.0,0.97424619480294,0.0,0.98712309740147
"frozenset({'residuals_grab2, tonn_4.0', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'kind_B 789/BC'}),0.9745355634006597,0.9997106314022802,0.97424619480294,0.999703070253578,0.9999924366627054,1.0,-7.3686083105206635e-06,0.9745355634005255,-0.0002969297464238276,0.97424619480294,-0.026129817685277053,0.987115631456533
"frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'residuals_grab2, tonn_4.0'})",0.9997106314022802,0.9745355634006597,0.97424619480294,0.9745281926594882,0.9999924366627054,1.0,-7.3686083105206635e-06,0.9997106314022799,-0.02547180734066894,0.97424619480294,-0.00028945235614247,0.987115631456533
"frozenset({'residuals_grab2, tonn_4.0'})","frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})",0.9745355634006597,0.9997106314022802,0.97424619480294,0.999703070253578,0.9999924366627054,1.0,-7.3686083105206635e-06,0.9745355634005255,-0.0002969297464238276,0.97424619480294,-0.026129817685277053,0.987115631456533
frozenset({'kind_B 789/BC'}),"frozenset({'residuals_grab2, tonn_4.0', 'slag_weight_close_grab1, tonn_1.8'})",0.9997106314022802,0.9745355634006597,0.97424619480294,0.9745281926594882,0.9999924366627054,1.0,-7.3686083105206635e-06,0.9997106314022799,-0.02547180734066894,0.97424619480294,-0.00028945235614247,0.987115631456533
"frozenset({'slag_weight_close_grab1, tonn_1.8'})","frozenset({'residuals_grab2, tonn_4.0', 'kind_B 789/BC'})",1.0,0.97424619480294,0.97424619480294,0.97424619480294,1.0,1.0,0.0,1.0,0.0,0.97424619480294,0.0,0.98712309740147
"frozenset({'residuals_grab2, tonn_4.0', 'metal_residue_grab1, tonn_0.4'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.974188321083396,1.0,0.974188321083396,1.0,1.0,1.0,0.0,inf,0.0,0.974188321083396,0.0,0.9870941605416981
"frozenset({'residuals_grab2, tonn_4.0', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.9745355634006597,0.9993633890850165,0.974188321083396,0.9996436843042936,1.0002804737719417,1.0,0.0002731576594366958,1.7866485329011728,0.011011244147047421,0.9744703021882598,0.4402928267171872,0.9872262896851558
"frozenset({'metal_residue_grab1, tonn_0.4', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'residuals_grab2, tonn_4.0'})",0.9993633890850165,0.9745355634006597,0.974188321083396,0.974808895066018,1.0002804737719417,1.0,0.0002731576594366958,1.0108503245917388,0.44044976588192947,0.9744703021882598,0.010733858740284779,0.9872262896851558
"frozenset({'residuals_grab2, tonn_4.0'})","frozenset({'metal_residue_grab1, tonn_0.4', 'slag_weight_close_grab1, tonn_1.8'})",0.9745355634006597,0.9993633890850165,0.974188321083396,0.9996436843042936,1.0002804737719417,1.0,0.0002731576594366958,1.7866485329011728,0.011011244147047421,0.9744703021882598,0.4402928267171872,0.9872262896851558
"frozenset({'metal_residue_grab1, tonn_0.4'})","frozenset({'residuals_grab2, tonn_4.0', 'slag_weight_close_grab1, tonn_1.8'})",0.9993633890850165,0.9745355634006597,0.974188321083396,0.974808895066018,1.0002804737719417,1.0,0.0002731576594366958,1.0108503245917388,0.44044976588192947,0.9744703021882598,0.010733858740284779,0.9872262896851558
"frozenset({'slag_weight_close_grab1, tonn_1.8'})","frozenset({'residuals_grab2, tonn_4.0', 'metal_residue_grab1, tonn_0.4'})",1.0,0.974188321083396,0.974188321083396,0.974188321083396,1.0,1.0,0.0,1.0,0.0,0.974188321083396,0.0,0.9870941605416981
"frozenset({'residuals_grab2, tonn_4.0', 'metal_residue_grab1, tonn_0.4'})",frozenset({'kind_B 789/BC'}),0.974188321083396,0.9997106314022802,0.9738989524856763,0.999702964415137,0.9999923307936293,1.0,-7.469089332912127e-06,0.9741883210834545,-0.00029703558486391545,0.9738989524856763,-0.02649557416972393,0.9869419071236273
"frozenset({'residuals_grab2, tonn_4.0', 'kind_B 789/BC'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.97424619480294,0.9993633890850165,0.9738989524856763,0.9996435784721398,1.000280367872371,1.0,0.0002729734442289411,1.7861180238056968,0.010883412610869501,0.9741808498321177,0.4401265836457484,0.9870814603039411
