RUL_class,"residuals_grab2, tonn",count
Critical,4.0,5603
Critical,5.5,15
Critical,5.0,11
Critical,4.5,11
Critical,6.0,10
Critical,7.0,9
Critical,2.7,8
Critical,5.2,8
Critical,4.2,8
Critical,5.7,8
Critical,3.0,6
Critical,4.4,6
Critical,2.8,5
Critical,4.3,5
Critical,5.9,5
Critical,3.8,4
Critical,3.4,4
Critical,9.0,4
Critical,5.4,3
Critical,6.1,3
Critical,4.7,3
Critical,6.5,3
Critical,30.0,3
Critical,27.0,3
Critical,3.5,2
Critical,3.3,2
Critical,5.1,2
Critical,6.6,2
Critical,6.7,2
Critical,17.0,2
Critical,5.8,1
Critical,25.63,1
Low,4.0,5617
Low,5.0,17
Low,3.0,14
Low,6.0,12
Low,5.5,11
Low,5.2,7
Low,5.6,6
Low,6.5,5
Low,5.3,5
Low,4.2,5
Low,4.8,5
Low,20.0,4
Low,6.1,4
Low,3.6,4
Low,4.5,4
Low,4.4,3
Low,7.6,3
Low,4.7,3
Low,5.7,3
Low,2.7,3
Low,7.0,3
Low,5.8,3
Low,5.9,3
Low,3.3,2
Low,5.1,2
Low,2.8,2
Low,3.4,1
Low,4.3,1
Low,25.63,1
Low,6.7,1
Low,5.4,1
Low,30.0,1
Low,9.0,1
Healthy,4.0,5619
Healthy,5.0,19
Healthy,6.0,12
Healthy,5.5,12
Healthy,3.3,8
Healthy,5.3,8
Healthy,4.2,7
Healthy,5.2,7
Healthy,3.7,5
Healthy,20.0,5
Healthy,5.4,5
Healthy,3.5,4
Healthy,4.4,4
Healthy,4.8,4
Healthy,6.5,4
Healthy,5.9,4
Healthy,4.5,4
Healthy,5.6,4
Healthy,6.1,3
Healthy,7.6,3
Healthy,5.7,3
Healthy,4.3,3
Healthy,25.63,2
Healthy,2.8,2
Healthy,3.4,2
Healthy,6.6,1
Healthy,5.8,1
Healthy,9.0,1
Healthy,6.7,1
Healthy,3.6,1
Healthy,30.0,1
Healthy,3.8,1
