antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'resistance, tonn_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.33352624573181316,1.0,0.33352624573181316,1.0,1.0,1.0,0.0,inf,0.0,0.33352624573181316,0.0,0.6667631228659066
"frozenset({'resistance, tonn_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.33352624573181316,0.9993633890850165,0.3333526245731813,0.9994794377928163,1.0001161226327353,1.0,3.8705289834461976e-05,1.2229295676834544,0.00017421413685300192,0.3335070349140177,0.18229142018844213,0.666522206735185
"frozenset({'resistance, tonn_Low'})",frozenset({'kind_B 789/BC'}),0.33352624573181316,0.9997106314022802,0.3332368771340934,0.9991323963213604,0.9994215975475736,1.0,-0.0001928565756896261,0.3335262457318176,-0.0008676036786396275,0.3332368771340934,-1.9982647926426813,0.6662328648273469
"frozenset({'resistance, tonn_Low'})",frozenset({'alloy_type_open'}),0.33352624573181316,0.989698477921176,0.3310955495109671,0.9927121290994275,1.0030450195140055,1.0,0.0010051317634274803,1.4135159938157995,0.004554981346032866,0.3337222189815085,0.29254426241015447,0.6636269843789635
"frozenset({'resistance, tonn_Low'})","frozenset({'residuals_grab2, tonn_4.0'})",0.33352624573181316,0.9745355634006597,0.32530817755657154,0.9753600555266354,1.0008460359549103,1.0,0.00027498976341211456,1.0334616064929427,0.0012683481948400183,0.3310170190212591,0.03237818055621324,0.654584238227122
"frozenset({'resistance, tonn_Low'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.33352624573181316,0.7953006539730308,0.28618554314485795,0.858060038174562,1.0789127783159844,1.0,0.020931901797177133,1.442154439062866,0.10974328239323083,0.3396291208791209,0.30659298830032705,0.6089528832991862
"frozenset({'resistance, tonn_Low'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.33352624573181316,0.8727935644423868,0.31616412986862663,0.9479437792816241,1.0861030808439216,1.0,0.025064569021270022,2.443635627061748,0.11895004042795822,0.3551784669397308,0.5907736861725125,0.6550938311566266
"frozenset({'resistance, tonn_Low'})","frozenset({'crystallizer_movement, mm_Low'})",0.33352624573181316,0.6223161062561491,0.21801030152207881,0.6536526114870728,1.0503546427866763,1.0,0.01045154694402528,1.0904770940109285,0.07193173049110328,0.2954741548356734,0.08297019213685723,0.5019867260913463
"frozenset({'resistance, tonn_Low'})",frozenset({'workpiece_slice_geometry_180x180'}),0.33352624573181316,0.8681057931593263,0.3148330343191157,0.9439528023598821,1.0873706981317601,1.0,0.02529696822864763,2.3532703220520235,0.12056052448766937,0.35502186255955104,0.5750594436052667,0.6533097345132743
"frozenset({'resistance, tonn_Low'})",frozenset({'steel_type_Arm500'}),0.33352624573181316,0.7896869031772672,0.2851438161930667,0.8549366649314594,1.0826273824368404,1.0,0.02176250807277097,1.4498018863509685,0.11451488360842894,0.34023893377529174,0.3102505870530232,0.6080106556610393
"frozenset({'resistance, tonn_Low'})","frozenset({'Nb, %_Low'})",0.33352624573181316,0.5151339776607442,0.17518374905955206,0.5252472670484123,1.0196323477507603,1.0,0.0033730474414683242,1.021302224686086,0.028889869603578373,0.260118587264759,0.020857904909228564,0.43266070801021894
"frozenset({'metal_residue_grab1, tonn_0.4', 'resistance, tonn_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.3333526245731813,1.0,0.3333526245731813,1.0,1.0,1.0,0.0,inf,0.0,0.3333526245731813,0.0,0.6666763122865906
"frozenset({'resistance, tonn_Low', 'slag_weight_close_grab1, tonn_1.8'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.33352624573181316,0.9993633890850165,0.3333526245731813,0.9994794377928163,1.0001161226327353,1.0,3.8705289834461976e-05,1.2229295676834544,0.00017421413685300192,0.3335070349140177,0.18229142018844213,0.666522206735185
"frozenset({'resistance, tonn_Low'})","frozenset({'metal_residue_grab1, tonn_0.4', 'slag_weight_close_grab1, tonn_1.8'})",0.33352624573181316,0.9993633890850165,0.3333526245731813,0.9994794377928163,1.0001161226327353,1.0,3.8705289834461976e-05,1.2229295676834544,0.00017421413685300192,0.3335070349140177,0.18229142018844213,0.666522206735185
"frozenset({'kind_B 789/BC', 'resistance, tonn_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.3332368771340934,1.0,0.3332368771340934,1.0,1.0,1.0,0.0,inf,0.0,0.3332368771340934,0.0,0.6666184385670467
"frozenset({'resistance, tonn_Low', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'kind_B 789/BC'}),0.33352624573181316,0.9997106314022802,0.3332368771340934,0.9991323963213604,0.9994215975475736,1.0,-0.0001928565756896261,0.3335262457318176,-0.0008676036786396275,0.3332368771340934,-1.9982647926426813,0.6662328648273469
"frozenset({'resistance, tonn_Low'})","frozenset({'kind_B 789/BC', 'slag_weight_close_grab1, tonn_1.8'})",0.33352624573181316,0.9997106314022802,0.3332368771340934,0.9991323963213604,0.9994215975475736,1.0,-0.0001928565756896261,0.3335262457318176,-0.0008676036786396275,0.3332368771340934,-1.9982647926426813,0.6662328648273469
"frozenset({'metal_residue_grab1, tonn_0.4', 'resistance, tonn_Low'})",frozenset({'kind_B 789/BC'}),0.3333526245731813,0.9997106314022802,0.33306325597546155,0.9991319444444444,0.9994211455398608,1.0,-0.00019290681620082184,0.3333526245731709,-0.0008680555555555312,0.33306325597546155,-1.9998263888889827,0.6661458031820462
"frozenset({'kind_B 789/BC', 'resistance, tonn_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.3332368771340934,0.9993633890850165,0.33306325597546155,0.9994789857589441,1.00011567031091,1.0,3.8521074626707286e-05,1.2218685494916772,0.00017346030227274878,0.33321753227954376,0.18158135716315732,0.6663772042531111
"frozenset({'resistance, tonn_Low'})","frozenset({'metal_residue_grab1, tonn_0.4', 'kind_B 789/BC'})",0.33352624573181316,0.9990740204872968,0.33306325597546155,0.9986118341141768,0.9995373852551039,1.0,-0.00015415128585510862,0.6670524914636459,-0.0006939623167483548,0.33321753227954376,-0.4991323963213166,0.6659918928434523
"frozenset({'alloy_type_open', 'resistance, tonn_Low'})","frozenset({'slag_weight_close_grab1, tonn_1.8'})",0.3310955495109671,1.0,0.3310955495109671,1.0,1.0,1.0,0.0,inf,0.0,0.3310955495109671,0.0,0.6655477747554835
"frozenset({'resistance, tonn_Low', 'slag_weight_close_grab1, tonn_1.8'})",frozenset({'alloy_type_open'}),0.33352624573181316,0.989698477921176,0.3310955495109671,0.9927121290994275,1.0030450195140055,1.0,0.0010051317634274803,1.4135159938157995,0.004554981346032866,0.3337222189815085,0.29254426241015447,0.6636269843789635
"frozenset({'resistance, tonn_Low'})","frozenset({'alloy_type_open', 'slag_weight_close_grab1, tonn_1.8'})",0.33352624573181316,0.989698477921176,0.3310955495109671,0.9927121290994275,1.0030450195140055,1.0,0.0010051317634274803,1.4135159938157995,0.004554981346032866,0.3337222189815085,0.29254426241015447,0.6636269843789635
"frozenset({'metal_residue_grab1, tonn_0.4', 'resistance, tonn_Low'})",frozenset({'alloy_type_open'}),0.3333526245731813,0.989698477921176,0.3309219283523352,0.9927083333333333,1.0030411842387383,1.0,0.0010033432012284127,1.4127801708101366,0.004548076825850886,0.33354722043982965,0.2921757958801434,0.6635373723271543
"frozenset({'alloy_type_open', 'resistance, tonn_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.3310955495109671,0.9993633890850165,0.3309219283523352,0.9994756161510224,1.0001122985564928,1.0,3.7157882089244865e-05,1.2140170148731786,0.0001678654505302008,0.3310752127844363,0.17628831577417042,0.6653041736071303
"frozenset({'resistance, tonn_Low'})","frozenset({'metal_residue_grab1, tonn_0.4', 'alloy_type_open'})",0.33352624573181316,0.9890618670061925,0.3309219283523352,0.9921915668922436,1.0031643115465816,1.0,0.0010438370532619423,1.4008102320736195,0.0047328649368533265,0.3337029471841261,0.2861274303231639,0.663386596787257
"frozenset({'alloy_type_open', 'resistance, tonn_Low'})",frozenset({'kind_B 789/BC'}),0.3310955495109671,0.9997106314022802,0.3308061809132473,0.9991260269183709,0.9994152263009455,1.0,-0.00019355994284653288,0.33109554951097414,-0.0008739730816291059,0.3308061809132473,-2.0202761754937306,0.665013980230055
"frozenset({'kind_B 789/BC', 'resistance, tonn_Low'})",frozenset({'alloy_type_open'}),0.3332368771340934,0.989698477921176,0.3308061809132473,0.9927058006252172,1.0030386251683017,1.0,0.0010021508264291268,1.4122896221397403,0.00454347247600746,0.33343055474537714,0.29192993821981505,0.6634776298605882
"frozenset({'resistance, tonn_Low'})","frozenset({'kind_B 789/BC', 'alloy_type_open'})",0.33352624573181316,0.9894091093234563,0.3308061809132473,0.9918445254207879,1.0024614854203202,1.0,0.0008122751877378542,1.2986234674238863,0.003684228180660227,0.33343055474537714,0.22995385106991295,0.663095870571882
"frozenset({'residuals_grab2, tonn_4.0', 'resistance, tonn_Low'})","frozenset({'metal_residue_grab1, tonn_0.4'})",0.32530817755657154,0.9993633890850165,0.32530817755657154,1.0,1.0006370164466063,1.0,0.00020709473656588262,inf,0.0009435580717103078,0.32551540421589065,1.0,0.6627577021079454
"frozenset({'metal_residue_grab1, tonn_0.4', 'resistance, tonn_Low'})","frozenset({'residuals_grab2, tonn_4.0'})",0.3333526245731813,0.9745355634006597,0.32530817755657154,0.9758680555555554,1.00136730993197,1.0,0.00044418975705767805,1.0552169410949592,0.002048223691559792,0.3310755094828602,0.052327572601007295,0.654838238241582
"frozenset({'resistance, tonn_Low'})","frozenset({'residuals_grab2, tonn_4.0', 'metal_residue_grab1, tonn_0.4'})",0.33352624573181316,0.974188321083396,0.32530817755657154,0.9753600555266354,1.0012027802200876,1.0,0.0003908041898482706,1.0475542647632992,0.001802524510656505,0.3311340206185567,0.04539551445007415,0.6546437300148474
