KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
0,0,-1,0,1,-1,-1,1.0,3939.0,,3939.0,3939.0,3939.0,3939.0,3939.0
0,0,71,0,1,-1,-1,6.0,3467.0,1032.6726490035455,2040.0,3110.0,3382.5,3676.75,5203.0
0,0,153,0,-1,-1,-1,2.0,3512.0,1.4142135623730951,3511.0,3511.5,3512.0,3512.5,3513.0
0,0,153,0,1,-1,-1,3.0,3439.0,872.1634021214144,2474.0,3073.0,3672.0,3921.5,4171.0
0,1,-1,0,-1,-1,-1,4.0,3745.5,753.9630848611445,3091.0,3259.75,3550.5,4036.25,4790.0
0,1,-1,0,-1,-1,1,1.0,4684.0,,4684.0,4684.0,4684.0,4684.0,4684.0
0,1,-1,0,-1,1,1,2.0,3841.0,57.982756057296896,3800.0,3820.5,3841.0,3861.5,3882.0
0,1,-1,0,1,-1,1,13.0,3595.4615384615386,716.5030373725589,2896.0,3066.0,3265.0,3995.0,4764.0
0,1,-1,0,1,1,1,8.0,4053.875,624.071066809359,3118.0,3654.75,4160.5,4514.5,4817.0
0,1,0,0,-1,1,-1,2.0,6606.0,330.92597359530424,6372.0,6489.0,6606.0,6723.0,6840.0
0,1,0,0,-1,1,1,44.0,6264.409090909091,1275.804940951905,3866.0,5284.25,6481.5,7326.5,7823.0
0,1,0,0,1,-1,1,4.0,3755.5,326.1558931962853,3484.0,3485.5,3698.5,3968.5,4141.0
0,1,0,0,1,1,-1,1.0,6808.0,,6808.0,6808.0,6808.0,6808.0,6808.0
0,1,0,0,1,1,1,1500.0,5429.587333333333,1115.1743909905315,2447.0,4682.0,5402.0,6204.0,7910.0
0,1,1,0,1,1,1,13.0,3536.5384615384614,106.43512529910366,3373.0,3454.0,3536.0,3620.0,3700.0
0,1,151,0,1,-1,1,4.0,3938.25,702.6409111345567,2995.0,3771.25,4031.0,4198.0,4696.0
0,1,151,0,1,1,1,1.0,4188.0,,4188.0,4188.0,4188.0,4188.0,4188.0
0,1,152,0,1,-1,1,5.0,3523.6,618.2453396508541,2529.0,3568.0,3568.0,3726.0,4227.0
0,1,154,0,-1,1,1,5.0,3333.2,617.5610900955468,2338.0,3377.0,3379.0,3540.0,4032.0
0,1,155,0,-1,-1,-1,2.0,3343.0,0.0,3343.0,3343.0,3343.0,3343.0,3343.0
0,1,155,0,-1,-1,1,3.0,3275.6666666666665,860.3582587116447,2323.0,2915.5,3508.0,3752.0,3996.0
0,1,156,0,1,1,1,5.0,3275.6,609.4819931712503,2296.0,3316.0,3316.0,3481.0,3969.0
0,1,157,0,1,-1,1,1.0,4139.0,,4139.0,4139.0,4139.0,4139.0,4139.0
0,1,157,0,1,1,1,4.0,4085.5,716.1063701248114,3098.0,3881.75,4220.5,4424.25,4803.0
0,1,158,0,-1,-1,1,1.0,4059.0,,4059.0,4059.0,4059.0,4059.0,4059.0
0,1,158,0,1,-1,1,3.0,3932.6666666666665,858.0654598183831,3020.0,3537.5,4055.0,4389.0,4723.0
0,1,158,0,1,1,1,1.0,4214.0,,4214.0,4214.0,4214.0,4214.0,4214.0
