IsolationForest,LOF,OneClassSVM,sample_time_continuous_caster,count
-1,-1,-1,14:16:33,9
-1,-1,-1,14:47:38,9
-1,-1,-1,0:19:54,8
-1,-1,-1,7:29:10,8
-1,-1,-1,13:30:14,8
-1,-1,-1,14:48:28,7
-1,-1,-1,12:01:37,6
-1,-1,-1,2:39:26,6
-1,-1,-1,10:49:57,6
-1,-1,-1,17:46:00,5
-1,-1,-1,19:14:04,5
-1,-1,-1,3:21:45,5
-1,-1,-1,20:28:04,5
-1,-1,-1,13:03:20,4
-1,-1,-1,6:39:21,4
-1,-1,-1,17:58:34,4
-1,-1,-1,13:31:11,3
-1,-1,-1,11:01:22,3
-1,-1,-1,1:16:59,3
-1,-1,-1,7:50:24,2
-1,-1,-1,6:53:49,2
-1,-1,-1,5:57:44,2
-1,-1,-1,3:18:25,2
-1,-1,-1,6:25:01,1
-1,-1,-1,21:15:58,1
-1,-1,1,3:18:25,11
-1,-1,1,21:36:38,7
-1,-1,1,18:18:26,4
-1,-1,1,21:15:58,4
-1,-1,1,1:16:59,3
-1,-1,1,4:06:14,1
-1,-1,1,21:18:38,1
-1,-1,1,13:03:20,1
-1,1,-1,9:40:05,12
-1,1,-1,8:53:13,12
-1,1,-1,6:17:16,12
-1,1,-1,19:48:46,9
-1,1,-1,19:01:33,9
-1,1,-1,6:25:49,8
-1,1,-1,19:24:43,7
-1,1,-1,11:36:02,7
-1,1,-1,12:41:59,7
-1,1,-1,8:51:22,6
-1,1,-1,6:17:51,6
-1,1,-1,4:26:27,6
-1,1,-1,5:19:04,6
-1,1,-1,3:30:45,6
-1,1,-1,17:46:16,6
-1,1,-1,8:26:16,6
-1,1,-1,3:07:56,6
-1,1,-1,1:35:11,6
-1,1,-1,8:56:38,6
-1,1,-1,6:46:47,6
-1,1,-1,11:34:11,6
-1,1,-1,22:12:34,6
-1,1,-1,23:49:35,6
-1,1,-1,23:35:21,6
-1,1,-1,9:38:38,5
-1,1,-1,18:29:26,5
-1,1,-1,11:12:59,5
-1,1,-1,14:59:32,5
-1,1,-1,18:03:51,5
-1,1,-1,23:44:09,5
-1,1,-1,22:32:57,4
-1,1,-1,15:58:19,4
-1,1,-1,14:01:13,4
-1,1,-1,18:59:02,3
-1,1,-1,10:12:04,3
-1,1,-1,9:04:01,3
-1,1,-1,13:18:33,3
-1,1,-1,21:45:05,2
-1,1,-1,7:31:29,2
-1,1,-1,5:57:10,2
-1,1,-1,5:47:24,2
-1,1,-1,8:13:46,2
-1,1,-1,9:04:52,2
-1,1,-1,10:10:08,2
-1,1,-1,3:00:14,2
-1,1,-1,17:04:54,2
-1,1,-1,15:34:46,1
-1,1,-1,10:32:47,1
-1,1,-1,15:38:48,1
-1,1,-1,6:39:21,1
-1,1,-1,8:11:13,1
-1,1,-1,6:29:16,1
-1,1,-1,19:25:52,1
-1,1,1,3:09:17,13
-1,1,1,17:23:38,12
-1,1,1,4:35:49,9
-1,1,1,7:03:31,9
-1,1,1,2:20:43,8
-1,1,1,8:11:13,8
-1,1,1,20:27:00,7
-1,1,1,23:19:29,7
-1,1,1,23:59:13,7
-1,1,1,21:04:36,7
-1,1,1,6:46:47,7
-1,1,1,17:04:54,7
-1,1,1,1:02:32,7
-1,1,1,1:52:30,7
-1,1,1,2:35:10,7
-1,1,1,7:06:46,7
-1,1,1,7:51:52,7
-1,1,1,8:25:46,7
-1,1,1,9:02:21,7
-1,1,1,9:48:41,7
-1,1,1,11:09:46,7
-1,1,1,11:53:25,7
-1,1,1,10:30:12,7
-1,1,1,3:25:54,7
-1,1,1,6:25:34,7
-1,1,1,5:41:05,7
-1,1,1,5:04:57,7
-1,1,1,6:38:32,6
-1,1,1,5:26:39,6
-1,1,1,3:52:32,6
-1,1,1,2:25:42,6
-1,1,1,0:50:56,6
-1,1,1,2:19:08,6
-1,1,1,22:31:26,6
-1,1,1,9:04:01,6
-1,1,1,23:00:23,6
-1,1,1,6:29:16,6
-1,1,1,21:45:05,5
-1,1,1,7:17:55,5
-1,1,1,6:41:09,5
-1,1,1,5:01:52,5
-1,1,1,16:22:34,5
-1,1,1,9:56:58,5
-1,1,1,4:18:10,5
-1,1,1,10:31:50,5
-1,1,1,11:58:27,5
-1,1,1,12:44:45,5
-1,1,1,14:47:12,5
-1,1,1,14:07:22,5
-1,1,1,13:22:07,5
-1,1,1,17:04:29,5
-1,1,1,18:24:17,5
-1,1,1,23:37:07,5
-1,1,1,22:47:06,5
-1,1,1,22:08:08,5
-1,1,1,0:20:28,5
